QUALITY MANAGEMENT SYSTEM  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPECTION AND TEST PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:,,,Bourke Street Zetland,Inspector,,Authorised by Client:,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared by:        Daniel Wade 
BUILDER:,,,Binah ,X:  Inspection,Pre-Con,Revision:,,A,Ref : ,,,,,,,,,,,,,,,,,,,,,,,
ITP No.,,,ITP-J282,H: Hold Point,Rough-in ,Date:,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Process: ,,,MECH,W: Witness Point,Fit-off ,Supervisor Name  ,,,Daniel Wade ,,,,,,,,,,,,,,,,,,,,,,,
Criteria ,Pre-Con,Pre-Con,Pre-Con,Pre-Con,,Rough-in ,,Rough-in ,Rough-in ,Rough-in ,Rough-in ,Rough-in ,,,Rough-in ,Rough-in ,,Fit-off ,Fit-off ,Fit-off ,Fit-off ,Fit-off ,Fit-off ,,Fit-off ,Fit-off ,Fit-off ,Fit-off ,,,,
,AC-G.07-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.07,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.08,AC-G.08-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.08-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.08,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.09,AC-G.09-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.09-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.09,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.10,AC-G.10-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.10-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-G.10,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.11,AC-G.11-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-G.11-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-G.11,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.12,AC-G.12-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-G.12-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.12,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.13,AC-G.13-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-G.13-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,CU-G.13,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.14,AC-G.14-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.14-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-G.14,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.15,AC-G.15-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.15-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-G.15,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.16,AC-G.16-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-G.16-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-G.16,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.17,AC-G.17-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-G.17-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-G.17,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
G.02,FCU LIVING ,,,,,,,,,,,,,,,,,,,,,,,,,,K 150 EC SILEO,,,,,
,FCU MASTER ,,,,,,,,,,,,,,,,,,,,,,,,,,BEC150HP,,,,,
Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01,AC-1.01-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.01-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.01,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.02,AC-1.02-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.02-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.03,AC-1.03-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.03-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.04,AC-1.04-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.04-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.04,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.05,AC-1.05-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.05-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.06,AC-1.06-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.06-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-1.06,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.07,AC-1.07-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.07-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0151SPHY-E,,,,,
,CU-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.08,AC-1.08-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.08-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.09,AC-1.09-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.09-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.09,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.10,AC-1.10-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.10-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.10,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.11,AC-1.11-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.11-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-1.11,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.12,AC-1.12-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.12-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-1.12,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.13,AC-1.13-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.13-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.14,AC-1.14-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.14-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,CU-1.14,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.15,AC-1.15-L1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-1.15-L2,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-1.15-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.15,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.16,AC-1.16-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.16-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0151SPHY-E,,,,,
,CU-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.17,AC-1.17-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.17-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.18,AC-1.18-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.18-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0071SPHY-E,,,,,
,CU-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.19,AC-1.19-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.19-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,CU-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.20,AC-1.20-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-1.20-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-1.20,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.21,AC-1.21-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0271SPHY-E,,,,,
,AC-1.21-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,CU-1.21,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.22,AC-1.22-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.22-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.23,AC-1.23-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.23-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
1.24,AC-1.24-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-1.24-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01,AC-2.01-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.01-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.01,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.02,AC-2.02-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.02-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-2.02,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.03,AC-2.03-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.03-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-2.03,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.04,AC-2.04-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.04-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.04,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.05,AC-2.05-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.05-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.05,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.06,AC-2.06-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.06-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-2.06,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.07,AC-2.07-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.07-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0151SPHY-E,,,,,
,CU-2.07,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.08,AC-2.08-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.08-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.09,AC-2.09-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.09-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.09,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.10,AC-2.10-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.10-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.10,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.11,AC-2.11-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.11-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.11,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.12,AC-2.12-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.12-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.13,AC-2.13-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.13-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.14,AC-2.14-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.14-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.15,AC-2.15-L1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-2.15-L2,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0091SPHY-E,,,,,
,AC-2.15-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.15,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.16,AC-2.16-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.16-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.17,AC-2.17-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.17-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.18,AC-2.18-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.18-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.19,AC-2.19-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.19-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.19,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.20,AC-2.20-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.20-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.20,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.21,AC-2.21-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-2.21-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-2.21,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.22,AC-2.22-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0271SPHY-E,,,,,
,AC-2.22-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.22,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.23,AC-2.23-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0151SPHY-E,,,,,
,AC-2.23-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-2.23,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.24,AC-2.24-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.24-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0121SPHY-E,,,,,
,CU-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
2.25,AC-2.25-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-2.25-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-2.25,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.01,AC-3.01-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.01-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.01,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.02,AC-3.02-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.02-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.02,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.03,AC-3.03-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0241SPHY-E,,,,,
,AC-3.03-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.03,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.04,AC-3.04-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.04-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.04,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.05,AC-3.05-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.05-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.05,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.06,AC-3.06-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.06-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.06,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
3.07,AC-3.07-L,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0181SPHY-E,,,,,
,AC-3.07-B1,,,,,,,,,,,,,,,,,,,,,,,,,,MMD-UP0051SPHY-E,,,,,
,CU-3.07,,,,,,,,,,,,,,,,,,,,,,,,,,MCY-MHP0404HS-A,,,,,
