Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,
60fad1c0-6f12-553c-8ea8-3e37654dc76a,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-13 27/11,Post Pour,Mill certificate attached
d382d88a-ecbb-557c-b010-33b6d48fc347,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-14 28/11,Post Pour,Mill certificate attached
3979e7af-4563-584d-8951-8fa0272753b7,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 6M,TL4 6M-15 28/11,Post Pour,Mill certificate attached
ae2ac650-fab9-5d9e-8c7f-a73ac0ff2ab4,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-01 16/11,Post Pour,Mill certificate attached
8ba607bc-072c-5146-ab5d-176ad5879d58,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-02 17/11,Post Pour,Mill certificate attached
2f14ee92-68eb-518d-90a0-7d7786350567,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-03 17/11,Post Pour,Mill certificate attached
182f1e44-8aa1-5d65-ad0a-e562d6fe3b57,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-04 18/11,Post Pour,Mill certificate attached
63246b40-5285-5742-8962-957be34f3cf4,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-05 20/11,Post Pour,Mill certificate attached
1ab99030-eef9-588e-82b3-3f6ec5128e42,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-06  20/11,Post Pour,Mill certificate attached
c045d981-4fdb-5623-a343-edf41aadd0e3,,checkpoint-status,not-applicable,Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:fb01bfec-d175-4a2b-9426-6b1135481f15,,TRUE,TRUE,Barriers,TL4,TL4 (Median 6m w/ duct),TL4-6MD-07 21/11,Post Pour,Mill certificate attached
