"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba06ee12-eb39-4429-a97f-38c4f88371e1","","fail","","folder","TRUE","FALSE","Zone 5"
"bc086b57-bbae-42a5-acb0-cf1366686e62","","fail","","folder","TRUE","FALSE","Zone 5","G"
"669cc482-fdf8-4793-acf2-4e7f614bbb40","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-751"
"1a1b654f-0c08-45d1-ab93-d32d10783412","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-752"
"a8dbbc24-6a5c-43b2-9e58-3d8ca3b08291","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-753"
"0c76abde-63db-4dec-9ac4-d4823aa4ebe7","","work-in-progress","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-754"
"dabb6cb2-9038-47b1-90af-49c6e4831747","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-755"
"c776b63c-3085-411d-ac83-852d22f25e61","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-759"
"e21e0077-b41c-44c2-a33f-636fba268c2b","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-760"
"04e0e7bf-2c14-44cb-a69d-d906866c0028","","fail","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-1003"
"39c792c6-d469-4458-8997-7305639d8dd1","","fail","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-1004"
"156a0622-ef77-42fd-b26e-6c1bb4e785ae","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-1172"
"1e5daf15-9be3-4613-855f-e26d11c2b1de","","pass","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PWS4-1174"
"a8346795-7940-4839-8d08-009b3e88bcae","","not-started","Precast Element","checklist","FALSE","FALSE","Zone 5","G","PW1869"
