"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"74c0449f-d9f6-522a-a9de-305ce7296ebe","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-124 Commissioning Instruments","Set Point 3"
"d9da97f0-bd85-5eb4-a58e-986add52ad20","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-124 Commissioning Instruments","Set Point 4"
"6a1c352f-bf1b-52e1-a0d5-32518c7b2c35","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-124 Commissioning Instruments","Calibration settings"
"88a40578-eed0-5a88-8245-17b3c59e1015","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-124 Commissioning Instruments","All relevant signatures (Installed by, Approved by, Client Representative)"
"02f5110e-9add-4f17-bce7-452c16594738","","checklist-flat","not-started","ITR-CL-1-121 Instrument Installation","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-121 Instrument Installation"
"6da065d3-e387-582f-a0df-5ff85ed96c0b","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-121 Instrument Installation","Instrument Installation (Mandatory Photo)"
"27f2005f-3569-517b-be71-d194325e036a","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-OPEN AND CLOSE FEED BACK","ITR-CL-1-121 Instrument Installation","All relevant signatures (Installed by, Approved by, Client Representative)"
"4bfc1853-f294-49d6-9344-4a839fb99d32","","folder-normal","not-started","","step","TRUE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-FEEDBACK AND SETPOINT"
"a4bc37b9-2b5a-4b71-a916-ef5c366331db","","checklist-flat","not-started","ITR-CL-1-121 Instrument Installation","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-FEEDBACK AND SETPOINT","TH13/14 Control Valve-FEEDBACK AND SETPOINT"
"c0b8554f-549b-5457-bdd4-70eb88c19d88","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH13/14 Control Valve-FEEDBACK AND SETPOINT","TH13/14 Control Valve-FEEDBACK AND SETPOINT","Instrument Installation (Mandatory Photo)"
