"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7fb5dcb-864d-4df6-97e3-0c36e86f272d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"bba66228-5cbf-4ed0-a025-fd7efd218ffd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"891fcc24-1c60-4bdc-8e4a-1d7735c0c195","","checklist-sectioned","work-in-progress","c71d241eff5be67b2b78867b32e286c30e424d8a15b1441cd158a6f013a6a5cd","checklist","FALSE","FALSE","Site QA","Level 1","External"
"44fe3c77-7bbf-5177-9727-c154ba557a49","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Site QA","Level 1","External","Eastside"
"adf313e2-3de1-51f6-be67-e65d3a058609","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Install door panels"
"e47aa941-8e61-5621-82a0-a1db7e8efe8d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Installation of all hardware"
"d4a98631-b4bb-5bbd-a79f-e62b0c08d764","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Ensure all external and internal angles are sealed"
"30256422-32d9-5291-9363-8a61579b90e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Lobby","W09-A","Handover"
"ce09618a-8a3e-4f54-b337-18a905563bec","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1","101"
"c72cf2f4-1574-49f2-bd79-9f81ecffea61","","checklist-flat","work-in-progress","c87e6268d859fbe6b2f792aa474d31f5866626b656c4d2638b8bc93e084ccf7e","checklist-flat","FALSE","FALSE","Site QA","Level 1","101","W14-A"
"c0ed3482-1844-59d1-ad9d-71eba7310aeb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Waterproofing angle completed"
"2763ead3-f37b-530d-bc3a-61f4c6552deb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Installation of sub-sill and caulked"
"97c39427-24bc-5aa5-aab0-600eef62b22b","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","(Attach photo)"
"844c019f-9307-567d-9d37-904a5f380ea7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Water test sub-sill"
"62875b44-9f81-5964-98a6-211964cfaa0a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Installation of sub-head and caulked"
"34eeff2a-d50a-547b-b583-818a06370899","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Install frames including trims to doors"
"1d05d25e-8b32-52cc-9ed6-5d460da67b39","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Install windows and trimming"
"c8338c0f-2a3b-58af-88a6-ca3f9772dbab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Install door panels"
"d6ddcb41-32f5-55bb-ad97-c24a235d2a82","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Installation of all hardware"
"40a6b6c0-1cec-50b7-8729-9e779e93ab5f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Ensure all external and internal angles are sealed"
"0f48bea4-d4d3-5c78-9bb7-1e44e6805f35","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-A","Handover"
"a9bd62d5-05c2-4b8f-a83c-943b22f64896","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","101","W07"
"92a86bd5-cdd6-57fa-ba69-71be702dd576","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","101","W07","Waterproofing angle completed"
"665ae8c1-192e-5ced-a113-ef8239703326","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W07","(Attach photo)"
"9a428425-980a-5a42-afc6-aaacdcc2587f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","101","W07","Installation of sub-sill and caulked"
"d708ec1a-c399-5d9b-8588-5eba7e63b24c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W07","Installation of sub-head and caulked"
"dd653c4f-f9e0-5cff-bcd5-d029ea299a03","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W07","Install frames including trims to doors"
"1707a9c3-c602-5466-9520-6079c78264bd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W07","Install windows and trimming"
"4acc0dc0-56a0-5995-b098-1c044b7b22f1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W07","Install door panels"
"56f5ae92-6050-552a-85d4-3b6dbd63d052","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W07","Installation of all hardware"
"00862e30-eadf-569e-b5c3-f13c5052c2fc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W07","Ensure all external and internal angles are sealed"
"de7d531d-a8ec-5b1f-ab2d-e291dd7a4500","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W07","Handover"
"b81cbc1a-d6ce-49e5-8b99-91c05a6d6636","","checklist-flat","work-in-progress","5c9e250fdd4beb801e54830dcbe3554fa6e0518dca7fd72335841cbc4dc3b304","checklist-flat","FALSE","FALSE","Site QA","Level 1","101","W02-1"
"5e293cef-0244-58d5-82a0-c598689bab01","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Waterproofing angle completed"
"b2252635-dd3c-5d2f-a2e9-1d6c92cee266","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Installation of sub-sill and caulked"
"59ad94fd-a2f2-51b4-beee-bec4b268c7e4","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","(Attach photo)"
"404462c5-9ce5-534c-9b58-b466648925e6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Installation of sub-head and caulked"
"057b8882-b34e-5ae4-9fff-864c83a65a95","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Install frames including trims to doors"
"f4e0843e-f71a-5536-9fe1-c50da4f5fb89","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Install windows and trimming"
"2b655ba8-26cf-5710-ab8e-58ae22bb28cc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Install door panels"
"de837223-6ef7-5cc4-99ad-7034fb389c9b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Installation of all hardware"
"e7df9195-20db-5efd-ab37-809b5bcad413","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Ensure all external and internal angles are sealed"
"4bcff573-d278-529d-909d-3716de557696","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W02-1","Handover"
"5308f085-280e-42e6-add8-9b845c70fc72","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","101","W14-C"
"44e4ccb6-fa13-5242-9c86-03a0214d5c0f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Waterproofing angle completed"
"e4049091-1441-57a6-be4f-bba03ff0c4f0","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","(Attach photo)"
"0395adae-e3f4-55a7-b9f8-3c59a83d8424","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Installation of sub-sill and caulked"
"2721771d-feab-5cc7-918b-08f6a77eac45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Installation of sub-head and caulked"
"ac2b7685-154e-5cb4-827c-072a952adc84","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Install frames including trims to doors"
"a1ca4dad-6549-50f8-9dbf-d7fb39946927","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Install windows and trimming"
"8398ed3b-ccfc-5d30-9164-91cba2efab8c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Install door panels"
"08c2a687-33bf-5f78-9a62-fe5c809e64d4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Installation of all hardware"
"82a18ba5-8890-52eb-add1-fe0e4eedddcd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Ensure all external and internal angles are sealed"
"b423505b-9dc9-5f4e-969b-5a7fc48f1753","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W14-C","Handover"
"63ab888b-be6f-4d7b-99f4-5995a285c41e","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","101","W01-F"
"a7961c04-00e7-5562-b915-eaf36f68ff2f","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Waterproofing angle completed"
"ebb5974b-7dcb-57d0-a27f-93e34c519dd5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","(Attach photo)"
"1fe95f0b-2c5a-5a6e-9f95-f184e53651ce","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Installation of sub-sill and caulked"
"5ac1fbd2-b137-5415-b10d-71eb22533a5e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Installation of sub-head and caulked"
"505fb363-faf7-54f6-b352-3015ff5aee01","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Install frames including trims to doors"
"41252dda-1fc8-5a88-bc70-d890cc663d05","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Install windows and trimming"
"4f620a02-760f-5dcc-9e0d-6012ead3893c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Install door panels"
"8e32ca44-5b83-580d-9bf8-92dac21c8541","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Installation of all hardware"
"771b7a46-9c39-5ed1-8a5a-926ebd05a195","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Ensure all external and internal angles are sealed"
"686cb48c-0785-5262-ae2a-fec5faa27495","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","101","W01-F","Handover"
"7c7791bb-d970-45ff-b761-9c5b1bbfd458","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1","102"
"c923a462-be21-4db3-9b2c-94ca901ddd5d","","checklist-flat","work-in-progress","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 1","102","W24"
"c7695a81-04f8-5c5f-b20a-c017b05b52d5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W24","Waterproofing angle completed"
"5d73ed22-b1ca-5846-9c41-3bd32c90f123","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W24","Installation of sub-sill and caulked"
"3e642abc-5ce5-5d0e-adf5-dfce9902605d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Installation of sub-head and caulked"
"bb8b36f8-69d3-5eac-bdc1-4e7bce1933bc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Install frames including trims to doors"
"c3c2d16d-9480-5a67-8534-f2595aaade01","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Install windows and trimming"
"9eb8bb80-2bb6-5d60-93af-eacb0979ad2f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Install door panels"
"69782402-239c-545c-8645-466f14f60524","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Installation of all hardware"
"0247cc48-9404-5e08-9602-f453cecda514","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Ensure all external and internal angles are sealed"
"8f9555b8-6376-580d-ad9b-7e710021dc3e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W24","Handover"
"df6c51a6-05d5-4df1-937d-d198c1c1697c","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","102","W01-D"
"d4a017b2-90e7-5b7f-acbc-1bc0415b9bca","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Waterproofing angle completed"
"34c05370-bd94-5f90-ac0f-993ad40abcfc","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","(Attach photo)"
"d6b5b9f5-e2fd-53ef-899e-98e587934d0e","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Installation of sub-sill and caulked"
"f2b657cf-d3b4-5599-8d6d-7bf1f298daf8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Installation of sub-head and caulked"
"788cbabb-ea36-5e50-aca9-ad24c69b0e14","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Install frames including trims to doors"
"9dc38b39-d25d-5932-8d74-7aeaa0954102","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Install windows and trimming"
"b8bd4688-f73e-59e0-8383-a0046d7e6f1a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Install door panels"
"b43ce95f-a2ec-544c-8c5b-1e91de57ce91","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Installation of all hardware"
"8605d65b-3f6d-593b-b72f-5c96f1e8c68e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Ensure all external and internal angles are sealed"
"9d0872ee-c787-58d9-9cd7-74ab10b29378","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W01-D","Handover"
"0a465d7b-f5f4-4a36-be6b-f29fdf6e9a8f","","checklist-flat","work-in-progress","732fdd68175efbcc5aa1611dfc8434f1b898bb67f0abe23bb4e34e1258f8ade0","checklist-flat","FALSE","FALSE","Site QA","Level 1","102","W22"
"337ed40b-bc35-5ba4-a376-9f9208c2cea8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","102","W22","Waterproofing angle completed"
"2fce1f42-1216-5b24-b639-6ffe368ff3ef","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W22","(Attach photo)"
"a79861ff-9e9d-52ce-9281-113dc3456744","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Installation of sub-sill and caulked"
"1b61dead-2907-5875-b23e-1f1faf3350d6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Level 1","102","W22","(Attach photo)"
"113a8b28-aed1-5a90-9de5-04f54fb1eb3e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Installation of sub-head and caulked"
"b2768d19-50db-5cdc-8134-2aa8a337e4c1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Install frames including trims to doors"
"12320b2c-831d-5f71-9615-5521aef54782","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Install windows and trimming"
"1a28e5ef-6e7f-572a-92ac-b93f88959015","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Install door panels"
"5e1dfc6a-a299-5283-a372-27ad280f0c1d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Installation of all hardware"
"b6d6b0b9-ca19-5144-b5cb-0a790b3d1a89","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Ensure all external and internal angles are sealed"
"8007b90f-5efd-5f77-98ef-0f58a4e9857c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W22","Handover"
"51c7b3f0-ed1a-4904-93e4-867cd8a8b827","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","102","W02-K"
"77f0157d-c65c-5c89-b23c-81c035f002f7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Waterproofing angle completed"
"44a057d2-9d9f-546c-a5af-88dc3bcdd54d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","(Attach photo)"
"4ecb2e27-5a41-5f79-9ef0-1cb147328e96","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Installation of sub-sill and caulked"
"840dc755-97d7-5613-8a3e-aa94e275cc56","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Installation of sub-head and caulked"
"7b689474-1a5a-5c32-9a91-aefe94ed3a0b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Install frames including trims to doors"
"f62c04c1-8ffc-548f-879d-3a983dab2cef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Install windows and trimming"
"937fb7aa-46b7-5cab-bacf-4765dc931eb9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Install door panels"
"f74a596c-190e-5b28-bfa7-18ccb11818ba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Installation of all hardware"
"c4355c4e-eb0d-5b6c-a543-b44b33c7110e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Ensure all external and internal angles are sealed"
"43c87d76-5ddf-5b4f-aac0-2f17a08e5b93","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W02-K","Handover"
"11f8ca60-4946-4d84-af2d-2c68e15f31a2","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","102","W07"
"47d9c543-a681-529b-95d6-0fa28d1bc70f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Level 1","102","W07","Waterproofing angle completed"
"890ee1c8-985f-5a6e-8a8e-2bb3c4aafc1b","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W07","(Attach photo)"
"41c20c68-92e7-5c40-b8af-b699e2d69e63","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","102","W07","Installation of sub-sill and caulked"
"1e8f48cb-35db-50cb-8149-771c40ddc65e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Installation of sub-head and caulked"
"564f2c42-2fd4-5e26-89c9-f7037276a285","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Install frames including trims to doors"
"52ccb169-a816-5ca0-9934-d3c0a9beb301","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Install windows and trimming"
"c6c4027e-2670-5c8f-a0d3-61cf19033fa0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Install door panels"
"618b147d-6154-5241-91b2-bc2723b38433","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Installation of all hardware"
"80c568e8-4c23-5f5c-ba77-21d5e44cec85","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Ensure all external and internal angles are sealed"
"b3d2d2ff-6a37-5aaf-8bb8-bd34c624532a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","102","W07","Handover"
"af87f161-23a3-4200-bebb-36ac2a5046b7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1","103"
"dd1bcb0f-85fd-4f2a-8e40-dc028e1aa1d2","","checklist-flat","work-in-progress","233ca6cec4babac4ac07bc9d8d857bc0930ae1c0e8384ee5cbe5d90e92325479","checklist-flat","FALSE","FALSE","Site QA","Level 1","103","W14-A"
"c366dccc-e68e-50e9-ba04-dd902c9eab16","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Waterproofing angle completed"
"6eae0c67-8671-53d9-99b2-b4ef375e63bb","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","(Attach photo)"
"a720e5f4-31aa-5822-8a57-fe200de00793","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Installation of sub-sill and caulked"
"e9dbb7ef-4426-5480-97d2-74de98b78069","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Installation of sub-head and caulked"
"09365784-fb6c-5a4e-8d92-90c43f5254da","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Install frames including trims to doors"
"ef82a5c8-7e9d-533f-812b-a7beb1467b00","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Install windows and trimming"
"1bdd3fa7-ae7b-517f-afb3-b50027d6c2e7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Install door panels"
"ecfb0b26-cbc9-5e0d-a134-305fb8733131","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Installation of all hardware"
"3df984f0-fdc9-58ef-a855-fffd3f62c0b8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Ensure all external and internal angles are sealed"
"14065e74-90eb-58bf-be64-ea601b78c80e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W14-A","Handover"
"0c5a7f16-daad-46c1-9dd6-6182ba208d72","","checklist-flat","work-in-progress","f3c77bb95971a3dc6374f234fe5745820ee1fbeb5b0721021b695169403b5d53","checklist-flat","FALSE","FALSE","Site QA","Level 1","103","W23"
"3560b96e-e43d-5e8c-a5c1-6e61601eccc2","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","103","W23","Waterproofing angle completed"
"5878c671-8ee0-5009-835b-d8d59d835817","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Level 1","103","W23","Installation of sub-sill and caulked"
"2331bd09-7dfe-5816-8f41-c4a494affea7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W23","Installation of sub-head and caulked"
"5d4222ca-80fd-5232-bf09-12bf0efcfbfc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","103","W23","Install frames including trims to doors"
