"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"93ac8164-2b06-49a2-95ff-6d45e48d9258","","pass","","folder","TRUE","FALSE","Basement "
"6e5ae90a-ab81-4df9-888e-f19a0f484eca","","pass","","folder","TRUE","FALSE","Basement ","Level 1"
"fc0ddd9d-0ec4-46e6-adc6-08664678ce38","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 4","Zone 4"
"87d877e6-fc30-4fdd-bd6d-ed6432e49fdd","","pass","","folder","TRUE","FALSE","Building D","Level 5"
"f911c496-0ffd-4ec5-afc9-5c701943d976","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 5","Zone 1"
"307e3d5b-645e-46f1-8aec-467daaa329e7","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 5","Zone 2"
"dbadedd8-7a9a-4891-b1a0-8216f110847b","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 5","Zone 3"
"e5badd79-5815-42fe-9fcd-47f8aa1336ce","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 5","Zone 4"
"71404546-fd3c-4191-826c-f342de926bcd","","pass","","folder","TRUE","FALSE","Building D","Level 6"
"f5e943f8-dd76-4a63-a2a1-918f3f30ebfe","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 6","Zone 1"
"f113f4bb-2e04-4adc-b805-fba2fad52ada","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 6","Zone 2"
"93ed0fb2-54e7-44fc-8a8a-5a1e48b2de9b","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 6","Zone 3"
"993f2f20-166f-4b1e-a2fb-056d816c006e","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 6","Zone 4"
"8a96f08d-da45-4565-b254-6343b6bd6b69","","pass","","folder","TRUE","FALSE","Building D","Level 7"
"6f2bb8ed-7d4d-4674-ada2-60aae528bcea","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 7","Zone 1"
"81fd7f0e-9e13-4000-8a50-ef71ccba131c","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 7","Zone 2"
"7887a62b-ad5d-4d41-8c86-19e87bcc5067","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 7","Zone 3"
"fead0372-5d85-494e-a629-ab34deec0e41","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building D","Level 7","Zone 4"
"5a77ffac-b54a-4e92-9997-de5fd0093c69","","pass","","folder","TRUE","FALSE","Building E"
"57217e80-fa3a-413f-ad7c-70bb6ff9c65e","","pass","","folder","TRUE","FALSE","Building E","Level 3"
"e8c62a73-07e4-4440-94c4-8ea8642b579b","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 3","Zone 1"
"457ca6d5-6323-4893-8d9f-7e0e899bfd66","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 3","Zone 2"
"8157e860-1239-4b11-ab24-d6048a3a1be0","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 3","Zone 3"
"c8388429-ab86-4537-a3fe-4f449e7caa45","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 3","Zone 4"
"49f62871-4f45-423c-88f8-97cd6029722a","","pass","","folder","TRUE","FALSE","Building E","Level 4"
"35b83066-9438-4396-88e9-7617f4617883","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 4","Zone 1"
"1f68d0ba-fc59-49bb-b93c-d4e0e0cb0339","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 4","Zone 2"
"71020680-6ef4-4421-9cbb-211dcbd4fd2b","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 4","Zone 3"
"71c4979a-b0da-4acd-9727-8ec392dcebd7","","pass","","folder","TRUE","FALSE","Building E","Level 5"
"1c854da5-3070-4a55-99d4-a89a99819d7e","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 5","Zone 1"
"22b0b2fe-e9d2-4cf5-98e4-61dcfba572d4","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 5","Zone 2"
"94410fea-0bf7-4307-95eb-c3e5992b23c6","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 5","Zone 3"
"df074c50-e736-4789-b576-625f08842c95","","pass","","folder","TRUE","FALSE","Building E","Level 6"
"d9c40136-22f0-444d-9a45-aed29e74d1f8","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 6","Zone 1"
"fa0054eb-ca4c-43f1-9afe-a70369edd7e5","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 6","Zone 2"
"7ae03817-2a13-4a6d-b287-bf109b44dfb2","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 6","Zone 3"
"a2831de7-4518-461b-8d67-1e9423c5733b","","pass","","folder","TRUE","FALSE","Building E","Level 7"
"ddbd0e0d-a28f-496c-82ef-61a0f40c7c44","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 7","Zone 1"
"0e0d732c-acd9-49d3-86d3-c6a1dadfa9a7","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 7","Zone 2"
"81a2dc89-acac-4363-8036-33c144bebed1","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 7","Zone 3"
"4e78a77d-9af7-464b-a578-7fcf250c5c80","","pass","","folder","TRUE","FALSE","Building E","Level 8"
"67a4ea6e-7eef-4b43-95f9-1992c44a1711","","pass","QA - Brickwork - Block A v2","checklist","FALSE","FALSE","Building E","Level 8","Zone 1"
