"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4c440d13-3e02-4189-a3f7-fcc7d06f416d","","work-in-progress","","folder","TRUE","FALSE","PIPE ITPs"
"e25e7548-803d-4df7-86e0-4aecf79416ce","","work-in-progress","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP43-GP44"
"eae91b60-0b14-4c13-9922-fa0e59eea31c","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP11-JP12"
"40d8cb49-5e13-4ef5-85e5-ee55dc7bc88d","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP11-GP30"
"1ab75300-47e4-48c6-9909-b7e9b173f9d9","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP10-JP42"
"53921689-fd32-484d-8216-435c32c42ccc","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP13-JP41"
"3e28607b-af53-47a3-b7ba-56e81afd2a41","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP03-JP40"
"1d080312-fa42-477e-8e06-e11eed6a94d6","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP02-JP38"
"69391295-baa9-49a6-a1cf-494a305bbe32","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP01-JP36"
"c3e2ad5a-58c2-4e42-bca0-0eb099524c51","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP09-SEP08"
"c33c65f8-3da2-4275-b77a-561d44561e64","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP34-SEP05"
"37d6064f-c73a-4b1d-b2f6-875402ea0637","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP04-JP33"
"32f1addd-d951-44fe-a1a5-b08460db1c3f","","not-started","1.01 - Drainage - Pipe Laying","checklist","FALSE","FALSE","PIPE ITPs","7ABE0230-1.01-JP33-GPT32"
"3afd65cf-de9e-4450-b3d2-46ee2e3b0eec","","work-in-progress","","folder","TRUE","FALSE","PIT ITPs"
"a21ab497-f1fe-4e50-b6ff-9fbee0eaba71","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP33"
"0dfcd5b1-b6fd-424a-9812-6a4a210dbd61","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP34"
"1b67c652-8595-41f8-b6d5-7e0f77878c17","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP35"
"7667e57f-97a4-4a67-8828-1f57b9ef1916","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP36"
"c35ca4e2-1d37-4cf3-aec7-4ebdd638dd41","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP37"
"3bb357c5-057e-4745-bcae-a576bc67a102","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP38"
"12aba4fb-093b-4815-95e7-639429eca75c","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP39"
"5ac94075-1d03-4a70-a81d-900a17279d1b","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP40"
"f4b89320-0ce2-4ec1-b739-b8e974d43304","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP41"
"633bd8db-2809-450c-a5dc-a9f7fdfacb4b","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP42"
"8a2709ea-bc0b-479a-80cb-77616aad1d96","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-JP43"
"3b02603c-0fae-42af-8673-105297490cbc","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-GP44"
"895d7435-ce5f-47fd-99d2-87f0dc493f0f","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-GP27"
"17fd492c-8e38-4fea-b7c3-c5e2c33494c9","","not-started","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-GP24"
"81e4c9d9-4ff2-4344-82bd-7e9a370f8875","","not-started","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-GP20"
"3fc712bf-76f4-4526-9f33-bb95866225ee","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-GP21"
"307ffc34-2b51-48da-8f41-d9b05134ccfa","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","PIT ITPs","7ABE0230-1.02-GP25"
"6e2b4fc2-f59a-4eea-b4b7-ceb0ea1610ce","","work-in-progress","","folder","TRUE","FALSE","Sub-Soil Drainage"
"3cecfe51-0ad1-4852-b345-1c67ed59f15b","","work-in-progress","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP33-34"
"25d14c15-5aa0-4e28-84d4-93737a858a8b","","work-in-progress","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP34-35"
"f54447bb-4600-472d-9ff5-94bed66d6425","","work-in-progress","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP35-36"
"2fce5893-35d7-4623-9e44-308a96caff07","","work-in-progress","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP36-37"
"62dbb099-03bb-46cf-983b-f56428163c78","","work-in-progress","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP37-38"
"38fd3504-03ea-47bd-bf5e-dd1f75707f78","","not-started","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP38-39"
"e78c52c3-e9a2-4514-a835-3ffa987d8b1b","","not-started","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP39-40"
"b7ce911e-5249-47c4-9f42-396423cb5c3d","","not-started","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP40-41"
"3453bf42-5ce9-472e-8654-09b78b0c88ed","","not-started","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP41-42"
"1836c13d-9c60-455c-862a-424437eb4939","","not-started","1.09 - Civil - Subsoil Drainage","checklist","FALSE","FALSE","Sub-Soil Drainage","7ABE0230-1.09-JP42-43"
"47d0e06d-3544-4247-86c3-b87b846f2356","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR CHECKLISTS"
"2591a2f5-2687-4ca9-bf37-1586f0f011b8","","work-in-progress","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP33"
"cc19a11e-273d-43a0-9d6b-255f81bad786","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP33-Walls"
"4f6b89f4-73f3-4d58-a3b9-f9462048efab","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP34-Walls"
"1dd3713e-7845-4865-ac9d-380190e65522","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP35-Walls"
"941bd20c-8fe5-428a-92ea-eb8741b6d764","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP36-Base"
"cc0eb4cb-8279-4205-9a44-9c8e369c949c","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP36-Walls"
"f41fb739-45c6-4382-87a4-785319aeb899","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP37-Base"
"5f2332e5-2192-41be-8c6a-c1c67a4ccf28","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP37-Walls"
"47e6596d-86c3-47c6-bef1-44869d690944","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-HW21-Base"
"90f49760-6cc2-46af-8887-b1278a6d1de0","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP33-Shaft"
"d86c72b5-1c5a-4f79-bbaf-49af6304fb93","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP34-Shaft"
"85e05d4b-d4a6-40f5-894c-033cda584fb2","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP35-Shaft"
"ece40ace-3140-427a-8b26-cea9711024ef","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP36-Shaft"
"bfd9ca9e-b8cd-45b3-9c41-9871da6b8b1b","","pass","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP37-Shaft"
"c969ff66-fb47-4b61-968f-a541b402f0cf","","not-started","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP38-Base"
"cb5787e6-6b84-46b5-84e8-78f79b0e9100","","not-started","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP39-Base"
"0c588ab9-091e-4c55-95fa-f3dcd54a9045","","work-in-progress","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP38-Walls"
"5bdec24a-d1cb-4082-a88d-eb340ca1ce16","","not-started","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP39-Walls"
"bd9083df-0c8c-49bf-93ba-487e5911546c","","not-started","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP40-Walls"
"ffe414f7-07ea-410b-8521-50c9856b1b0f","","not-started","ITC - Pre Pour Inspection - Cast-In-Place Concrete","checklist","FALSE","FALSE","PRE-POUR CHECKLISTS","7ABE0230-2.00-JP40-Base"
"43288ea8-b206-4090-9e9c-803b3a4ea37d","","work-in-progress","1.03 - Drainage - Structures","checklist","FALSE","FALSE","7ABE0230-1.03-HW21"
"c64659bb-57fd-4ff8-b0ef-5631a4456ac3","","work-in-progress","1.21 - Landscape - Cliff Edge Protection Fence","checklist","FALSE","FALSE","7ABE0230-1.21-Cliff Edge Protection Fence"
"9dcf0f35-d8c0-471b-9641-b5835d2e54e2","","work-in-progress","","folder","TRUE","FALSE","COMPLETE"
"b6a45b7a-a242-482d-a8e1-7cae4a072699","","work-in-progress","1.28 - River Edge Terrace","checklist","FALSE","FALSE","COMPLETE","7ABE0230-1.28-RET"
"8bb4823a-021d-489f-a2c7-e08d49437e24","","pass","1.29 – Drainage – GPT Installation","checklist","FALSE","FALSE","COMPLETE","7ABE0230-1.29-GPT Installation"
"f07e7842-9899-416e-9502-204afeb115eb","","work-in-progress","1.03 - Drainage - Structures","checklist","FALSE","FALSE","1.03 - Drainage - Structures - DEF22"
"552b1492-7b5d-405f-99d2-3812281d693d","","work-in-progress","1.03 - Drainage - Structures","checklist","FALSE","FALSE","1.03 - Drainage - Structures - HW31"
"dc8a0b5a-2f12-42ef-9d63-de96c722787f","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","1.02 - Drainage - Pits - GP45"
"c0b61f6a-a81d-4471-91c0-38f7b418f946","","work-in-progress","1.02 - Drainage - Pits","checklist","FALSE","FALSE","1.02 - Drainage - Pits - GP30"
"f61e996f-2757-4125-a0eb-4db23b2451ce","","work-in-progress","1.03 - Drainage - Structures","checklist","FALSE","FALSE","1.03 - Drainage - Structures - Thrust Block"
