type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
section,Stormwater pit 26,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 27,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 30,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 31,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 32,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Sewer,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Tradewaste,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,GIT,,,,,,,,
checkpoint,GIT installed as per manufactures instructions ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Disconnector gully installed,,,,,,,,
checkpoint,All pipes sealed into GIT,,,,,,,,
checkpoint,Vents installed,,,,,,,,
checkpoint,Covers installed to correct level and height ,,,,,,,,
checkpoint,GIT clean and clear of debris,,,,,,,,
section,Rainwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Rainwater Tank,,,,,,,,
checkpoint,Rainwater Tank installed as per manufactures instructions ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,All pipes sealed into Rainwater Tank,,,,,,,,
checkpoint,Pump lines and conduits installed,,,,,,,,
checkpoint,Covers installed to correct level and height ,,,,,,,,
checkpoint,Rainwater Tank clean and clear of debris,,,,,,,,
section,Jellyfish,,,,,,,,
checkpoint,Jellyfish Tank installed as per manufactures instructions ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,All pipes sealed into Jellyfish Tank,,,,,,,,
checkpoint,Covers installed to correct level and height ,,,,,,,,
checkpoint,Jellyfish Tank clean and clear of debris,,,,,,,,
checkpoint,Jellyfish filter post construction works,,,,,,,,
section,Water ,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
,,,,,,,,,
checklist,Ingrounds (Zone 3),,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Stormwater pit 3,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 4,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Sewer,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
,,,,,,,,,
checklist,Ingrounds (Zone 4),,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Stormwater pit 15,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 16,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 17,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 18,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Sewer,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
,,,,,,,,,
section,Jellyfish,,,,,,,,
checkpoint,Jellyfish Tank installed as per manufactures instructions ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,All pipes sealed into Jellyfish Tank,,,,,,,,
checkpoint,Covers installed to correct level and height ,,,,,,,,
checkpoint,Jellyfish Tank clean and clear of debris,,,,,,,,
checkpoint,Jellyfish filter post construction works,,,,,,,,
,,,,,,,,,
checklist,Ingrounds (Zone 5),,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Stormwater pit 5,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 6,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 7,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 8,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 9,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 10,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 11,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 12,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 28,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 29,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 34,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 35,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Sewer,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Fire,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested (1700kPa),,,,,,,,
checkpoint,Backfill,,,,,,,,
,,,,,,,,,
checklist,Ingrounds (Zone 6),,,,,,,,
section,Stormwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Stormwater pit 13,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Stormwater pit 14,,,,,,,,
checkpoint,Pit installed at correct level,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Pipe work concreted and sealed,,,,,,,,
checkpoint,Cover setup to correct level and height ,,,,,,,,
checkpoint,Pit clean and clear of debris,,,,,,,,
checkpoint,Protective mesh installed on grate,,,,,,,,
section,Sewer,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Tradewaste,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,GIT,,,,,,,,
checkpoint,GIT installed as per manufactures instructions ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,Disconnector gully installed,,,,,,,,
checkpoint,All pipes sealed into GIT,,,,,,,,
checkpoint,Vents installed,,,,,,,,
checkpoint,Covers installed to correct level and height ,,,,,,,,
checkpoint,GIT clean and clear of debris,,,,,,,,
section,Rainwater,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested,,,,,,,,
checkpoint,Backfill,,,,,,,,
section,Rainwater Tank,,,,,,,,
checkpoint,Rainwater Tank installed as per manufactures instructions ,,,,,,,,
checkpoint,Inlet sizes and IL's correct ,,,,,,,,
checkpoint,All pipes sealed into Rainwater Tank,,,,,,,,
checkpoint,Pump lines and conduits installed,,,,,,,,
checkpoint,Covers installed to correct level and height ,,,,,,,,
checkpoint,Rainwater Tank clean and clear of debris,,,,,,,,
section,Fire,,,,,,,,
checkpoint,Lay bed base for preparation of pipe,,,,,,,,
checkpoint,Pipes installed as per plan ,,,,,,,,
checkpoint,Pipes installed to correct levels,,,,,,,,
checkpoint,Has pipe been tested (1700kPa),,,,,,,,
checkpoint,Backfill,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
