"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"48dfe161-7a18-49da-bc2a-e921d2a14233","","folder-normal","pass","","step","TRUE","FALSE","Confined Space Entry Permit"
"2fae0e47-d7b3-416a-bf72-9960d564aabe","","checklist-flat","pass","Deliveries & Dockets","checklist-flat","FALSE","FALSE","Delivery Dockets","Deliveries & Dockets civil cast"
"b56b357a-e414-483a-8026-baef20c0ed74","","folder-normal","fail","","step","TRUE","FALSE","Dilapidation Report"
"ef2eacc9-b59c-4a3d-af07-441c134912be","","checklist-flat","fail","Dilapidation & Site Inspection Report","checklist-flat","FALSE","FALSE","Dilapidation Report","Dilapidation & Site Inspection Report 24/03/23"
"25652aa3-cdba-459a-8cc7-876d01ce1b14","","folder-normal","pass","","step","TRUE","FALSE","Environmental Management"
"6f66f69c-59e2-43ab-9935-71ecefef173d","","checklist-flat","pass","Environmental Management","checklist-flat","FALSE","FALSE","Environmental Management","Environmental Management 24/03/23"
"b86adede-f4a6-4326-99bd-202343b614e8","","folder-normal","pass","","step","TRUE","FALSE","Photos"
"6fcb67e1-d937-4901-ba2d-2523e4d68570","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Potable Water"
"cc127a4a-75c7-4adc-b2a2-1c42ff26cc16","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Potable Water","Encasement"
"a0591e13-a55a-4e7e-8f93-cd5387cfcb4c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Recycled Water"
"581c29cd-292d-46fc-9e64-d2b44f7391c2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Recycled Water","Encasement"
"831b76e8-326c-4d1b-81ef-ffaad6554dbf","","folder-normal","pass","","step","TRUE","FALSE","Photos","Waste Water"
"8de870b9-e431-41aa-8450-f128ed61998a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Waste Water","Encasement"
"83c1a5b7-4155-4ee4-bbdb-eee491c27951","","checklist-flat","pass","Photos","checklist-flat","FALSE","FALSE","Photos","Waste Water","Site set up"
"36be7a26-432f-41b1-8029-0f5179e04883","","checklist-flat","pass","Photos","checklist-flat","FALSE","FALSE","Photos","Waste Water","Photos"
"ab02c6aa-a3b4-4ad9-92a9-dbceefa98d68","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Stormwater"
"baf00dcd-4a20-4930-8a9f-553576bc528d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Photos","Stormwater","Encasement"
"27dc7b89-e7fa-40fc-98ee-ef1cb5d69257","","folder-normal","pass","","step","TRUE","FALSE","Site induction"
"17739b80-e9b4-44da-9688-98f3d01a98ff","","checklist-flat","pass","Site Induction","checklist-flat","FALSE","FALSE","Site induction","Site Induction"
"5200f0ac-7823-4b4f-88e9-22a780b3d835","","checklist-flat","pass","Site Induction","checklist-flat","FALSE","FALSE","Site induction","29/03/23"
"360ec726-fea1-4542-abe9-1d12b33cb373","","checklist-flat","pass","Site Induction","checklist-flat","FALSE","FALSE","Site induction","11 April 2023"
"4439f77f-ada0-47bd-bbc4-b5b36af1a8bf","","checklist-flat","pass","Site Induction","checklist-flat","FALSE","FALSE","Site induction","Site Induction may 1st 2023"
"d693d9ef-589d-4e5b-b72c-e5254f4a138e","","checklist-flat","pass","Site Induction","checklist-flat","FALSE","FALSE","Site induction","Site Induction"
"17100d5d-ffe6-4ca8-be17-14f06d4ef83e","","folder-normal","work-in-progress","","step","TRUE","FALSE","SWMS"
"3dc1bee8-9ab1-4842-9c9b-672ef5d30576","","checklist-flat","work-in-progress","SWMS","checklist-flat","FALSE","FALSE","SWMS","SWMS"
"d611081c-741c-40c4-90e8-99d7c07d5472","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Talk"
"f9e90b63-aed3-4616-9837-ef886232e844","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 24/03/23"
"f60399f9-a7fc-4975-a42d-40674b61fed8","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 27/03/23"
"d8a2b789-774d-4db2-86d5-5d229e0aa60d","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 28/03/23"
"f6e47c6b-bbd6-46a8-adda-437b7a858ae5","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 31/03/23"
"cba8085f-a8fe-4daf-8c9b-bd65989996a6","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","11 April 2023"
"5ef9626d-1464-4b41-a12b-1dc2181f2e49","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting may 1st 2023"
"6dde534f-ab1b-4877-bcfa-a9174b8d70d3","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 2nd june"
"baa3e535-565d-4fac-94ee-93b26fda6f3a","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 13th june"
"fd3bef96-d6e8-48b2-af79-94150dd0df56","","checklist-flat","pass","Tool Box Meeting","checklist-flat","FALSE","FALSE","Toolbox Talk","Tool Box Meeting 14th june"
"16c2f6c6-b675-4627-a47c-e565bdbbf73f","","folder-normal","pass","","step","TRUE","FALSE","Variations"
"8d3cde1c-1c9b-4ec5-978d-253157858ed5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","January"
"f4f2750c-688b-4bd0-8406-91e7fa655121","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","February"
"2ff27029-b63c-4524-9101-cabbeeba10c2","","folder-normal","pass","","step","TRUE","FALSE","Variations","March"
"63c66bf8-aa66-4b7a-8dfb-760aa1d495a4","","checklist-flat","pass","fa163adf5bbf96049c04ce9eb3ccc04fa94220b5579963470dba2a7046cbf388","checklist-flat","FALSE","FALSE","Variations","March","Variation 24/03/23"
"46c2cb7d-5ee2-419d-94c9-00e2163fb283","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","April"
"a444e9bd-eb36-474d-bbb5-41c2ba0c8d89","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","May"
"5b3a5025-ef38-443f-bc1f-5a7fed9be4a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","July"
"4288e712-a0e9-441c-af91-d0329fd74fda","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","August"
"316efed9-046e-45dd-8f91-ba66159e4c9d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","September"
"9d015bdc-8e85-4d83-b234-b015ac1a49f5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","October"
"f5110e34-9c64-4e00-b923-4f0555e7f15f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","November"
"a7b30475-c7f8-490e-8358-c5d9209143bc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations","December"
