"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plumbing Fit-Off - Common Area"
,"Scope",,
,"Rows"
,,"Common Area - B1","grouping","plumbing fit-off","common amenities (fit-off)","b1"
,,"h14","expanded","plumbing fit-off","h14","hotel suites (fit-off)","l3"
,,"h15","expanded","plumbing fit-off","hotel suites (fit-off)","h15","l3"
,,"h16","expanded","plumbing fit-off","h16","hotel suites (fit-off)","l3"
,,"h17","expanded","plumbing fit-off","hotel suites (fit-off)","l3","h17"
,,"h18","expanded","plumbing fit-off","hotel suites (fit-off)","h18","l3"
,,"h19","expanded","h19","plumbing fit-off","hotel suites (fit-off)","l3"
,,"h20","expanded","plumbing fit-off","hotel suites (fit-off)","l3","h20"
,,"h21","expanded","plumbing fit-off","hotel suites (fit-off)","h21","l3"
,,"h22","expanded","h22","plumbing fit-off","hotel suites (fit-off)","l3"
,,"h23","expanded","h23","plumbing fit-off","hotel suites (fit-off)","l3"
,,"h24","expanded","plumbing fit-off","h24","hotel suites (fit-off)","l3"
,,"h25","expanded","plumbing fit-off","h25","hotel suites (fit-off)","l3"
,,"h26","expanded","plumbing fit-off","hotel suites (fit-off)","h26","l3"
,,"h27","expanded","plumbing fit-off","h27","hotel suites (fit-off)","l3"
,,"h28","expanded","plumbing fit-off","hotel suites (fit-off)","l3","h28"
,,"Hotel Suites - L4","grouping","l4","hotel suites (fit-off)","plumbing fit-off"
,,"h10","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h10"
,,"h11","expanded","l4","h11","plumbing fit-off","hotel suites (fit-off)"
,,"h12","expanded","l4","h12","plumbing fit-off","hotel suites (fit-off)"
,,"h13","expanded","l4","plumbing fit-off","h13","hotel suites (fit-off)"
,,"h14","expanded","l4","plumbing fit-off","h14","hotel suites (fit-off)"
,,"h15","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h15"
,,"h16","expanded","l4","plumbing fit-off","h16","hotel suites (fit-off)"
,,"h17","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h17"
,,"h18","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h18"
,,"h19","expanded","l4","h19","plumbing fit-off","hotel suites (fit-off)"
,,"h20","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h20"
,,"h21","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h21"
,,"h22","expanded","l4","h22","plumbing fit-off","hotel suites (fit-off)"
,,"h23","expanded","l4","h23","plumbing fit-off","hotel suites (fit-off)"
,,"h24","expanded","l4","plumbing fit-off","h24","hotel suites (fit-off)"
,,"h25","expanded","l4","plumbing fit-off","h25","hotel suites (fit-off)"
,,"h26","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h26"
,,"h27","expanded","l4","plumbing fit-off","h27","hotel suites (fit-off)"
,,"h28","expanded","l4","plumbing fit-off","hotel suites (fit-off)","h28"
,,"Hotel Suites - L5","grouping","l5","hotel suites (fit-off)","plumbing fit-off"
,,"h10","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h10"
,,"h11","expanded","l5","h11","plumbing fit-off","hotel suites (fit-off)"
,,"h12","expanded","h12","l5","plumbing fit-off","hotel suites (fit-off)"
,,"h13","expanded","l5","plumbing fit-off","h13","hotel suites (fit-off)"
,,"h14","expanded","l5","plumbing fit-off","h14","hotel suites (fit-off)"
,,"h15","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h15"
,,"h16","expanded","l5","plumbing fit-off","h16","hotel suites (fit-off)"
,,"h17","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h17"
,,"h18","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h18"
,,"h19","expanded","h19","l5","plumbing fit-off","hotel suites (fit-off)"
,,"h20","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h20"
,,"h21","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h21"
,,"h22","expanded","l5","h22","plumbing fit-off","hotel suites (fit-off)"
,,"h23","expanded","h23","l5","plumbing fit-off","hotel suites (fit-off)"
,,"h24","expanded","l5","plumbing fit-off","h24","hotel suites (fit-off)"
,,"h25","expanded","l5","plumbing fit-off","h25","hotel suites (fit-off)"
,,"h26","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h26"
,,"h27","expanded","l5","plumbing fit-off","h27","hotel suites (fit-off)"
,,"h28","expanded","l5","plumbing fit-off","hotel suites (fit-off)","h28"
,,"Hotel Suites - L6","grouping","hotel suites (fit-off)","plumbing fit-off","l6"
,,"h10","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h10"
,,"h11","expanded","h11","plumbing fit-off","l6","hotel suites (fit-off)"
,,"h12","expanded","h12","plumbing fit-off","l6","hotel suites (fit-off)"
,,"h13","expanded","plumbing fit-off","l6","h13","hotel suites (fit-off)"
,,"h14","expanded","plumbing fit-off","l6","h14","hotel suites (fit-off)"
,,"h15","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h15"
,,"h16","expanded","plumbing fit-off","l6","h16","hotel suites (fit-off)"
,,"h17","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h17"
,,"h18","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h18"
,,"h19","expanded","h19","plumbing fit-off","l6","hotel suites (fit-off)"
,,"h20","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h20"
,,"h21","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h21"
,,"h22","expanded","h22","plumbing fit-off","l6","hotel suites (fit-off)"
,,"h23","expanded","h23","plumbing fit-off","l6","hotel suites (fit-off)"
,,"h24","expanded","plumbing fit-off","l6","h24","hotel suites (fit-off)"
,,"h25","expanded","plumbing fit-off","l6","h25","hotel suites (fit-off)"
,,"h26","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h26"
,,"h27","expanded","plumbing fit-off","l6","h27","hotel suites (fit-off)"
,,"h28","expanded","plumbing fit-off","l6","hotel suites (fit-off)","h28"
,,"Hotel Suites - L7","grouping","hotel suites (fit-off)","plumbing fit-off","l7"
,,"h10","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h10"
,,"h11","expanded","h11","plumbing fit-off","l7","hotel suites (fit-off)"
,,"h12","expanded","h12","plumbing fit-off","l7","hotel suites (fit-off)"
,,"h13","expanded","plumbing fit-off","l7","h13","hotel suites (fit-off)"
,,"h14","expanded","plumbing fit-off","h14","l7","hotel suites (fit-off)"
,,"h15","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h15"
,,"h16","expanded","plumbing fit-off","l7","h16","hotel suites (fit-off)"
,,"h17","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h17"
,,"h18","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h18"
,,"h19","expanded","h19","plumbing fit-off","l7","hotel suites (fit-off)"
,,"h20","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h20"
,,"h21","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h21"
,,"h22","expanded","h22","plumbing fit-off","l7","hotel suites (fit-off)"
,,"h23","expanded","h23","plumbing fit-off","l7","hotel suites (fit-off)"
,,"h24","expanded","plumbing fit-off","l7","h24","hotel suites (fit-off)"
,,"h25","expanded","plumbing fit-off","h25","l7","hotel suites (fit-off)"
,,"h26","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h26"
,,"h27","expanded","plumbing fit-off","l7","h27","hotel suites (fit-off)"
,,"h28","expanded","plumbing fit-off","l7","hotel suites (fit-off)","h28"
,,"Hotel Suites - L8","grouping","l8","hotel suites (fit-off)","plumbing fit-off"
,,"h10","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h10"
,,"h11","expanded","h11","plumbing fit-off","l8","hotel suites (fit-off)"
,,"h12","expanded","h12","plumbing fit-off","l8","hotel suites (fit-off)"
,,"h13","expanded","plumbing fit-off","h13","l8","hotel suites (fit-off)"
,,"h14","expanded","plumbing fit-off","h14","l8","hotel suites (fit-off)"
,,"h15","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h15"
,,"h16","expanded","plumbing fit-off","l8","h16","hotel suites (fit-off)"
,,"h17","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h17"
,,"h18","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h18"
,,"h19","expanded","h19","plumbing fit-off","l8","hotel suites (fit-off)"
,,"h20","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h20"
,,"h21","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h21"
,,"h22","expanded","h22","plumbing fit-off","l8","hotel suites (fit-off)"
,,"h23","expanded","h23","plumbing fit-off","l8","hotel suites (fit-off)"
,,"h24","expanded","plumbing fit-off","h24","l8","hotel suites (fit-off)"
,,"h25","expanded","plumbing fit-off","h25","l8","hotel suites (fit-off)"
,,"h26","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h26"
,,"h27","expanded","plumbing fit-off","l8","h27","hotel suites (fit-off)"
,,"h28","expanded","plumbing fit-off","l8","hotel suites (fit-off)","h28"
,"Columns"
,,"8.1 FO Toilets & Cisterns Installation",,"8.1 fo toilets & cisterns installation"
,,"8.3 FO Wash Basins & Tapware Installation",,"8.3 fo wash basins & tapware installation"
,,"8.4 FO Showers & Tapware Installation",,"8.4 fo showers & tapware installation"
,,"8.5 FO Baths & Tapware Installation",,"8.5 fo baths & tapware installation"
,,"8.10 FO Wall Tundishes Installation",,"8.10 fo wall tundishes installation"
,,"8.13 FO Tempering Valve (TV) Installation",,"8.13 fo tempering valve (tv) installation"
,,"8.12 FO Thermostatic Mixing Valve (TMV) Installation",,"8.12 fo thermostatic mixing valve (tmv) installation"

"Plumbing Fit-Off - Tower Apartments - L11 - L22"
,"Scope",,
,"Rows"
,,"Tower Apartments - L11","grouping","l11","plumbing fit-off","tower apartments (fit-off)"
,,"d1101","expanded","plumbing fit-off","tower apartments (fit-off)","l11","d1101"
,,"d1102","expanded","plumbing fit-off","tower apartments (fit-off)","l11","d1102"
,,"d1103","expanded","plumbing fit-off","tower apartments (fit-off)","l11","d1103"
,,"d1104","expanded","d1104","plumbing fit-off","tower apartments (fit-off)","l11"
,,"d1105","expanded","d1105","plumbing fit-off","tower apartments (fit-off)","l11"
,,"d1106","expanded","plumbing fit-off","d1106","tower apartments (fit-off)","l11"
,,"d1107","expanded","plumbing fit-off","d1107","tower apartments (fit-off)","l11"
,,"d1108","expanded","plumbing fit-off","tower apartments (fit-off)","d1108","l11"
,,"d1109","expanded","plumbing fit-off","tower apartments (fit-off)","d1109","l11"
,,"d1110","expanded","plumbing fit-off","tower apartments (fit-off)","d1110","l11"
,,"d1111","expanded","plumbing fit-off","tower apartments (fit-off)","d1111","l11"
,,"d1112","expanded","plumbing fit-off","tower apartments (fit-off)","l11","d1112"
,,"d1113","expanded","plumbing fit-off","tower apartments (fit-off)","l11","d1113"
,,"Tower Apartments - L12","grouping","l12","plumbing fit-off","tower apartments (fit-off)"
,,"d1201","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1201"
,,"d1202","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1202"
,,"d1203","expanded","d1203","plumbing fit-off","tower apartments (fit-off)","l12"
,,"d1204","expanded","d1204","plumbing fit-off","tower apartments (fit-off)","l12"
,,"d1205","expanded","plumbing fit-off","d1205","tower apartments (fit-off)","l12"
,,"d1206","expanded","plumbing fit-off","d1206","tower apartments (fit-off)","l12"
,,"d1207","expanded","plumbing fit-off","tower apartments (fit-off)","d1207","l12"
,,"d1208","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1208"
,,"d1209","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1209"
,,"d1210","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1210"
,,"d1211","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1211"
,,"d1212","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1212"
,,"d1213","expanded","plumbing fit-off","tower apartments (fit-off)","l12","d1213"
,,"Tower Apartments - L13","grouping","plumbing fit-off","tower apartments (fit-off)","l13"
,,"d1301","expanded","plumbing fit-off","tower apartments (fit-off)","l13","d1301"
,,"d1302","expanded","d1302","plumbing fit-off","tower apartments (fit-off)","l13"
,,"d1303","expanded","d1303","plumbing fit-off","tower apartments (fit-off)","l13"
,,"d1304","expanded","plumbing fit-off","d1304","tower apartments (fit-off)","l13"
,,"d1305","expanded","plumbing fit-off","d1305","tower apartments (fit-off)","l13"
,,"d1306","expanded","plumbing fit-off","tower apartments (fit-off)","d1306","l13"
,,"d1307","expanded","plumbing fit-off","tower apartments (fit-off)","d1307","l13"
,,"d1308","expanded","plumbing fit-off","tower apartments (fit-off)","d1308","l13"
,,"d1309","expanded","plumbing fit-off","tower apartments (fit-off)","d1309","l13"
,,"d1310","expanded","plumbing fit-off","tower apartments (fit-off)","d1310","l13"
,,"d1311","expanded","plumbing fit-off","tower apartments (fit-off)","d1311","l13"
,,"d1312","expanded","plumbing fit-off","tower apartments (fit-off)","l13","d1312"
,,"d1313","expanded","d1313","plumbing fit-off","tower apartments (fit-off)","l13"
,,"Tower Apartments - L14","grouping","plumbing fit-off","l14","tower apartments (fit-off)"
,,"d1401","expanded","d1401","plumbing fit-off","tower apartments (fit-off)","l14"
,,"d1402","expanded","d1402","plumbing fit-off","tower apartments (fit-off)","l14"
,,"d1403","expanded","plumbing fit-off","d1403","tower apartments (fit-off)","l14"
,,"d1404","expanded","plumbing fit-off","d1404","tower apartments (fit-off)","l14"
,,"d1405","expanded","plumbing fit-off","tower apartments (fit-off)","d1405","l14"
,,"d1406","expanded","plumbing fit-off","tower apartments (fit-off)","d1406","l14"
,,"d1407","expanded","plumbing fit-off","tower apartments (fit-off)","d1407","l14"
,,"d1408","expanded","plumbing fit-off","tower apartments (fit-off)","l14","d1408"
,,"d1409","expanded","d1409","plumbing fit-off","tower apartments (fit-off)","l14"
,,"d1410","expanded","plumbing fit-off","tower apartments (fit-off)","l14","d1410"
,,"d1411","expanded","plumbing fit-off","tower apartments (fit-off)","l14","d1411"
,,"d1412","expanded","d1412","plumbing fit-off","tower apartments (fit-off)","l14"
,,"d1413","expanded","d1413","plumbing fit-off","tower apartments (fit-off)","l14"
,,"Tower Apartments - L15","grouping","l15","plumbing fit-off","tower apartments (fit-off)"
,,"d1501","expanded","l15","d1501","plumbing fit-off","tower apartments (fit-off)"
,,"d1502","expanded","l15","plumbing fit-off","d1502","tower apartments (fit-off)"
,,"d1503","expanded","l15","plumbing fit-off","d1503","tower apartments (fit-off)"
,,"d1504","expanded","l15","plumbing fit-off","tower apartments (fit-off)","d1504"
,,"d1505","expanded","l15","plumbing fit-off","tower apartments (fit-off)","d1505"
,,"d1506","expanded","l15","plumbing fit-off","tower apartments (fit-off)","d1506"
,,"d1507","expanded","l15","plumbing fit-off","tower apartments (fit-off)","d1507"
,,"d1508","expanded","d1508","l15","plumbing fit-off","tower apartments (fit-off)"
,,"d1509","expanded","l15","d1509","plumbing fit-off","tower apartments (fit-off)"
,,"d1510","expanded","l15","plumbing fit-off","tower apartments (fit-off)","d1510"
,,"d1511","expanded","d1511","l15","plumbing fit-off","tower apartments (fit-off)"
,,"d1512","expanded","l15","d1512","plumbing fit-off","tower apartments (fit-off)"
,,"d1513","expanded","l15","plumbing fit-off","d1513","tower apartments (fit-off)"
,,"Tower Apartments - L16","grouping","l16","plumbing fit-off","tower apartments (fit-off)"
,,"d1601","expanded","l16","plumbing fit-off","d1601","tower apartments (fit-off)"
,,"d1602","expanded","l16","plumbing fit-off","d1602","tower apartments (fit-off)"
,,"d1603","expanded","l16","plumbing fit-off","tower apartments (fit-off)","d1603"
,,"d1604","expanded","l16","plumbing fit-off","tower apartments (fit-off)","d1604"
,,"d1605","expanded","l16","plumbing fit-off","tower apartments (fit-off)","d1605"
,,"d1606","expanded","l16","plumbing fit-off","tower apartments (fit-off)","d1606"
,,"d1607","expanded","l16","d1607","plumbing fit-off","tower apartments (fit-off)"
,,"d1608","expanded","l16","d1608","plumbing fit-off","tower apartments (fit-off)"
,,"d1609","expanded","l16","plumbing fit-off","d1609","tower apartments (fit-off)"
,,"d1610","expanded","l16","d1610","plumbing fit-off","tower apartments (fit-off)"
,,"d1611","expanded","l16","d1611","plumbing fit-off","tower apartments (fit-off)"
,,"d1612","expanded","l16","plumbing fit-off","d1612","tower apartments (fit-off)"
,,"d1613","expanded","l16","plumbing fit-off","d1613","tower apartments (fit-off)"
,,"Tower Apartments - L17","grouping","plumbing fit-off","l17","tower apartments (fit-off)"
,,"d1701","expanded","plumbing fit-off","l17","d1701","tower apartments (fit-off)"
,,"d1702","expanded","plumbing fit-off","l17","tower apartments (fit-off)","d1702"
,,"d1703","expanded","plumbing fit-off","l17","tower apartments (fit-off)","d1703"
,,"d1704","expanded","plumbing fit-off","l17","tower apartments (fit-off)","d1704"
,,"d1705","expanded","plumbing fit-off","l17","tower apartments (fit-off)","d1705"
,,"d1706","expanded","d1706","plumbing fit-off","l17","tower apartments (fit-off)"
,,"d1707","expanded","d1707","plumbing fit-off","l17","tower apartments (fit-off)"
,,"d1708","expanded","plumbing fit-off","d1708","l17","tower apartments (fit-off)"
,,"d1709","expanded","plumbing fit-off","l17","tower apartments (fit-off)","d1709"
,,"d1710","expanded","d1710","plumbing fit-off","l17","tower apartments (fit-off)"
,,"d1711","expanded","plumbing fit-off","d1711","l17","tower apartments (fit-off)"
,,"d1712","expanded","plumbing fit-off","l17","d1712","tower apartments (fit-off)"
,,"d1713","expanded","plumbing fit-off","l17","tower apartments (fit-off)","d1713"
,,"Tower Apartments - L18","grouping","plumbing fit-off","l18","tower apartments (fit-off)"
,,"d1801","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1801"
,,"d1802","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1802"
,,"d1803","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1803"
,,"d1804","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1804"
,,"d1805","expanded","d1805","plumbing fit-off","l18","tower apartments (fit-off)"
,,"d1806","expanded","d1806","plumbing fit-off","l18","tower apartments (fit-off)"
,,"d1807","expanded","plumbing fit-off","l18","d1807","tower apartments (fit-off)"
,,"d1808","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1808"
,,"d1809","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1809"
,,"d1810","expanded","plumbing fit-off","l18","d1810","tower apartments (fit-off)"
,,"d1811","expanded","plumbing fit-off","l18","d1811","tower apartments (fit-off)"
,,"d1812","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1812"
,,"d1813","expanded","plumbing fit-off","l18","tower apartments (fit-off)","d1813"
,,"Tower Apartments - L19","grouping","l19","plumbing fit-off","tower apartments (fit-off)"
,,"d1901","expanded","plumbing fit-off","tower apartments (fit-off)","l19","d1901"
,,"d1902","expanded","plumbing fit-off","tower apartments (fit-off)","l19","d1902"
,,"d1903","expanded","plumbing fit-off","tower apartments (fit-off)","l19","d1903"
,,"d1904","expanded","d1904","plumbing fit-off","tower apartments (fit-off)","l19"
,,"d1905","expanded","d1905","plumbing fit-off","tower apartments (fit-off)","l19"
,,"d1906","expanded","plumbing fit-off","d1906","tower apartments (fit-off)","l19"
,,"d1907","expanded","plumbing fit-off","tower apartments (fit-off)","d1907","l19"
,,"d1908","expanded","plumbing fit-off","tower apartments (fit-off)","d1908","l19"
,,"d1909","expanded","plumbing fit-off","tower apartments (fit-off)","l19","d1909"
,,"d1910","expanded","plumbing fit-off","d1910","tower apartments (fit-off)","l19"
,,"d1911","expanded","plumbing fit-off","tower apartments (fit-off)","d1911","l19"
,,"d1912","expanded","plumbing fit-off","tower apartments (fit-off)","l19","d1912"
,,"d1913","expanded","plumbing fit-off","tower apartments (fit-off)","l19","d1913"
,,"Tower Apartments - L20","grouping","plumbing fit-off","tower apartments (fit-off)","l20"
,,"d2001","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2001"
,,"d2002","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2002"
,,"d2003","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2003"
,,"d2004","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2004"
,,"d2005","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2005"
,,"d2006","expanded","d2006","plumbing fit-off","tower apartments (fit-off)","l20"
,,"d2007","expanded","d2007","plumbing fit-off","tower apartments (fit-off)","l20"
,,"d2008","expanded","plumbing fit-off","d2008","tower apartments (fit-off)","l20"
,,"d2009","expanded","plumbing fit-off","d2009","tower apartments (fit-off)","l20"
,,"d2010","expanded","d2010","plumbing fit-off","tower apartments (fit-off)","l20"
,,"d2011","expanded","plumbing fit-off","d2011","tower apartments (fit-off)","l20"
,,"d2012","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2012"
,,"d2013","expanded","plumbing fit-off","tower apartments (fit-off)","l20","d2013"
,,"Tower Apartments - L21","grouping","plumbing fit-off","l21","tower apartments (fit-off)"
,,"d2101","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2101"
,,"d2102","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2102"
,,"d2103","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2103"
,,"d2104","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2104"
,,"d2105","expanded","d2105","plumbing fit-off","l21","tower apartments (fit-off)"
,,"d2106","expanded","d2106","plumbing fit-off","l21","tower apartments (fit-off)"
,,"d2107","expanded","plumbing fit-off","d2107","l21","tower apartments (fit-off)"
,,"d2108","expanded","plumbing fit-off","l21","d2108","tower apartments (fit-off)"
,,"d2109","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2109"
,,"d2110","expanded","plumbing fit-off","l21","d2110","tower apartments (fit-off)"
,,"d2111","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2111"
,,"d2112","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2112"
,,"d2113","expanded","plumbing fit-off","l21","tower apartments (fit-off)","d2113"
,,"Tower Apartments - L22","grouping","l22","plumbing fit-off","tower apartments (fit-off)"
,,"d2201","expanded","plumbing fit-off","tower apartments (fit-off)","l22","d2201"
,,"d2202","expanded","plumbing fit-off","tower apartments (fit-off)","l22","d2202"
,,"d2203","expanded","plumbing fit-off","tower apartments (fit-off)","l22","d2203"
,,"d2204","expanded","d2204","plumbing fit-off","tower apartments (fit-off)","l22"
,,"d2205","expanded","d2205","plumbing fit-off","tower apartments (fit-off)","l22"
,,"d2206","expanded","plumbing fit-off","d2206","tower apartments (fit-off)","l22"
,,"d2207","expanded","plumbing fit-off","d2207","tower apartments (fit-off)","l22"
,,"d2208","expanded","plumbing fit-off","tower apartments (fit-off)","d2208","l22"
,,"d2209","expanded","plumbing fit-off","tower apartments (fit-off)","d2209","l22"
,,"d2210","expanded","plumbing fit-off","tower apartments (fit-off)","d2210","l22"
,,"d2211","expanded","plumbing fit-off","tower apartments (fit-off)","d2211","l22"
,,"d2212","expanded","plumbing fit-off","tower apartments (fit-off)","l22","d2212"
,,"d2213","expanded","plumbing fit-off","tower apartments (fit-off)","l22","d2213"
,"Columns"
