"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0664fd2f-99a9-4946-88ac-e7672ec505d9","","not-started","","folder","TRUE","FALSE","Site QA"
"da009e2c-bbbf-4b14-98ce-92a5ab1e481a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 1"
"88b09662-ec85-464b-b61f-8a4693039741","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","304 - Eketone's"
"0ed38920-68d3-4652-933b-1f54b497a100","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","305 - Weigh In Motion Stn"
"0154b123-a3ea-4465-8df5-af8dd91ed65e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","306 - Puriri"
"2f26bd68-aa42-4d34-b7a6-9c0f6504e166","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","307 - West Road Passing Lane"
"3153d3cf-5681-46b9-837a-9194d8c1431c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","308 - Newell Road"
"0dcaa516-5c7c-47da-8eaa-3a50b8f19b0f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 3","309 - Tokora begin of Split Carrage"
"05084a03-ead9-4d23-884c-885d8fc29f9f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 4"
"804c7fb1-3732-4e7d-9586-05f87b7d0c59","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 4","401 - SH32 Approach/Intersection"
"42528511-6d43-4d10-8ee0-5914c9b31af6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 4","402 - Campbell Road"
"a916b2b2-c849-424b-9eae-ca5162f9708b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 4","403 - Over Bridge"
"07b9ed01-9f39-4e10-84e7-bce14e35c887","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 4","404 - Barron Road"
"17e45388-8d45-41a4-bd3f-81dfaa55b4db","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 4","405 - Mc Cracken Road"
"2687e649-af42-4f76-a2f5-05981bfcd69f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5"
"ae42ec70-8dc5-4b71-ab26-d50db116d2af","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5","501 - Kiwi Road"
"a92144e1-f97f-4f77-b64e-b6a903c8a864","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5","503 - Hill Road Passing Lane"
"06215934-ac9b-473d-8347-f0fa1fde2eb0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5","504 - Tram Road"
"3607e77f-2649-49fc-b23d-9d1a1ae923f4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5","505 - McLauchlin's"
"4aa16713-c7d3-4a03-809a-0fa63c8c17d5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5","506 - Oruanui"
"7e5312e4-3856-4cb5-b52a-1467255cf42f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 5","507 - Palmer Mill Road"
"f82a8b5e-b765-430e-b2ef-50b22488904a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 6"
"70de4908-5b23-45e9-94e5-db2632e529e6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 6","601 - Centennial Drive"
"3da244f4-bf0a-4dd1-be0e-32f8ac7203a8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7"
"e736a459-237d-4e73-b9ab-a0c230767a66","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","701 - Waitahanui"
"53165462-37ff-41b4-b3f2-67857254a33e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","702 - Earthquake Gully A"
"1efd33db-ba78-43f1-ac7c-df5f52c1aeca","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","703 - Earthquake Gully B"
"a0ed57bf-d2b9-4caf-87d4-1e0df7d08d19","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","704 - Hatepe Hill"
"5a13011c-7e01-4092-bf79-175fa814cabd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","705 - Hallets Bay"
"7dbf6e7e-89e7-440c-baa2-46d0dc177c55","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","706 - Kiko Road"
"caf07565-3204-413d-9a0a-b9e6712dbdbf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 7","707 - Motuoapa"
"b00c9d4a-cb0e-46cf-9020-d315ae065ecf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 8"
"cd81c152-0d65-46fe-9637-ce24549858a3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 8","801 - Red Hut Pools"
"e518eb5c-bee2-45bb-9e4b-047410bcb3c1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 8","802 - Pukererata"
"252e271e-84e6-42b4-95cc-c959b47ae70a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 8","803 - Mangamate"
"30ec1a79-f058-421f-9977-a97c9a23adf7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 8","804 - Oturere"
"d62fa197-3387-4b68-9462-8e17856afcbd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 8","805 - Mangatoetoe-nui"
"d148507b-62a5-41aa-927d-8d804c5e1c1a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 9"
"796ac1bf-28d7-4345-bf83-faa26a202830","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 9","901 - Desert Rd AWPT 04/05"
"767a364c-9243-475c-897e-9714bb566227","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Zone 9","902 - Waiaruhu"
