"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"62c547b4-f37f-4f3c-b54a-7416deecba8f","","no-status-not-started","","folder","TRUE","FALSE","Earthing and Lightning protection "
"1a3d7b42-db96-4193-a8a3-83f33fadcb40","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation"
"81de54c0-c653-47e3-86db-63bc5e46221b","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 18"
"b5d13038-258a-4ea2-88f6-5c8187a6d15e","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 19"
"a4a5fe2e-75c0-41fb-86e0-832947b1f09a","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 20"
"608628df-8bea-4a5c-b2e3-d014dc864c1b","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 21"
"8313a5be-d591-4a5f-9e9c-59eb3209a851","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 22"
"dc634ff1-3362-4e53-a031-914a36a62bf5","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 23"
"7df6093a-c254-4e5d-a5ef-08b74ff33722","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 24"
"8190f595-7dfc-432b-87f4-cf61b27cdaae","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 25"
"48a23e95-f5d7-4fec-ac0b-09791b787571","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 26"
"3e897337-71f9-4d33-8c9a-3a130265734e","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 27"
"f3f398f5-ad5b-467e-b02c-d9354b1dec7d","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 28"
"a959d150-19fe-4186-ae45-491873fcb9f6","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 29"
"bc00615e-907d-4d47-8e95-cfcbd4002c7e","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 30"
"fac19474-c9f5-465a-8b1a-0238d4a07c67","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 31"
"324bb803-e3b9-488d-ac34-07452e0a0320","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 32"
"2409ca28-4a53-49fc-bbbf-85b3a0531577","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 33"
"92f08e52-ba32-4525-9710-2285ba9fd7b9","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 34"
"4f013780-35ae-4368-9c3e-bed85aac883d","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 35"
"6302045c-bc8b-4bb6-b87e-6417a8f69198","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 36"
"2bbe6d0f-cb17-44db-90b7-d851f1e36602","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 37"
"75bd538d-002f-46e3-942a-2e20f1a67893","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 38"
"3cef00e8-1a62-40f2-ab91-2eda7ce7f3f2","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 39"
"25a3a1cd-a1c5-4daa-8ce4-ba337b69bc70","","no-status-not-started","","folder","TRUE","FALSE","In Slab Conduit Installation","level 40"
"0b410a2d-b599-4e53-afaf-e1433b31e900","","no-status-not-started","","folder","TRUE","FALSE","Cable Tray"
"372d7435-f8e9-4382-870c-7e6ac13d9fa5","","no-status-not-started","","folder","TRUE","FALSE","Submains"
"e40cf558-d8f9-4daf-8cae-1fe42a668566","","work-in-progress","","folder","TRUE","FALSE","Test Folder"
"aa0a0d2b-a72b-44c9-8ffc-6bfe09348886","","work-in-progress","Quality - Earthing & Lightning protection","checklist","FALSE","FALSE","Test Folder","Quality - Earthing & Lightning protection"
"3116a3a9-2fd3-47cd-94c7-8330cf966ef0","","work-in-progress","ITC: 5 Conduit/Catenary","checklist","FALSE","FALSE","Test Folder","Pour #1"
