"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"29426602-3107-49c7-bb72-c2a4a48c712a","","checklist-sectioned","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-2 (FP1 IC)"
"af11f83a-8a58-4610-9ffb-5b27247009de","","checklist-sectioned","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-3 (PA2 BC)"
"a43fd67d-a9f1-449f-8325-76a8201722df","","checklist-sectioned","work-in-progress","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","3) ITP-003 Asphalt","SYM-PURL-ASP-1D-4 (PA2 WC)"
"db71fb78-d7a2-41e3-a4b5-511ee9c5ce2e","","folder-normal","pass","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements"
"23eaa7a8-d421-4931-9d07-3c4b6adfe08c","","checklist-sectioned","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-1 (F3 #1)"
"e65f4826-3ac9-4b3b-9e94-5a6cfefb45d7","","checklist-sectioned","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-2 (F3 #2)"
"95ac5b05-c221-48b6-a085-7a0068bfee4b","","checklist-sectioned","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-3 (F3 #3)"
"62ad0cd4-fcc9-49f3-9a40-667ce98c8353","","checklist-sectioned","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-4 (F3 #4)"
"d0e1cde2-b3fe-4efc-bf19-bc02db6ab382","","checklist-sectioned","pass","SYM-ITP-004 - Underscreed Concrete Pavement (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","4) ITP-004 Concrete Pavements","SYM-PURL-PCON-1D-5 (F3 #5)"
"3c63cb6d-9260-49a5-aae9-ca494d825ee5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1D","6) ITP-006 Stormwater"
"aa8262e3-805a-4d30-98b0-6029c3eac3f5","","checklist-sectioned","work-in-progress","7d708b9026d9983bdc28cff87d31fb20bb0c8f2965a239677f6633f3e1d04e0d","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1D","6) ITP-006 Stormwater","SYM-PURL-SWD-1D-1 (PV-2.6 to PV-2.6.1)"
