"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cc9bc8f7-a0c4-4655-8bcd-80e4c4330afe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"e9a3d784-f609-45a5-a26f-fe516dec6e06","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","McGregor Rd - North"
"4de9e0db-4e53-4315-85a2-6015a538a0c2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Verge RHS - Layer 3"
"941de157-6d66-41a9-b67d-17136b70bb55","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Verge RHS - Layer 2"
"57297fb5-78c2-4407-8358-888fc1a00936","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Verge RHS - Layer 1"
"23fbcd46-43be-4adc-af9f-1d2534b26fa6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type V Asphalt"
"14d423cf-8fb9-465a-977b-f4558a774288","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type SS Asphalt"
"437c75a2-7cd8-4931-9223-4bba328b181f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type SF Asphalt"
"84625dce-f2f9-4bd2-8fd9-ee72166c862a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Upper Subbase - CTCR"
"4064b7cd-e8c9-4931-a613-ff66b6b9de2a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Lower Subbase - Class 4 Crushed Rock"
"f6b82d0e-e830-4600-a932-8e07ef418eee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 10"
"a01a8705-38c7-4109-9c12-7cacca09d2de","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 10","Change to Lot # when allocated"
"9c5294cf-da4d-4b5f-bdb4-62386b1534a1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 9"
"c47f218c-ea5f-4d3d-bc7a-6d05fcd7f6bd","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 9","Change to Lot # when allocated"
"e3c63aa4-7c7a-4427-a0cc-5110e15ecd81","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 8"
"18c9b29a-9f5c-4f41-af29-b7174ae08e6f","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 8","Change to Lot # when allocated"
"037c961e-6091-4a2a-8a9f-9834628e4686","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 7"
"4bbba5a7-279d-4b95-8024-f439510bb7d3","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 7","Change to Lot # when allocated"
"8fa97c01-5194-4ef1-90f2-51e9e11ca738","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 6"
"7911ca61-a6ab-4190-b3d5-78b550f44750","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 6","1630-SMY-EAL-0035"
"d6933244-fbdd-42e5-b7c7-4ebe4b1fe0fa","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 5"
"30073e52-0340-43e1-9d66-0e30334e2f7b","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 5","1630-SMY-EAL-0036"
"d2744624-a6e4-4d5e-adb2-ffe2e5f89503","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 4"
"5939e5c6-c5a9-4d15-b70d-2f7c2abc0e4b","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 4","1630-SMY-EAL-0034"
"0e20256c-378b-4ad3-8659-5d4f7a6bf24c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 3"
"459862d3-1622-49cb-9b38-06e281632628","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 3","1630-SMY-EAL-0029"
"28b80698-ce49-4e9b-8e10-8276a55a6177","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 2 (200mm)"
"fcf790da-8684-4aed-9271-3801e24b6e93","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 2 (200mm)","1630-SMY-EAL-0026"
"17685916-257b-4737-b83e-3f80e607b577","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 1 (200mm)"
"9717e698-b857-4e85-be6f-51a3d12ed0af","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 1 (200mm)","1630-SMY-EAL-0014"
"78e22d3e-d442-45c8-9b29-bffd1fddab67","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0007 Fill Earthworks Type B","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Type B - Layer 1 (200mm)","1630-SYM-EAL-0016"
"baf44ed3-13bc-46e1-b6c2-3f597d138353","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Clearing & Grubbing"
"308e0ac3-33c2-46b5-b129-e25675e253fb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Topsoil Strip"
"297e9e21-7c86-439a-8183-f754e84eca19","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Topsoil Strip","1630-SYM-EAL-0002"
"a0f8a570-18c4-490c-8383-86e36fbf5f0b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Stripped Surface"
"c529abc4-477e-481b-9f6d-bc74f2603020","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","McGregor Rd - South","Cut Floor"
"e4b71e41-5075-4199-a744-f25128cfe15a","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0002 Cut Floor/Topsoil Stripping","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Cut Floor","1630-SYM-EAL-0010"
"6ce084e0-1b15-41f4-b0aa-2859763f12cc","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0002 Cut Floor/Topsoil Stripping","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Cut Floor","1630-SYM-EAL-0006"
"85c4d34c-c8ae-4e8e-9d96-0d30c128c16d","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0002 Cut Floor/Topsoil Stripping","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Cut Floor","1630-SYM-EAL-0005"
"da5ffa10-7fe5-4f1a-9ea1-46a39cf1e85c","","checklist-sectioned","not-started","1630-P200-SYM-QAC-ITP-0002 Cut Floor/Topsoil Stripping","checklist","FALSE","FALSE","Site QA","McGregor Rd - South","Cut Floor","1630-SYM-EAL-0012"
