"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e7a84e65-2b34-40aa-a271-5d199db12a60","","folder-normal","pass","","step","TRUE","FALSE","Graeme Road"
"e0fa218a-9ba6-4d41-90da-57af6892be45","","checklist-flat","pass","Raleigh Road Bus Lane - ITP - Traffic Signal Ducting and Pole Erection","checklist-flat","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 1","ITP - Traffic Signal Ducting and Pole Erection"
"7c26c83e-1610-40d2-8719-49fe517442cc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Raleigh Road Bus Lane","Midblock 2"
"05b0277d-6f24-4057-a0ba-2c895a662c8c","","checklist-sectioned","work-in-progress","Raleigh Road Bus Lane - ITP - Civil Works","checklist","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 2","ITP - Civil Works"
"7edc7893-a84c-4e16-8b8b-09a07dea0123","","checklist-flat","work-in-progress","Raleigh Road Bus Lane - ITP - Traffic Signal Ducting and Pole Erection","checklist-flat","FALSE","FALSE","Raleigh Road Bus Lane","Midblock 2","ITP - Traffic Signal Ducting and Pole Erection"
"648a38a9-a8b1-4f23-ae1a-d6b3a30c6b57","","checklist-sectioned","fail","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Training/Demo ITP"
"4d7d1eaa-bf36-4dc2-8824-70e8df73f9b9","","folder-normal","pass","","step","TRUE","FALSE","East Coast Road - VRU"
"8e95681c-1b22-4cf5-b3e9-3ba99ffb079d","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","East Coast Road - VRU","ITP - Raised Pedestrian Crossing"
"c2168a3f-3f19-430c-9bfc-ad86139e0a17","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","East Coast Road - VRU","ITP - Enabling Works - Footpath, Kerb and channel"
"b43a57dc-ceae-4c99-9f82-47f248051e60","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","East Coast Road - VRU","ITP - Traffic Islands"
"19c8b988-2a7d-471e-af88-928cf4eb1616","","folder-normal","pass","","step","TRUE","FALSE","Beachcroft Avenue"
"04a4587d-08fc-4528-8c52-9b5dd05c74dd","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Beachcroft Avenue","ITP - Enabling Works - Footpath, Kerb and Channel (Beachcroft North)"
"9ae052a8-1b52-4b5f-baf5-59077eb10365","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Beachcroft Avenue","ITP - Enabling Works - Footpath, Kerb and Channel (Beachcroft South)"
"caff52ef-700b-4210-b495-cb29eeb8bba0","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Beachcroft Avenue","ITP - Enabling Works - Footpath, Kerb and Channel (Pleasant Street Corners)"
"e0da327b-9bde-4ea0-aeeb-dcac24e12336","","folder-normal","pass","","step","TRUE","FALSE","Walmsley/Mahunga/Donnell"
"a97abd7e-b9e8-4708-9fc9-1d9085b6a4dd","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (SW)"
"b83c9f08-3715-45e3-84dc-d862a963f859","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Stormwater Drainage"
"1f322b32-8f0d-436f-96ca-ebfbf22f2ba0","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Traffic Islands (NE)"
"f242eff3-4b38-4079-9f53-60cfd078f972","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Traffic Islands (NW)"
"72ad9bda-8203-462f-86c2-44188b4cf7c9","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (SE)"
"bf5c99be-eb27-4155-85d0-bff34612610d","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (NE)"
"df10660e-aed3-4c12-a225-5e404d6bf212","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Walmsley/Mahunga/Donnell","ITP - Enabling Works - Footpath, Kerb and channel (NW)"
"c4343c6d-492d-45de-9123-579465c82a40","","folder-normal","pass","","step","TRUE","FALSE","Rogan Arundel"
"896f4176-2c0a-4b31-b231-73d82c099476","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel NW"
"9edf0a6b-2fe0-4ba3-894e-e8ee98564a96","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel NE"
"96296abd-9f84-4d0c-a8ee-4102b230963b","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel SW"
"1549f948-5a67-416e-8138-900a7f653bf0","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Rogan Arundel","ITP - Enabling Works - Footpath, Kerb and channel SE"
"c050aee4-bc90-488d-ae9f-ce66d21d832f","","checklist-flat","pass","Portland Road - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","Rogan Arundel","ITP - Stormwater Drainage NE"
"38a9e0da-1e75-47af-a7c8-fa45116ac5bf","","checklist-flat","pass","Portland Road - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","Rogan Arundel","ITP - Stormwater Drainage SE"
"89cc11ba-5ca2-4a60-9c44-477c1bb1c403","","folder-normal","pass","","step","TRUE","FALSE","Rockfield Road"
"68f7a67e-f09b-4436-ba55-e352861f3ac7","","checklist-sectioned","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Rockfield Road","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel"
"6b452369-af24-42f9-b200-540ee172125d","","checklist-flat","pass","ITP - Rockfield Road - Enabling Works - Stormwater Drainage	","checklist-flat","FALSE","FALSE","Rockfield Road","ITP - Rockfield Road - Enabling Works - Stormwater Drainage"
"5e8fa30e-7302-402f-90c4-b6a6a45152bd","","checklist-flat","pass","ITP - Rockfield Road - Raised Pedestrian Crossing	","checklist-flat","FALSE","FALSE","Rockfield Road","ITP - Rockfield Road - Raised Pedestrian Crossing"
"ef86a9d8-22ce-4da6-91ab-2b17eecedfcb","","folder-normal","pass","","step","TRUE","FALSE","VRU - Motatau Road"
"8ddcc06f-28ea-4a9d-a9cd-26bc00cb2567","","checklist-sectioned","pass","ITP - Motatau - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - Motatau Road","ITP - Motatau - Enabling Works - Footpath, Kerb and channel"
"3bbfa3af-105a-4f8e-9b57-88b0cc7d0a6f","","checklist-flat","pass","ITP - Motatau - Raised Pedestrian Crossing ","checklist-flat","FALSE","FALSE","VRU - Motatau Road","ITP - Motatau - Raised Pedestrian Crossing"
"7a8c4364-b731-4c2f-92cd-72e1cf0a460d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Willcott Road"
"33664ca5-5b41-44ac-aa32-8aaad865acb2","","checklist-sectioned","work-in-progress","ITP - Willcott Street  - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Willcott Road","ITP - Willcott Street  - Enabling Works - Footpath, Kerb and channel"
"646119cd-c363-40ed-828d-17453212dcb8","","checklist-flat","work-in-progress","ITP - Willcott Street - Raised Pedestrian Crossing        ","checklist-flat","FALSE","FALSE","Willcott Road","ITP - Willcott Street - Raised Pedestrian Crossing"
"7dac82a1-1f02-45a5-a40a-ab9d16e88dcc","","checklist-flat","pass","ITP - Willcott Street - Stormwater Drainage	","checklist-flat","FALSE","FALSE","Willcott Road","ITP - Willcott Street - Stormwater Drainage"
"5849ccaa-c4d1-4f29-9383-c630303cf3f0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manurewa Project"
"90f3be9c-5533-4577-a34d-6d9b183d54f5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manurewa Project","McDivitt St/Mahia Rd"
"a3a2fd32-5e1d-491e-8e9d-5d3c2111def6","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","McDivitt St/Mahia Rd","ITP - Enabling Works - Footpath, Kerb and channel"
"13171293-a9d6-493c-b3ce-649b57bbcc8b","","checklist-flat","work-in-progress","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","Manurewa Project","McDivitt St/Mahia Rd","ITP - Stormwater Drainage"
"1ac3e63c-e9de-4ea5-ba00-06b52dae0a59","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Sykes Rd"
"c3c69459-799f-42ed-afa8-8a6798ea056a","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Sykes Rd","ITP - Enabling Works - Footpath, Kerb and channel"
"be938125-1202-4334-b3ce-4c584b79688c","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Dr Pickering Ave (West)"
"7e2449f3-0f5f-419a-8908-608c5b1b88dc","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Dr Pickering Ave (West)","ITP - Enabling Works - Footpath, Kerb and channel"
"2e21107c-3a3a-4011-963b-91bac8f8f0d6","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Mountfort St/O’Connell St"
"681bf5de-a5b8-4ce5-ac8a-a176522c2140","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Mountfort St/O’Connell St","ITP - Enabling Works - Footpath, Kerb and channel"
"d5f3e6ba-09b3-4640-8d9c-f5b9531394f7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manurewa Project","Coxhead Rd/O’Connell St"
"70c606c9-1b2c-4725-8ae1-4e434614d3c9","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Coxhead Rd/O’Connell St","ITP - Enabling Works - Footpath, Kerb and channel"
"3c40223f-d133-4137-b8a0-8cf806c48878","","checklist-flat","not-started","ITP - Willcott Street - Stormwater Drainage	","checklist-flat","FALSE","FALSE","Manurewa Project","Coxhead Rd/O’Connell St","ITP - Stormwater Drainage"
"d52820b7-b3a1-43a3-becb-dc254853d5fc","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Kirton Crescent"
"0db3a80a-3a7c-4d9b-bb62-9f198ae722fe","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Kirton Crescent","ITP - Enabling Works - Footpath, Kerb and channel"
"b2d1184b-fd64-4297-85f6-e638a8e06747","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","Manurewa Project","Kirton Crescent","ITP - Traffic Islands"
"af2392ea-b782-4dda-8907-eec1bc904a3d","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Monuntfort St/Thompson Tce"
"b692b1cb-9269-4aab-81df-14f2231047a8","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Monuntfort St/Thompson Tce","ITP - Enabling Works - Footpath, Kerb and channel"
"a0bcd8b8-244f-46ee-a8cf-2d67a0a6fa72","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Morrin St/Thompson Tce"
"9a3e4add-850b-45ee-8fe5-5e779ac4b869","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Morrin St/Thompson Tce","ITP - Enabling Works - Footpath, Kerb and channel"
"e6ae16c6-7d48-4e1b-ab6b-03395678c84f","","folder-normal","pass","","step","TRUE","FALSE","Manurewa Project","Friedlanders Rd/Ruby St"
"de11b52f-be3b-4a84-b1c6-d48cca7c60dd","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Manurewa Project","Friedlanders Rd/Ruby St","ITP - Enabling Works - Footpath, Kerb and channel"
"b47d4012-7c5f-478e-b5d4-d1316fd66772","","folder-normal","pass","","step","TRUE","FALSE","VRU - Loloma Drive "
"66e9971b-209c-4e4a-8d06-bc1f610a6439","","checklist-sectioned","pass","ITP - Rockfield Road - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - Loloma Drive ","ITP - Loloma drive -  Enabling works - Footpath, Kerb and channel"
"f1242183-4d5c-44ad-a28d-640494445c69","","checklist-flat","pass","ITP - Motatau - Raised Pedestrian Crossing ","checklist-flat","FALSE","FALSE","VRU - Loloma Drive ","ITP - Loloma- Raised Pedestrian Crossing"
"c48a29fd-10f8-4a26-b979-227c024800d5","","folder-normal","pass","","step","TRUE","FALSE","VRU - George street"
"ec4ddf5f-a061-4299-a50c-aa304c91e724","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - George street","ITP - Stormwater Drainage"
"8a3ab97a-280f-48db-aa98-514ef515ee43","","checklist-flat","pass","Portland Road - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU - George street","ITP - Raised Pedestrian Crossing"
"3d5b5511-a9e8-4cd1-9c1e-f0c9c120605e","","checklist-sectioned","pass","ITP - Motatau - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - George street","ITP - George - Enabling Works - Footpath, Kerb and channel"
"f4c41e8c-f82a-43b8-8821-1ebeea66cd99","","folder-normal","pass","","step","TRUE","FALSE","VRU- Gladstone"
"86c22cb4-c1ec-40cb-b847-7bf89071a875","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU- Gladstone","ITP - Enabling Works - Footpath, Kerb and channel"
"a522be7d-74a0-4062-8cd9-1393f1f8697b","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU- Gladstone","ITP - Stormwater Drainage"
"67957a96-3387-45c8-b32a-288551d463cd","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU- Gladstone","ITP - Raised Pedestrian Crossing"
"eb4025c0-5d66-4b39-b072-421963456e4c","","folder-normal","pass","","step","TRUE","FALSE","VRU - Waiatarua"
"f4841688-3fe8-4794-afe7-eca5675d825d","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - Waiatarua","ITP - Enabling Works - Footpath, Kerb and channel"
"3004fcb7-4be3-43b2-ac89-62e01202f309","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU - Waiatarua","ITP - Raised Pedestrian Crossing"
"300fb587-4c72-41b4-8eb9-8a3254c9dd25","","folder-normal","pass","","step","TRUE","FALSE","VRU - golfland "
"f971aab1-7cf9-466c-9869-627f80fa64a1","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","VRU - golfland ","ITP - Enabling Works - Footpath, Kerb and channel"
"78938830-66c4-440f-89b1-4cbed2787783","","checklist-flat","pass","Graeme Ave - ITP - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","VRU - golfland ","ITP - Raised Pedestrian Crossing"
"8cf91bd2-c6b4-465a-b63c-347e176e44c1","","checklist-flat","pass","Graeme Ave - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - golfland ","ITP - Stormwater Drainage"
"ea5fecd7-bdac-4f63-80f6-8cd93f011eab","","folder-normal","pass","","step","TRUE","FALSE","Sunnybrae Road"
"232029c9-18e1-41b2-8c7a-8a3e8ee50cc9","","folder-normal","pass","","step","TRUE","FALSE","Sunnybrae Road","Stage 1"
"5c514268-1949-4a24-95cc-3b2d425b2d83","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Sunnybrae Road","Stage 1","ITP - Enabling Works - Footpath, Kerb and channel"
"2f6296d7-fcd8-4626-a0b7-28907306cebd","","folder-normal","pass","","step","TRUE","FALSE","Sunnybrae Road","Stage 2"
"6f4a0415-c012-426c-a79a-28db71b19b47","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Sunnybrae Road","Stage 2","ITP - Enabling Works - Footpath, Kerb and channel"
"e508620f-a268-405b-94f2-6cc74a975f68","","folder-normal","pass","","step","TRUE","FALSE","Sunnybrae Road","Stage 3"
"b1d03abc-e4e7-441b-a644-11a4ef2de713","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Sunnybrae Road","Stage 3","ITP - Enabling Works - Footpath, Kerb and channel"
"a4ddb539-b17e-4520-b72e-e4e5e78c059c","","folder-normal","pass","","step","TRUE","FALSE","Sunnybrae Road","Stage 4"
"ef0c90e4-4247-464c-95e8-a9c0fac03be8","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Sunnybrae Road","Stage 4","ITP - Enabling Works - Footpath, Kerb and channel"
"b20017b8-bbc0-49d9-a119-69f4cb533037","","folder-normal","pass","","step","TRUE","FALSE","Sunnybrae Road","Stage 5"
"669c0e67-cb22-4e49-b0d4-411b9a3e023b","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Sunnybrae Road","Stage 5","ITP - Enabling Works - Footpath, Kerb and channel"
"c42a44b2-c0e7-4d57-8a07-232412fece29","","folder-normal","pass","","step","TRUE","FALSE","Fred Thomas Drive"
"97c9b426-3d76-4e2d-aae2-1921124b4270","","checklist-sectioned","pass","SYS - Graeme Ave - ITP - Enabling Works - Footpath, Kerb and channel","checklist","FALSE","FALSE","Fred Thomas Drive","ITP - Enabling Works - Footpath, Kerb and channel"
"ae27d1e1-0b16-49d0-8522-412fedc98e7b","","folder-normal","pass","","step","TRUE","FALSE","Hillsborough Road"
"611a8693-081f-4194-81da-314f5d20e198","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Footpath, Kerb and channel","checklist","FALSE","FALSE","Hillsborough Road","ITP - Footpath, Kerb and channel"
"6b1f36d3-c873-4953-bbdd-208dc96e05e4","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Pavement Construction","checklist","FALSE","FALSE","Hillsborough Road","ITP - Pavement Construction"
"f608a781-e928-4963-96c2-a9b6d496fe30","","checklist-flat","pass","ITP - Griffen Park / Hillsborough Rd - Raised Pedestrian Crossing","checklist-flat","FALSE","FALSE","Hillsborough Road","ITP - Raised Pedestrian Crossing"
"ac7eff64-2e1b-492a-9dbc-9e02396be9d3","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Roundabout","checklist","FALSE","FALSE","Hillsborough Road","ITP - Roundabout"
"14a389d6-7d4f-405a-8d0c-14c89d97cab4","","checklist-flat","pass","ITP - Griffen Park / Hillsborough Rd - Stormwater Drainage","checklist-flat","FALSE","FALSE","Hillsborough Road","ITP - Stormwater Drainage"
"42ac7feb-cd23-4aee-a906-1669747374dc","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Vehicle Crossings","checklist","FALSE","FALSE","Hillsborough Road","ITP - Vehicle Crossings"
"7c9d864e-221b-4f68-9f67-a18512e9f58b","","checklist-sectioned","pass","ITP - Griffen Park / Hillsborough Rd - Traffic Island","checklist","FALSE","FALSE","Hillsborough Road","ITP - Traffic Island"
"904ea7b4-c351-40da-8b71-62e66f17d997","","folder-normal","pass","","step","TRUE","FALSE","Hillsborough Road","Protective Concrete layer for First Gas Line"
"fa782647-bd5e-4b4c-9b0b-382616d50aab","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","Hillsborough Road","Protective Concrete layer for First Gas Line","QA Photos"
"a9bdb7f5-c8aa-46e4-b68b-0bdffffd3f17","","folder-normal","pass","","step","TRUE","FALSE","Hillsborough Road","Asbuilt drawings"
"22710da6-5a37-446f-8e68-b9d5d8b54012","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","Hillsborough Road","Asbuilt drawings","Asbuilt files"
"593dbbab-7b78-4ad3-b13f-f4951cac351a","","folder-normal","pass","","step","TRUE","FALSE","VRU - 246 Mt Smart Road"
"1a10dd76-ac7f-411b-a5d4-f5cb6e536087","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - 246 Mt Smart Road","ITP - Enabling Works - Footpath, Kerb and channel"
"3705bc0f-f5b3-4a1a-9e71-e786fb47d409","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - 246 Mt Smart Road","ITP - Traffic Islands"
"f5223667-0939-4c96-9254-fb37534878aa","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 246 Mt Smart Road","Speedtable QA"
"184799e4-1203-4383-8a47-9f25c847a799","","folder-normal","pass","","step","TRUE","FALSE","VRU - 228 White Swan Road"
"971813a4-12e5-4759-aa16-21b96d350b7d","","checklist-sectioned","pass","White Swan Road - ITP - Enabling Works","checklist","FALSE","FALSE","VRU - 228 White Swan Road","ITP - Enabling Works - Footpath, Kerb and channel"
"5394ed99-ce1a-47c8-bef4-57514de989eb","","checklist-flat","pass","White Swan Road - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - 228 White Swan Road","ITP - Stormwater Drainage"
"af1bbba5-6ca4-43ba-9bd8-9acb4fa0bbd1","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - 228 White Swan Road","ITP - Traffic Islands"
"56e3a5c3-fe74-4be0-9f23-153a1c41559b","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - 228 White Swan Road","Speedtable QA"
"e4f00757-4024-499a-9358-c16c52cf24b8","","folder-normal","pass","","step","TRUE","FALSE","VRU - New North Rd x Sandringham Rd"
"ee1b96c5-7a2c-4037-9927-8c6dd226e965","","checklist-sectioned","pass","New North Road and Sandringham Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - New North Rd x Sandringham Rd","ITP - Enabling Works - Footpath, Kerb and channel"
"c88a04b0-c844-4a1e-bf6a-6b106f73c02c","","checklist-sectioned","pass","Stancombe Road - ITP - Traffic Islands","checklist","FALSE","FALSE","VRU - New North Rd x Sandringham Rd","ITP - Traffic Islands"
"ca1995d3-a3da-424f-a798-0d2c3bd5eace","","checklist-flat","pass","QA Photos","checklist-flat","FALSE","FALSE","VRU - New North Rd x Sandringham Rd","Speedtable QA "
"a86cbce0-4de3-434a-963c-72509c252c81","","folder-normal","pass","","step","TRUE","FALSE","VRU - 237 Tamaki Drive"
"fb992838-9444-4919-9a1e-49e18be9e4ed","","checklist-sectioned","pass","246 Mt Smart Road - ITP - Enabling Works - Footpath, Kerb and channel                                                                ","checklist","FALSE","FALSE","VRU - 237 Tamaki Drive","ITP - Enabling Works - Footpath, Kerb and channel"
"61e57385-6c06-4ee5-bb87-26a8fee90a91","","checklist-flat","pass","White Swan Road - ITP - Stormwater Drainage","checklist-flat","FALSE","FALSE","VRU - 237 Tamaki Drive","ITP - Stormwater Drainage"
