resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L5.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L5.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L5.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L5.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L5.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L5.01,,,,,,
,,step,,,,Level 06,,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-D-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-C-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B2-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-B1-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A1-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-GEF-A2-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-D-L6.01,,,,,,
Fire Damper Checklist [N],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A2-L6.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-A1-L6.01,,,,,,
Fire Damper Checklist [H],Sign Off (Fire Damper),folder-with-checklists,,,,,FD-LSF-B1-L6.01,,,,,,
,,step,,,,Level 07,,,,,,,
