"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"25350b90-ad5e-46b2-ad56-bb7153b13851","","pass","","folder","TRUE","FALSE","Site QA"
"c030b650-3cba-4f47-aeac-ab41d33388aa","","pass","","folder","TRUE","FALSE","Site QA","Ground"
"ca9d0651-ce1e-489e-ba9e-3e3bb40782e9","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 4","W403.01"
"2d286afc-d328-4cb8-aea8-884d0e021e4b","","pass","","folder","TRUE","FALSE","Site QA","Level 5"
"edfe5a4f-b31f-42bf-87fe-4974571339e4","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 5","W501.01"
"c6c9db1a-a828-4a70-a20b-8a9b2d3bc598","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 5","W502.01"
"6494442a-af61-4c51-96a5-3599e70ee1b7","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 5","W502.02"
"7bfb5511-cae2-4ccc-a9fd-33af14690768","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 5","W504.01"
"df9bae23-c3a3-401a-8518-1359e57173bc","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 5","W503.02"
"e7573ce3-d32d-44f2-bd9b-95c346d71999","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 5","W503.01"
"c84c4238-e179-4559-8a82-584f9ebbd10e","","pass","","folder","TRUE","FALSE","Site QA","Level 6"
"20ae7a51-fbb9-4316-9fa9-b3f9a1b7747b","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 6","W601.01"
"57036590-d0ad-4997-bb14-21e25a4da339","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 6","W602.01"
"d1e9918f-0adc-47e4-bbbe-6f8efcd2de78","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 6","W602.02"
"5d26c015-15e2-462f-8450-f8f649807bb5","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 6","W604.01"
"1ba49e8b-44e4-4433-a328-c8d7aa0ba89f","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 6","W603.02"
"a683f78b-551e-403b-a562-30f1587291ba","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 6","W603.01"
"6bd41134-0486-40be-9d4a-7a6885f1af30","","pass","","folder","TRUE","FALSE","Site QA","Level 7"
"c958639e-4cb0-482b-b48f-1815bf1f9082","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 7","W701.01"
"3ee72f3e-a8e1-4cc2-b9ca-601d4307d7f1","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 7","W702.01"
"5056052c-0400-4b74-8ce6-b00123f24544","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 7","W702.02"
"d00c218c-3627-451e-b44e-620239cddb76","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 7","W704.01"
"56614378-f364-4cd8-80c9-7023fc6a6401","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 7","W703.02"
"d6715b06-67d2-4a30-ba64-f76223f15356","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Level 7","W703.01"
"15d6f8c1-a16c-4f15-aecc-6ba94898c39d","","pass","","folder","TRUE","FALSE","Site QA","Penthouse"
"adb88de5-0eef-41e2-a5c2-6709af44cbcd","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.01"
"52542941-4a26-4c80-b925-3ab57e5036b7","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.02"
"fef60950-4427-465d-b6f6-a88d08132e50","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.03"
"cd647b73-4cfb-4cff-ba4b-a5b514a4b6e1","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.04"
"9072d19a-eac5-468e-99f4-a1bc3953ec01","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.05"
"a79b2750-63f8-4c07-9d75-a14f5f08c79a","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.06"
"ee02a34a-3520-4bf3-b4f6-e2f6c49b8465","","pass","Commercial/Domestic","checklist","FALSE","FALSE","Site QA","Penthouse","WP.07"
"4b8f42e5-e08a-41d6-871d-89b4f580c5dc","","fail","","folder","TRUE","FALSE","Remedials"
"16dd2591-3ef1-4009-b83b-c27f39e1e8a1","","not-started","","folder","TRUE","FALSE","Remedials","Ground"
"fa995dfe-3992-4e1a-8d73-279a3e56c507","","not-started","Seismic Suite (non curtain wall)","checklist","FALSE","FALSE","Remedials","Ground","WG.01 / DG.01"
"ace6b3e8-98d9-4920-9be9-b984c14cd1da","","not-started","","folder","TRUE","FALSE","Remedials","Level 1"
"d8c57bca-8e60-40db-9388-ed8e1325b32c","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 1","W101.01"
"a7c75b8e-03df-4056-a93d-7332c09b1ae7","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 1","W102.01"
"cb9905d7-9ad8-45e0-b94f-f66a9093ea6a","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 1","W102.02"
"7bab1e9d-26d3-454c-9aaa-644fc38cb8e9","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 1","W104.01"
"5e509e66-4b9f-497b-9d39-15e0c8be3b50","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 1","W103.02"
"28e72094-7475-4c4c-86d4-c6bc116ba51d","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 1","W103.01"
"f0c5a160-6f91-49c1-be82-b9e9dea7e8f4","","fail","","folder","TRUE","FALSE","Remedials","Level 2"
"6f80b9d4-9f09-4528-a6c4-586115303114","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 2","W201.01"
"ad18e3e3-ee7a-46cb-b616-79db3d9c5def","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 2","W202.01"
"e7f21947-8747-4539-bab5-b02dfbcdf7dc","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 2","W202.02"
"eb75d42a-7b01-469b-9cb7-3e71bc3a457c","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 2","W204.01"
"35267370-1448-4570-a879-12074d92e868","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 2","W203.02"
"ccfb1786-d7f4-441a-a319-e813bd01efe6","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 2","W203.01"
"7a9a73cf-a7f6-47e2-a4cb-14165a4b0501","","fail","","folder","TRUE","FALSE","Remedials","Level 3"
"f8762057-e9ae-418c-b263-00d741f88c56","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 3","W301.01"
"eb2fc1c6-7807-4dfb-acbc-13feec73886d","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 3","W302.01"
"56769ffd-2208-4baa-b66d-a4b7075a919c","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 3","W302.02"
"374b6ed7-c72d-4473-872a-75500717c3c9","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 3","W304.01"
"0eae5e37-da1a-43af-9c0d-b94381729953","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 3","W303.02"
"0b522cc1-9400-404a-b920-2faf80e54be9","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 3","W303.01"
"ccbfcb91-a8c5-47a3-b979-ba95d3ade12f","","fail","","folder","TRUE","FALSE","Remedials","Level 4"
"59f1f14a-e747-4d58-8d02-68f38ddaa887","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 4","W401.01"
"772ee619-6469-41de-86ac-5563ef91251e","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 4","W402.01"
"85f01bf9-100b-4e7b-a323-5a8a711e6090","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 4","W402.02"
"228be3e1-ed92-4eb0-a890-766c23515c05","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 4","W404.01"
"e4efccd6-791a-493e-a24b-ff4505a81cca","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 4","W403.02"
"ae651106-6f1e-4db5-aeb1-ae49535ca76c","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 4","W403.01"
"60eba1da-7b10-4cb1-8f62-d4176a33282c","","fail","","folder","TRUE","FALSE","Remedials","Level 5"
"1cd691e1-dee0-4f9f-832a-70829860fd9d","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 5","W501.01"
"5ae4d2da-18f3-4760-bb44-f14008886271","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 5","W502.01"
"07b02c0b-c3f7-4fc0-aa99-41081aa5783e","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 5","W502.02"
"3f40944d-2d96-418f-b90c-38fe66d055de","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 5","W504.01"
"99758389-cda3-4446-a08c-97661c9a719b","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 5","W503.02"
"6ecfada6-2499-43b2-977c-064e9340c57c","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 5","W503.01"
"5b1640d7-4c58-4989-8429-9ec82b5c371b","","fail","","folder","TRUE","FALSE","Remedials","Level 6"
"d9cb7d1b-546e-4015-9df7-e14ebe0fc8be","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 6","W601.01"
"c87cc7da-ef5d-4aea-a9fa-67072ed180ea","","work-in-progress","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 6","W602.01"
"e082a450-d030-4bf9-b22b-8183d8e5ce5e","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 6","W602.02"
"875767af-75fb-446a-8842-35128cee26dd","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 6","W604.01"
"94a3c769-6969-4190-bc1c-8a3e7f5da2b0","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 6","W603.02"
"d9a497cb-7aa2-4ccd-af6e-3d89ccf0c678","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 6","W603.01"
"3623ecae-1025-4fd7-8a0a-90e7ddd333de","","fail","","folder","TRUE","FALSE","Remedials","Level 7"
"498e17de-bb3a-4b70-823f-8c577185ccbb","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 7","W701.01"
"5e41378f-2bd2-47a8-a4d9-e5547444efff","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 7","W702.01"
"a3dc9748-65c6-4cea-ac39-9901f78bd43c","","fail","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 7","W702.02"
"07b2868c-4fa9-4fc5-81d6-618484827bef","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 7","W704.01"
"ce6b8ed1-fb10-4f89-b485-f79b74dab434","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 7","W703.02"
"d867f18b-9005-4add-a763-6bb05a8e7e66","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Level 7","W703.01"
"e7ef2fd6-6b8e-4540-975b-012a0c7b16ee","","not-started","","folder","TRUE","FALSE","Remedials","Penthouse"
"d727a640-bbbc-4259-8f57-59138e55d4b8","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.01"
"3e0308d2-5859-421b-a892-25c95f9a9b74","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.02"
"f8a193a5-6a38-4ff7-b924-a8df4afaa1c8","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.03"
"4c1fc9a9-3aa0-450a-8d6b-83ee990a5f18","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.04"
"e1d6b081-ec5a-4f02-9efd-37164699b6f3","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.05"
"4fb3333b-a219-4e39-bd44-fe1c09cb0742","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.06"
"7eb28612-734f-4ad5-8718-472f78eefc2a","","not-started","Commercial/Domestic","checklist","FALSE","FALSE","Remedials","Penthouse","WP.07"
"9929bdab-2fcc-4d14-9bd4-4ed5fe25add4","","work-in-progress","","folder","TRUE","FALSE","Remedial work for 502 water testing"
"ba0aa0a6-39f5-4510-ba9b-ac1bccc160e7","","pass","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 1"
"431c0084-6f32-4efe-9161-ee9e5d92f79e","","pass","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 1","W101.01"
"272c6446-c961-4bda-a486-f0c3b8cb7d82","","pass","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 1","W102.01"
"befff449-4e2a-4ab9-84a8-3c4583753df5","","pass","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 1","W102.02"
"45b1539b-9229-4b08-9c96-0f42fa3ca131","","pass","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 1","W104.01"
"0b5a191b-1eb7-4a7a-8080-da2e8bcddc10","","pass","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 1","W103.02"
"5abda257-1cb6-46ed-a31f-481ee66a33d2","","pass","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 1","W103.01"
"62a3a40b-bac2-4093-a2f7-c36db204cea7","","not-started","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 2"
"7ff9665c-6cff-4f6a-acc2-efc22e02c3eb","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 2","W201.01"
"83aec970-9b1f-45c0-96e2-923dd142ea8d","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 2","W202.01"
"c538d078-164a-4c50-adbf-5f14bf77933b","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 2","W202.02"
"428a4c6b-19d9-4fca-91ee-31e2c5e6028a","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 2","W204.01"
"f90a19ff-34db-45ef-a2bc-e441c970abc8","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 2","W203.02"
"8de08d06-af5b-443a-ab03-362f528c1151","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 2","W203.01"
"68f05807-c82b-49d2-b6fd-5382426e8f93","","not-started","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 3"
"56d212ac-389f-4928-95df-906b9f6c015e","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 3","W301.01"
"212238f6-42ef-4107-88d1-d3d352378072","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 3","W302.01"
"9b194397-5e6b-421d-9fa9-b42d59d8d096","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 3","W302.02"
"afd14d58-5d80-498e-a283-287707a1d9f8","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 3","W304.01"
"e3288275-c407-466c-b68c-fab4807011a4","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 3","W303.02"
"8cef6a8e-063a-4ac9-894b-803544060bd0","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 3","W303.01"
"ab831a12-603a-429c-bb6b-03b360470b23","","not-started","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 4"
"b60ed411-e439-4454-a044-501d389c2b58","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 4","W401.01"
"465b7bee-15e9-49c3-86fe-31ae74aea997","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 4","W402.01"
"77e67bfb-f94e-4e6d-ac54-c7a643e9a2c0","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 4","W402.02"
"2e220e31-0ad1-4cc9-bfee-131795c43480","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 4","W404.01"
"040f59ce-6748-466d-bb94-49752c84e840","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 4","W403.02"
"b88fa982-8656-41a1-86c4-87b9ec9ef6f3","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 4","W403.01"
"dce16ce1-34ec-4247-b13e-cbf0dfd8dd03","","not-started","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 5"
"51ffaba2-3b89-4adc-81a2-fa99ff5041f6","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 5","W501.01"
"20c8afb4-37ca-4253-8135-930d94d340b1","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 5","W502.01"
"9356b785-9a68-4d81-968f-305070c73485","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 5","W502.02"
"396f6f36-d234-4e8e-9f8a-b4847174907b","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 5","W504.01"
"7454dd1c-7024-40f6-b97e-024d886af0ea","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 5","W503.02"
"142558f7-dd5f-4c03-8335-84fd1a4c5e50","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 5","W503.01"
"cf5f5793-7e10-4f61-b79e-276a3fda635d","","not-started","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 6"
"79871ca2-182a-4bd9-9d34-bb5fd063208a","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 6","W601.01"
"d49db6c5-ef56-4bd6-9cc0-65dc97b29010","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 6","W602.01"
"b9e6fea3-6bda-4ad0-a712-af3613bbf69b","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 6","W602.02"
"fec04ae0-c5a4-4ca9-8c9b-bbbd3948b738","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 6","W604.01"
"5fdbb765-5ead-4c51-b34e-7759ddc1bc5b","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 6","W603.02"
"490fa02b-e285-438a-9840-cf0e23c0607a","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 6","W603.01"
"ceb6fc12-1769-4c8d-8f74-b6f73265e667","","not-started","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 7"
"deca66bf-f775-4333-bc8a-9fca8650df5f","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 7","W701.01"
"ac3de852-3719-4677-b158-f370084600ab","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 7","W702.01"
"6234f8bc-bb54-48cf-800b-92a2442ac816","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 7","W702.02"
"0b71cba0-cfec-4831-b7a4-47939cc6582e","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 7","W704.01"
"f94addc2-c8b1-4993-a4e4-2b5fc7f6e815","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 7","W703.02"
"27d8a06e-6a80-47b2-b806-da86781c0066","","not-started","Commercial/Domestic (Remedials)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 7","W703.01"
"ca045b57-828b-44d7-845a-d5d9dddf8b14","","pass","","folder","TRUE","FALSE","Remedial work for 502 water testing","Level 8"
"5462dd53-66eb-49c6-ab3d-8836cda3092e","","pass","Commercial/Domestic (Remedials - Level 8/WP.01)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 8","WP.01"
"524bbe4c-c2f8-4f39-99c0-021a3f5b2bed","","pass","Commercial/Domestic (Remedials - Level 8/WP.07)","checklist","FALSE","FALSE","Remedial work for 502 water testing","Level 8","WP.07"
