"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27b04da3-f2df-4258-bd8c-ecb93b158f32","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"fc2a1d22-e068-4438-b035-819f67b63e89","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building"
"8869dba3-c41d-4f0c-95ce-1153ce1545f7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor"
"d050f0e6-62c6-40b3-addb-3b7d7985f336","","pass","","folder","TRUE","FALSE","Site QA","Building","Ground floor","Corridor"
"d6209e6d-4e97-43dc-ad13-b9e3aaaa8c75","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G05","External Alpha panel/cladding walls"
"8772965d-14e3-4561-ad81-12322791388e","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G05","Plastering & Internal Hebel/Alpha panel/speed panel"
"1baa1de7-f565-4b3b-97cf-5d0e72c5e74f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1"
"b8df1e8b-0550-4ded-bb74-2d834edb7314","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 1","Corridor"
"a1e913e2-81c9-41b7-832f-6eeca746a2ed","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"2f3255b2-9c78-4721-ac15-46ac1005ac94","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","Corridor","External Alpha panel/cladding walls"
"11530eba-ef83-456b-92d1-b1a314979b43","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","101"
"5a0211e3-b2a0-4edd-b140-058ef6f0e33d","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","101","Plastering & Internal Hebel/Alpha panel/speed panel"
"002281f3-52f0-4f20-a9fa-716150259be8","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","101","External Alpha panel/cladding walls"
"6a2f2292-41da-472b-99a8-8507914adcd0","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","101","Plastering & Internal Hebel/Alpha panel/speed panel"
"cccf2d04-668a-4f2a-a6c0-464a64f52f71","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","102"
"14e48c03-34b2-4614-b5e7-432b464e9171","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","102","Plastering & Internal Hebel/Alpha panel/speed panel"
"c34a30c3-14fc-4b3a-b120-feefc76844eb","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","102","External Alpha panel/cladding walls"
"6649cffa-6aed-49cb-b115-1c6b0126abc4","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","102","Plastering & Internal Hebel/Alpha panel/speed panel"
"f7ff693c-669f-4235-966b-25b9f91092ff","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","103"
"427ccf70-03db-4de3-b6b1-99c5faf64764","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","103","Plastering & Internal Hebel/Alpha panel/speed panel"
"97349f65-0a5a-456d-9b2b-fd75eb8825bb","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","103","External Alpha panel/cladding walls"
"a2aa7ede-f4b1-4e3f-a3c3-271e67f75bed","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","103","Plastering & Internal Hebel/Alpha panel/speed panel"
"c8cf050d-66a5-479d-b295-8b97a343419c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","104"
"d51d05ad-ec48-4b08-923d-63fac16ca322","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","104","Plastering & Internal Hebel/Alpha panel/speed panel"
"9bc4ae90-4c7a-44e0-a647-ed826207b1d2","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","104","External Alpha panel/cladding walls"
"6e96176d-07cc-4133-b8f1-5caabb533899","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","104","Plastering & Internal Hebel/Alpha panel/speed panel"
"55b32092-038b-4526-adff-0cd06427cfdc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","105"
"9bc5f990-92be-4887-8fe1-46862a3e5bda","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","105","Plastering & Internal Hebel/Alpha panel/speed panel"
"4514a02f-4fc0-4e50-8232-aac63657b735","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","105","External Alpha panel/cladding walls"
"d61f2829-ae4a-4ae4-a015-4670bed989e0","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","105","Plastering & Internal Hebel/Alpha panel/speed panel"
"9b4ece0f-6019-43e0-9e28-a7125fd54d1e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2"
"1ecbf7cc-8583-41ac-a6f2-07c6fbb03f39","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 2","Corridor"
"b7c50758-9bd1-4d07-9109-ff00b07c55af","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"a3f404a7-04e9-4fb3-b701-6278e6f46629","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","Corridor","External Alpha panel/cladding walls"
"12aa1cc9-3a51-42e7-aed9-dde8e707d061","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","201"
"949d8647-873c-422e-ae3a-66af7b0c25c3","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","201","Plastering & Internal Hebel/Alpha panel/speed panel"
"f3a731d7-d7c0-4494-ad44-df418e0601f4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","201","External Alpha panel/cladding walls"
"13ecf15f-71ae-4e09-bde1-d38d27491c41","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","201","Plastering & Internal Hebel/Alpha panel/speed panel"
"5fdb83f0-d64d-43d0-8d01-77c40b39680a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","202"
"b9fbaafb-9060-4628-a732-9cbb585214d1","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","202","Plastering & Internal Hebel/Alpha panel/speed panel"
"bc1e99e6-fa00-4c49-882b-9f1a1e2342f4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","202","External Alpha panel/cladding walls"
"4bdf187e-eedc-4623-81f4-700ae0423927","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","202","Plastering & Internal Hebel/Alpha panel/speed panel"
"6b81241d-6055-4cc7-8da9-0eebbaaa2f8a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","203"
"127fe22f-e487-4254-8596-9b7e323058c2","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","203","Plastering & Internal Hebel/Alpha panel/speed panel"
"09812082-ee95-4076-8bc5-9b87420070c7","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","203","External Alpha panel/cladding walls"
"014c1d0c-255c-4c96-bf24-5f1d10016ef3","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","203","Plastering & Internal Hebel/Alpha panel/speed panel"
"5a089acb-a456-44d3-8ec4-2b44ac5cf077","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","204"
"4cf80ce7-a4e0-44a7-857b-c59516896701","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","204","Plastering & Internal Hebel/Alpha panel/speed panel"
"64eeb962-a8c1-4e02-9e40-c46d0ea9456d","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","204","External Alpha panel/cladding walls"
"7816ee73-28f7-4baf-98ed-068a7d104084","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","204","Plastering & Internal Hebel/Alpha panel/speed panel"
"2eafe236-ce44-4a84-9a15-d0edb38ba072","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","205"
"87fa18bf-c364-4133-9ed0-d2d9ed08e368","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","205","Plastering & Internal Hebel/Alpha panel/speed panel"
"55a5acdc-867d-4adf-950f-dfbdadd40f5e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","205","External Alpha panel/cladding walls"
"7f8894e0-7391-44e5-8699-058dbd3e72d4","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","205","Plastering & Internal Hebel/Alpha panel/speed panel"
"e93b435f-cbae-48a3-946e-fa46d848c004","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3"
"7664d3e9-7913-4096-b7af-57170b0c77b0","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 3","Corridor"
"9c212113-4c1b-44f2-bb51-cd0cfcf0ffce","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"afaca463-e236-4e84-b236-23f81c3c1b9e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","Corridor","External Alpha panel/cladding walls"
"563ae284-ff01-4590-b859-f2d8e91dc79a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","301"
"5fc1b4ea-bcf1-4088-8ce9-f2b8949effe5","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","301","Plastering & Internal Hebel/Alpha panel/speed panel"
"c7d73477-35dc-47f5-bf04-039da9f9c527","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","301","External Alpha panel/cladding walls"
"6ab6aeba-96d6-4ddb-a091-61b8cb683eac","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","301","Plastering & Internal Hebel/Alpha panel/speed panel"
"299a791f-ebeb-4f38-b62a-1f01d47d405e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","302"
"e433f0aa-92c3-422a-b923-d24e7cc7a10a","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","302","Plastering & Internal Hebel/Alpha panel/speed panel"
"80b372cc-d7c2-4a11-ad7e-695c0d19476f","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","302","External Alpha panel/cladding walls"
"4c2656d6-a30d-4001-87ea-4111dc2f6c14","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","302","Plastering & Internal Hebel/Alpha panel/speed panel"
"7e905c55-13b8-492f-9159-25d079a42ea9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","303"
"3fab0583-d740-483b-895f-7e30ac3ec364","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","303","Plastering & Internal Hebel/Alpha panel/speed panel"
"56a1b8ba-1abf-4319-826a-91e527b6f263","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","303","External Alpha panel/cladding walls"
"b46b6ea2-a527-4441-b588-cb0858963770","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","303","Plastering & Internal Hebel/Alpha panel/speed panel"
"eef4da16-55f3-47a9-ae1d-cdd48ba664c6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","304"
"8f9d4e2e-0241-4a39-bf67-8710e8c136e1","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","304","Plastering & Internal Hebel/Alpha panel/speed panel"
"4530b997-617d-4755-a501-d36b44690dd2","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","304","External Alpha panel/cladding walls"
"97cdbdb6-f480-4451-aadc-326399e508ec","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","304","Plastering & Internal Hebel/Alpha panel/speed panel"
"d4fdd6dc-8ecc-4f13-ae27-3d1dc7ef306a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","305"
"29a10602-f4e8-4d0f-9081-4a601720b8db","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","305","Plastering & Internal Hebel/Alpha panel/speed panel"
"492a1b83-a0d0-455b-bc1c-4475c2c764b6","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","305","External Alpha panel/cladding walls"
"b59d9a74-8dd7-4f0d-ab07-f1ebf0906b97","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","305","Plastering & Internal Hebel/Alpha panel/speed panel"
"b42cbdbe-d418-46a0-a3b7-4580e745cf0f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4"
"c1041741-b86e-40fd-8565-f8cb0a34ad5e","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 4","Corridor"
"a6dd534c-e157-44f0-803b-36afa37a9403","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"c345f960-c88a-421f-8269-324894e2c9a4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","Corridor","External Alpha panel/cladding walls"
"165e8aff-dd25-4704-8c9a-84285dbdfdf7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","401"
"155ad57e-46fe-4415-bbe6-ef549ef88749","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","401","Plastering & Internal Hebel/Alpha panel/speed panel"
"ac24c40d-65bf-4501-8578-4e6ba482e1ab","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","401","External Alpha panel/cladding walls"
"d82b102a-674d-4a62-b8cd-709d1595468e","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","401","Plastering & Internal Hebel/Alpha panel/speed panel"
"d8c1a145-de13-4fd4-9212-8f5c4e6c6d5b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","402"
"a8a2bc10-37eb-4f4b-b423-661d01051a0e","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","402","Plastering & Internal Hebel/Alpha panel/speed panel"
"15020020-504e-4207-b072-742e1eb795b0","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","402","External Alpha panel/cladding walls"
"dce04a3a-f2cb-4084-84f3-b6608469ae2b","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","402","Plastering & Internal Hebel/Alpha panel/speed panel"
"799a0862-ad18-4831-bcf2-0ffeab2cfd13","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","403"
"db19a77c-b16c-4094-b78b-2c6db83c5974","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","403","Plastering & Internal Hebel/Alpha panel/speed panel"
"f1432302-2153-4fe3-b52a-fd415240db68","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","403","External Alpha panel/cladding walls"
"ed52ae4e-ca89-4957-ae36-375ed0a0887c","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","403","Plastering & Internal Hebel/Alpha panel/speed panel"
"f83f39bc-d8a0-41ad-b1c7-e18dd83587fd","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","405"
"53b225bc-6400-4519-ac56-cfa5c0cbeb78","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","405","Plastering & Internal Hebel/Alpha panel/speed panel"
"e530bc3e-ebac-4af9-86bc-c3852eec16d4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","405","External Alpha panel/cladding walls"
"5b777f9d-d3a6-44cd-a52a-8aa0340aa0d3","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","405","Plastering & Internal Hebel/Alpha panel/speed panel"
"37a8003b-f747-4757-b59d-0f4fbc6aa954","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5"
"e9395103-868a-4cbc-9332-9d3fc2b0ebf4","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 5","Corridor"
"4eebe854-77a7-46b3-89d4-17829d00e0fe","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"265ee727-d5f4-4412-8937-8a998d048bd1","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","Corridor","External Alpha panel/cladding walls"
"8d381901-c550-422f-9a50-99247f2cff11","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","501"
"b390dde9-a1c8-4fc2-b296-617aa300a802","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","501","Plastering & Internal Hebel/Alpha panel/speed panel"
"0a001e0b-aae0-4f73-8cd8-4149f35c078b","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","501","External Alpha panel/cladding walls"
"97bd140f-711f-4c0c-b2e6-d41ec922d3ee","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","501","Plastering & Internal Hebel/Alpha panel/speed panel"
"3df6ed61-2f06-43ec-96f3-09799e49b782","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","502"
"6c0d8a7f-1bea-41a0-a586-55b3ce9aba89","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","502","Plastering & Internal Hebel/Alpha panel/speed panel"
"ef3c8888-4e61-474e-a31a-b0e5480fb4f5","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","502","External Alpha panel/cladding walls"
"4ac5c610-06d1-4ce0-8f60-f934a308d1b4","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","502","Plastering & Internal Hebel/Alpha panel/speed panel"
"44df8da7-b87e-4115-b933-6bb299df2bc6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","504"
"8a5e65d2-7213-45e7-8ec5-801b688cbe4d","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","504","Plastering & Internal Hebel/Alpha panel/speed panel"
"649112a0-0bbc-4175-b4df-88d68f6d4e9f","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","504","External Alpha panel/cladding walls"
"db04cb92-00a5-407e-b528-bf619078940d","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","504","Plastering & Internal Hebel/Alpha panel/speed panel"
"1160c039-a397-4322-ae21-5cb89a6adb68","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","505"
"86b9e628-3d46-4892-ae46-fb361c3a30c6","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","505","Plastering & Internal Hebel/Alpha panel/speed panel"
"2372c35b-e0f8-46df-a783-8a74b5110fbd","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","505","External Alpha panel/cladding walls"
"b7d51b96-c358-43f3-8919-a94a248a999a","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","505","Plastering & Internal Hebel/Alpha panel/speed panel"
"c2553f77-6139-40a1-93f1-2ff69fb9867c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6"
"af8d305d-c1aa-4dd3-9f27-13a5cfb8ddac","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 6","Corridor"
"8b67cf72-b837-45ff-9c48-7ae973acb2ab","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"22379b64-717a-4663-8249-a9258f63b4e8","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","Corridor","External Alpha panel/cladding walls"
"9092af0f-2c49-495e-bbe2-1e7bd812c91a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","601"
"45337353-676b-4908-abf8-b581f4d38a05","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","601","Plastering & Internal Hebel/Alpha panel/speed panel"
"e438483a-71a7-4201-a27b-9280b1490dd9","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","601","External Alpha panel/cladding walls"
"effbdf01-00c9-4013-96e0-c56863aa35cd","","not-started","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","601","Plastering & Internal Hebel/Alpha panel/speed panel"
"fb12777a-770b-46ba-8f06-aae3d91f819d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","602"
