"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"964e8635-3a8f-4a1f-b7ad-90a459b17da6","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 "
"da7deaf5-bc27-4270-a0b7-22cc8ee20363","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 5"
"bf2fd69c-df95-4cfc-ae3a-299f4beeff12","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 10","Markup drawing"
"0b70b125-b196-4269-820d-d9d755c14e0a","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 1 ","AREA 11"
"e6410563-0ffd-4ded-9f7e-dcd6b844cb88","","checklist-sectioned","not-started","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 1 ","AREA 11","EnviroShield+ 250NS"
"303c0be0-cdce-4b58-9b18-88f20994934c","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","AREA 11","Markup drawing"
"fc111434-b32c-40cf-98d2-423413d48c9b","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 1 ","Document Upload Checklist"
"63560d74-eb5e-4b08-928c-a3245e1c1de8","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 2"
"8fd4a6cc-55c1-46a5-9b85-5ae8fb9a6170","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 1"
"b1e4bf66-95ff-408c-a825-e60adfd0a42b","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 2","AREA 1","EnviroShield+ 250NS"
"82ee4f46-438c-46d2-9839-f24eef56f2ff","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 2","AREA 1","Markup drawing"
"5e6ecf98-a901-4bdb-8072-a67f51632aac","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 2A"
"12d7a887-a19a-4386-a09f-0ee4f364c69f","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 2","AREA 2A","EnviroShield+ 250NS"
"b4ddbb15-3929-4fc2-bcd6-cd5dfbaa99ae","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 2","AREA 2A","Markup drawing"
"08114e47-4d51-4f50-be83-096a56c21436","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 4A"
"56547986-dba8-403a-98d5-f93c4c094b15","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 2","AREA 4A","EnviroShield+ 250NS"
"eb382109-5c69-4962-b3c2-049bcb62e404","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 2","AREA 4A","Markup drawing"
"76cc38f6-4539-4eda-9244-44516ed54124","","folder-normal","work-in-progress","","step","TRUE","FALSE","ROOF LEVEL 2","AREA 2B"
"1bc39b4b-e266-4742-86ad-9f09e799d73f","","checklist-sectioned","work-in-progress","EnviroShield+ 250NS","checklist","FALSE","FALSE","ROOF LEVEL 2","AREA 2B","EnviroShield+ 250NS"
"cf69b454-03c6-4df5-9311-1f62630335f9","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 2","AREA 2B","Markup drawing"
"6ff22cc5-d104-4fc8-8e24-2c5789fd60ec","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","ROOF LEVEL 2","Document Upload Checklist"
