"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b72e8b31-46ba-48dc-9b73-d18886305f07","","folder-normal","pass","","step","TRUE","FALSE","Basement 1"
"bb807aee-a7e8-4a21-aa9e-71e7668d869f","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-C26"
"96f5b1e1-1647-4bf8-9d37-4af28d697b9f","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-C26A"
"bd80c8c3-2610-4e95-af8c-567ed679dd5b","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-P01 (2)"
"5d444b89-2139-4c90-8d0e-6cd4318265f9","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-P01"
"c3ed9dcf-dbea-4c67-af8f-0ece179de2f5","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Ground Floor","G-P02"
"be477932-08f4-4593-9329-1af74544dfef","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Ground Floor","G-P03"
"69cc5086-c954-4f5a-887b-4b53c1a20023","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Ground Floor","G-P04"
"f6c88ebc-1886-4b82-aa15-3a3927f93d9f","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-P05"
"65be5a8d-b602-40b5-b847-defbb01c8bc8","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-P06"
"61551355-7f8a-4cd0-a72e-3332badbfd39","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-P07"
"bc60bdba-bcf2-4589-98f6-e05ba7e36cb5","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground Floor","G-P08"
"57ebd2e3-c8f8-485b-a095-dcd57375405e","","folder-normal","pass","","step","TRUE","FALSE","Level 1"
"4349ccab-940e-4f60-ae93-85c4b74633f4","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Level 1","L1-BA01"
"9fea7290-5434-4b07-93d3-77f0e14fd083","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Level 1","L1-BA02"
"cf0ebd00-0e49-411f-a6cf-53fb19ad119d","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Level 1","L1-BA03"
"ce44ffa8-8cf9-4430-8377-dd6ea444420a","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Level 1","L1-BA04"
"a2e73fb4-c14c-485c-ba82-a5a98b1e6ef5","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Level 1","L1-BA05"
"6be513a2-4379-462f-8906-de652096357c","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Level 1","L1-BA06"
"6a4c61e8-aa5b-4ddb-a7df-fe1a1e448e99","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-BA07"
"33954565-22cd-4be3-b27f-c31064fafd05","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-BA08"
"22ab20da-eb54-4fee-87ff-3a961efa7d89","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-BA09"
"4ebd19bd-08e2-4f5d-8f59-fa18d42e852e","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-BA10"
"13a4915e-787c-4a5f-82f9-4b5c993679a5","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Level 1","L1-C25"
"51f84440-b8e1-47d4-bfb9-f8c035041060","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Level 1","L1-C25A"
"0bb801fe-ff25-415f-ae28-7b1e46d14c57","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Level 1","L1-C26"
"508069a2-2a63-4eda-8d14-0d0c84f6191c","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Level 1","L1-C26A"
"10d03af0-5281-45c5-b0aa-a9494e9d6387","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Level 1","L1-LD01"
"e6f18d1d-3134-4de9-aeff-7607b42c09e3","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 1","L1-LD02"
"670c3645-77b7-484f-a308-c912809a8b4e","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Level 1","L1-LD03"
"7ee46744-f5b6-41eb-9568-c9ce3609ac77","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Level 1","L1-LD04"
"7e65378e-a999-48a4-a15c-520c19d6dd8f","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Level 1","L1-LD04A"
"04263ba5-3da5-41a9-a9ee-ff0f05c4a50e","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-P01"
"c05fc094-15dc-4b8d-bbbe-3ea761898d06","","checklist-sectioned","pass","1cee4cadbe3768f6b1541da6f5f2053615a3a6ed1d16db754849be3a00dbc114","checklist","FALSE","FALSE","Level 1","L1-P02"
"03e962ee-8d50-463f-b92c-0fbc83f1b47c","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-P03"
"46df1e56-bb51-4f00-8d4a-cc0d32098d6f","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 1","L1-P04"
"7759c025-5231-4e57-b07e-0759e2d55670","","folder-normal","pass","","step","TRUE","FALSE","Level 2"
"52213395-89d7-450c-aa99-4902a4f80f73","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA01"
"2ef7b30d-b831-4946-8732-e29302e172d2","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA02"
"432701c3-5e27-4b79-9939-cbcc666b500c","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA03"
"d8312396-a804-4c26-a5de-88bbb05be996","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA04"
"f0c2cd1c-8b14-40c5-82db-f757996200f1","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA05"
"aab4536f-f2c3-442d-b25a-46679c83a6e1","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA06"
"79204880-92a3-4564-926c-b2258a4e1a3b","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA07"
"ee8a8ab6-0802-4e45-bd2a-79fa866ea808","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA08"
"de18d4a6-c51a-4fcd-8fd1-5ec2bfac5123","","checklist-sectioned","pass","aec1d99b2d8462a47e5618f4e93d792ef558af265b953a661c7335d0f71557ae","checklist","FALSE","FALSE","Level 2","L2-BA09"
"9b3a3422-9c78-41ca-b870-61218f4d299c","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-BA10"
"94cb6a9a-197f-43fd-aabb-214d434e5e31","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-C25"
"75987f11-7718-4e5e-a81c-3e75b2fca694","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-C26"
"ec97422e-5557-4875-aba9-7407557fefbe","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-LD01"
"ca72ddc7-8c32-4399-bd4e-288ba0d42224","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-LD02"
"49d82808-4e9a-440d-81dc-436970258b0f","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-LD03"
"13f85720-3d80-44ca-afb0-2a484b6e61ee","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-LD04"
"90d99c82-fc51-4518-b300-c7bb2911f297","","checklist-sectioned","pass","aec1d99b2d8462a47e5618f4e93d792ef558af265b953a661c7335d0f71557ae","checklist","FALSE","FALSE","Level 2","L2-P05"
"e9fc0c02-d404-452e-9a3e-bd55ca7eecdf","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-P06"
"9ccedfd2-9522-4c29-b478-cb8a9b2fe6a7","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Level 2","L2-P07"
"58ae460a-ec81-4713-8f29-213790cb3d9b","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Level 2","L2-P08"
"71992f91-f355-4eeb-a551-e2537a95fae1","","folder-normal","pass","","step","TRUE","FALSE","Roof"
"3a69121c-b5fe-416d-8af7-aea43a8d6486","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA11"
"a6fc88d7-5127-4b24-81a9-ea71984f64a5","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA12"
"ef0be87a-bffc-42b2-9a5e-c767ef8a0e5f","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA13"
"1c145b9b-5c92-434c-90ab-804b57d8fae1","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA14"
"9a3c89cc-8b33-4f54-9793-6bbbab6bce96","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA15"
"e1609317-7861-49e9-92ce-9d9fd6e9b1af","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA16(2)"
"3000c61f-6f19-4470-9dc1-32354bdb20ff","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA17"
"4c327bb4-908e-4459-bbb7-4b8a62f3ac49","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA18"
"5f6a2dc0-8b22-4d59-8e05-2b00b3dd42b2","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA19"
"a2a5c7fd-5c65-47ec-bffa-72519683541c","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Roof","R-LD02"
"bd25df4e-2830-4ec2-89cb-22c9bf5c5b5f","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Roof","R-LD01(2)"
"6b1b62d1-d616-4ca2-bae1-63f29c5b42de","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Roof","R-LD04"
"b6ffa817-a24b-4b28-a346-c96e52c2ef26","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-LD01"
"02f1485e-e193-4cb6-89ae-0cc5ba9ed8f9","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Roof","R-BA16"
