"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"543b9a7b-968b-481e-be21-6c5801983cd8","","checklist-flat","no-status-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"ead40968-7e7f-41c7-a2a7-5bf1f11d46a0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre-Pour"
"f2727b96-8cef-4def-818f-a73fe366ccf2","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P022A"
"34ee89d1-720b-4c24-9267-533f3930cff3","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P023"
"3772163e-073f-403a-8675-e91c2ef2ef30","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P025"
"cfa83220-e40b-4365-afd2-f779d77cdd06","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P026"
"7cc39647-2751-4e9f-975a-2f1f7d4e4a51","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","PW01"
"1dcce910-b161-432a-bf44-985c161e5e60","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","1P001"
"b472e049-b7be-4dc5-8c96-cfb57a4348d7","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","1P002"
"ccc0bdeb-0f83-47cf-8812-b7f10bcff470","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","1P005"
"8ec2470d-e1a2-4e7e-b7fd-a7b843d33f02","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP01"
"7f5fd184-d2d8-4bf3-8dc5-46ae60a7993f","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP02"
"bc87232f-d5fe-4444-aaaa-5b78159480a6","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP03"
"8707de5c-8973-4260-ba84-9e066547285c","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP04"
"60762fa5-d330-444e-b72f-2cb6cf937dfd","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP05"
"980f0d85-1c97-4afd-ae65-3242edc87539","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP06"
"9d22c9ec-9ffc-46ed-8406-d5cec5cb666f","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP07"
"93ad6d9e-343a-4010-8a99-d4184783a8eb","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP08"
"3cbb3090-0db4-409a-8c2d-e0c176fed000","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP09"
"a8ee9b56-cf8c-4f62-b5bd-22747d440cba","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP10"
"302d7ff7-1735-4580-b417-d034b78f35ca","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP11"
"0dc0849c-da1a-401e-b9eb-791e7867eaeb","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP12"
"ba653a23-659e-4019-a801-5687842e452a","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","FP13"
"9e77ada8-a527-4a03-90b4-cd72afad6215","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW04"
"f58e3b10-ef1d-4732-ad4e-edf298ebf187","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW05"
"5ab93a2a-2439-4e61-9a7b-f31b164e2f10","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW06"
"a34367f0-e1de-4cd9-8f0b-159f3c5fe81d","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW02"
"060046cd-41de-4fe2-a8c8-1f5371a2b014","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW03"
"7d0f1b95-961c-4210-a17f-a5b7edb50e20","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW07"
"6ae23533-5518-46af-a2d3-b8981227e6a6","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","RW01"
"658ed577-c653-4750-8182-47a31ca4aa66","","folder-normal","pass","","step","TRUE","FALSE","Concrete Delivery"
"7dc9aa26-7554-40a3-b160-5a79a3cc2fde","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P021, P022, 1P001, 1P005"
"dd75fc96-386b-446f-b6db-ad86d6c29603","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P001A, P004, P026, 1P002"
"4005ed0b-b78b-4436-b91c-1bc98e22fda4","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","Concrete Delivery ChecklistPW01, P023, P022A, P003"
"c01b9d9d-6d23-4c10-aafd-797d0975772a","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","Concrete Delivery ChecklistP014"
"7f16eb09-94a5-457e-a47d-0b3684c42590","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","Concrete Delivery ChecklistP013"
"1f5c2df7-4cbb-4657-a4dc-cd2766ba4444","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","Concrete Delivery ChecklistP012"
"1d3cddfc-3fcd-43b9-9e73-08dd3f63bc8f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P011"
"427d809f-ef61-48bc-987b-f47c7350cff7","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P010"
"9556302e-2813-4d7b-b2b1-397d63c04933","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P009"
"cabc4b57-391b-4a6a-af7c-6532c4def34f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","FP11, FP12,FP13"
"119f2bf3-4c9e-41d9-a522-4ffc8e3d4d04","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P008(Bottom), RW05, RW06"
"6ffbc92f-53a7-40c8-b82e-266a8403b3e8","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","P008(Top), RW04, FP10"
"1d2af56f-d141-4147-b91f-ea41616e0e27","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","FP09"
"49f05e00-ab52-41d9-85a5-914d158e0545","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Concrete Delivery","RW03, RW02"
"23989465-158f-4a66-91a1-ac71a0df7427","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport"
"e32872b0-f3bc-46a2-9322-7cd3bc6f5f63","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Install"
"5bee158a-2842-4de3-8208-3a2f5cc1f0d4","","checklist-flat","not-started","Pre-Install Checklist (Set-out)","checklist-flat","FALSE","FALSE","Site Install","Pre-Install Checklist (Set-out)"
"524d74ca-6972-48c1-90f2-46d322cacd11","","checklist-flat","work-in-progress","Onsite Install Checklist","checklist-flat","FALSE","FALSE","Site Install","Onsite Install Checklist"
"5d68ba47-3108-4521-939e-3979987138eb","","checklist-flat","not-started","Grouting/Patching Checklist","checklist-flat","FALSE","FALSE","Site Install","Grouting/Patching Checklist"
"fa642153-0f72-4e0f-b107-c962c516501b","","folder-normal","no-status-started","","step","TRUE","TRUE","Install Paper Work"
