"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d00e3e0c-6291-44ef-a2e3-44ba13424cc4","","pass","","folder","TRUE","FALSE","Stage 1"
"430e7e80-336d-48d7-a62c-f2267ce46d04","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-07"
"8260602b-16f7-4dd6-92a5-6541c5df6ee2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-09"
"27252625-164a-4c59-9cbe-7b8e2da4af0c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-15"
"e7377e4d-fa56-4d05-9c36-9816c38131b6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-16"
"903dbe09-0e4b-4d5b-8199-2b54f5b44ad1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-17"
"3eb7e131-293f-4ee3-ada8-38ad10c5ca1c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-18"
"4da7de80-efa9-49a4-8163-298ff6f75e9e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-03"
"e6c30ef3-1ba3-478e-9734-abe87899e317","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-04"
"5cc18b6b-5e83-49df-96a9-2f9a8a131b0e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-05"
"43672b72-756b-4e95-a6d5-f3efc094c9e8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-06"
"65c39181-440e-4026-97d5-b87d7dc52a44","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-08"
"1e72d5fb-8b68-45b2-8c4c-f293d3bbab23","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-10"
"4f53d297-e2b6-4f10-a4b9-1010a102a139","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-11"
"4fb3e812-1d84-4ba2-b2d5-73e1ff5ffa2a","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-13"
"e23e9bda-e49a-4917-9841-0bcb5e905c6e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-19A"
"d0e84770-7895-4cf8-882e-66bf8d6ab53d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-19B"
"5680aa2e-0b65-481e-b2ac-a94069a6a262","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-20"
"240e103d-b2f2-4ad0-89e3-b9e126606a9a","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-22"
"7959c1bc-727b-4efa-af72-629446cf0d53","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-24"
"7b3f492d-8d28-4cca-92fc-708cef0e98f8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-23"
"ecc06949-3b77-4593-8029-39d082be051a","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-14"
