"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"db3b9d7a-1935-4c49-8743-2ff9fa957ffe","","no-status-not-started","","folder","TRUE","FALSE","Site Diary"
"604cf60e-1817-4d0d-8327-31317825a427","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting"
"441c9195-fd8c-46fb-823a-bd768e4da2a3","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","September"
"5100635d-dd94-49bd-9944-0e339a459649","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","October"
"9e6df00d-fa05-45b4-a224-f39ae70afd8a","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","November"
"df8f628f-c301-4046-a305-858cac70e032","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","December"
"695cef6c-eda5-454a-991c-7cb91aeda67f","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","January"
"1d8559f8-ba6e-48d6-b10b-03dd912d3b09","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","February"
"2d7f5052-8c71-4248-a5c1-cf63e5cb712b","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings"
"7b047b7b-1f8f-4951-80e4-d4c8f588afce","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Peno Drawings"
"2cd225d8-2331-405b-838e-07a19954f939","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Fabb Sheets"
"c6d67094-b2fe-4585-9414-a5d0f5c57f95","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Fitters Drawings"
"a5d6eb71-c2b1-4a8e-ac64-d98032801bfb","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","RCP"
"824ec620-ffd4-484f-9387-b92410754388","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Hose reel Locations"
"b553bf52-dac0-4dc8-9d6b-59191d0ef4de","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Schematic"
"7bf3f8fc-22f9-4042-ad23-7d42c61b6b90","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","B1 Mains"
"c2981af6-0ecf-40d6-9a42-9a2f414ebd85","","not-started","","folder","TRUE","FALSE","Site QA"
"1d4f9a27-1d52-4fd2-9ff8-d32aee31ce5e","","not-started","","folder","TRUE","FALSE","Site QA","Rough In"
"fa9069cb-3a0b-48ac-9618-ec0a5f30c5b5","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 3"
"7b570f82-ea98-477b-9404-dd29876a9827","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 4"
"d8c1785c-b1e5-40e1-8120-9ed8fcb6fab5","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 5"
"cc3118fd-cbca-455e-91b8-63a9f70765fb","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 6"
"21db5306-e90f-46b1-81d1-c190bc3b7945","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 7"
"4228af74-1ff5-4580-bca5-11dd062c8dbb","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 8"
"c81faaea-865b-4883-8a8d-67ca05722144","","not-started","","folder","TRUE","FALSE","Site QA","Fire Pumps/Tanks"
"a6c8d3c4-6f0b-44b9-87cf-c0224742da76","","not-started","Fire Pumps/Tanks","checklist","FALSE","FALSE","Site QA","Fire Pumps/Tanks","Fire Pumps/Tanks"
"59ddc245-dc83-4b0b-8cf9-ca84fe4355f7","","not-started","","folder","TRUE","FALSE","Site QA","Commissioning"
"3482d464-5e32-4adc-9560-dacbff8218a6","","not-started","Commissioning","checklist","FALSE","FALSE","Site QA","Commissioning","Commissioning"
"b07eb2f8-df91-418a-9270-b4893e353df5","","no-status-not-started","","folder","TRUE","FALSE","Variations"
"acdfc9cc-011f-41eb-a875-0906743aa04e","","no-status-not-started","","folder","TRUE","FALSE","Incident Reports"
"f93b4859-e298-4443-98cb-4aaa1621b455","","no-status-not-started","","folder","TRUE","FALSE","Flexi"
