"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"36fe894d-65a6-40ea-8102-e9211857a567","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Gas Appliance"
"b2731782-1cb5-47d5-8d87-52906b7355e1","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Laundry Trough & Tapware"
"83a54118-f84a-420e-9d94-1db2189052ee","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Washing Machine Stops"
"53148f90-abdc-45a5-8936-f7e506d88d60","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Toilet & Cistern"
"0eb0893c-58b0-49fa-8bd3-70848bdf4ee3","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Wash Basin & Tapware"
"6fe46b3e-2a30-4ba1-8f7f-da86e97b8b6e","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Shower & Tapware"
"0d060b4f-2a51-4cd1-8523-69302f704024","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Hot Water Unit"
"68a0c8af-7a7a-47bc-ae8d-65827d264020","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Testing"
"c94fd70c-ffc1-4bee-b107-fb081b4d37a7","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Testing","TST Test Water Service Pipework"
"e05734ae-023b-4e50-9532-d7c4d40f0e0e","","pass","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Testing","TST Test Gas Services Pipework"
"88a62f80-9053-44d1-80e2-a775c4192e3a","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Commissioning"
"d760fc94-0a1f-415a-9324-f0aedbd631c4","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commission Water Meter"
"3d7c7c95-a9c4-4f37-b4aa-12b997af6635","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commission Hot Water Unit"
"251bf613-5f95-4317-8886-edc09c75149c","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commission Gas Appliance"
"f89ffc58-e99d-44fd-abfd-49312d725ed7","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commissioning Final Handover"
"93667b8e-555b-4d06-8c29-89db2f541052","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22"
"5f7b358d-fe19-4158-8b41-07768285fbd8","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Rough-in"
"a128cdc3-2d36-4204-8494-85eb770fc993","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"84059e8a-75df-48a1-828c-e56df57af8b8","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Rough-in","WG Install Water/Gas Rough-ins"
"7786ebc3-95b1-4044-ace4-27da1fa06b1f","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Fit-off"
"a446cf40-4634-45a7-b060-721b2676a796","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"2367d9da-ecd6-47e7-ac47-0425e36bf518","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Dishwasher"
"41bf3c18-8352-4d65-a202-5ae8e1caec91","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Gas Appliance"
"d1ecec90-2e6e-45ec-b6d0-4694ce6f0690","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Laundry Trough & Tapware"
"2a83ce2c-0704-4d90-a101-fcdfe75166b8","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Washing Machine Stops"
"8f6f1238-7294-4d18-bf6a-1b097bf35b3a","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Toilet & Cistern"
"ffa5ae84-9160-45b8-adb2-8f0199e49962","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Wash Basin & Tapware"
"5f89fd36-79c5-405b-8035-0278d1ec7837","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Shower & Tapware"
"f8fdaefd-4170-425e-b0b0-ece4c627d014","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Hot Water Unit"
"e4d1f336-362f-446d-ab02-c6914ced020f","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Testing"
