Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,
52140389-834c-491a-8f39-a6efe1f9a235,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 26.11.20
61d07db0-5484-46dd-ae29-fec3852b5321,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 27.11.20
01bdafc1-702e-4844-b9d6-a30d4cb8031a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 28.11.20
3056d1fa-1912-40f0-9369-b0ea5b87281d,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 30/11/20
ca070a97-9f93-4c55-95ad-23ff91870c69,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 01/12/20
a4ce8110-018b-482f-9772-665527ee63fe,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 02/12/20
40317065-c53d-496c-8e7e-b9762df0b664,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 03.12.20
a4eae480-c390-45c2-af5f-94cf42e873d3,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 04/12/20
c8109d24-5413-42a0-9126-720d1ac7c33d,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 05/12/20
9e4c196f-3b06-4e6e-b954-ee0fe4c0475a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 07/12/20
1102281d-4817-49d2-bd85-83758b17a3b4,,checklist-flat,work-in-progress,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 18/12/20
d8a008d7-19ed-494f-9c8a-1a8c8ea6831f,,checklist-flat,not-started,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 19/12/20
97b1676f-ff82-40ee-9be2-19a7a9f22114,,folder-normal,pass,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,December,
