"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"979b2f98-4cff-434c-9195-1df0f53c8576","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 48 - 12D03, 12D08, 12D02, 12D10, 11D06"
"24f4ff15-72ca-48e5-bd7c-b19a94f3b48a","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 49 - 11D02, 11D04, 11D05, 13D01, 11D03"
"6d993e47-8de3-4d5e-8ae1-5ecc5696b06b","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 50 - 11D09, 11D08, 12D06, 11D11, 12D07"
"1f6806cd-885f-4082-8802-e3a06d1b697a","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 51 - 10D16, 11D10, 10D14, 11D07, 10D15"
"06fe69c8-9364-42c4-aab8-3190565ae3cb","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 52 - 10D04, 10D13, 10D11, 10D10, 10D09"
"82ea50a3-6abc-4787-ad79-8384b2c69630","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 53 - 10D08, 10D12, 10D06, 10D07, 10D05"
"89d9c73b-3b6e-4c7c-802b-e08a80fa4ec6","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 54 - 10D02, 9D12, 9D09"
"930df9f3-bf26-4b33-a8e8-0924ef3e4648","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 55 - 9D03, 10D03, 9D11, 9D10, 9D04"
"6a41a352-0f37-4661-b8e3-5f5c9aa07970","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 57 - 9D05, 9D07, 9D08, 8D15, 9D06"
"7bee98a5-a181-4131-9d13-354f6a81565f","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 56 - 21D03, 9D14, 9D02, 8D09, 9D13"
"636b3b6a-a180-4d10-a044-5f9914aa966e","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 58 - 8D12, 8D10, 8D13, 8D14, 8D01"
"5741486d-547d-4141-9224-f67b504d5db6","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 59 - 7D06, 8D11, 10D01"
"960d967e-72a1-49dc-8a0c-7fa7ba0d91d6","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 60 - 11D01, 8D06, 8D07"
"a484cb78-8236-4861-9e18-73abfffd403a","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 61 - 12D01, 7D05, 8D08"
"a094b7c9-8079-4159-b45c-29cae3e8f517","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 62 - 8D02, 8D03, 8D04, 8D05, 7D02"
"0bd145dd-0d5e-418d-83e8-cfce7b6493c8","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 63 - 7D03, 7D07, 7D08, 7D09, 7D10"
"6184164f-7120-4500-aee4-4a520b57e2fd","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 64 - 5D04, 5D05, 6D03, 6D04, 7D04"
"9875aa9d-1487-4f74-ae4e-633b7e4314c5","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 65 - 5D03, 5D06, 6D01, 6D02, 7D11"
"10679231-8baa-4ddc-a2a0-4155926eddfe","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 66 - 1D01, 1D03, 1D04, 5D02,5D07"
"be6452f2-b533-4605-869e-e48ddd846466","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 67 - 1D02, 3D04, 5D01, 6D05"
"cf40262a-8cb8-42c2-b276-03e3efd878f2","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 68 - 3D03, 3D05, 3D11"
"7f2ee7f1-4529-4650-ac3a-14fb4a450c9c","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 69 - 5D08, 5D09, 5D10, 5D11"
"68e826d3-a032-48cd-acd2-15b7e9a771ad","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 70 - 1D06, 3D02, 5D12"
"ccc766b6-2f14-4ed0-b38b-6b10c41d4469","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 71 - 5D14, 5D13, 3D01, 1D08"
"ca7e0083-8809-401b-9d20-e6775032e8b4","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 72 - 4D01, 9D01, 12D05, 18D04"
"1f9a8bc9-5b47-400f-9014-3e1ea231fef8","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 73 - 1D07, 4D02, 4D03"
"5c83e925-b762-40a9-87eb-e5f4cb4c6aad","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 74 - 2D11, 4D04. 4D05"
"a243fff1-5222-4d00-9c2c-dbfef69dd67e","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 75 - 1D09, 1D10, 2D02, 2D12"
"c4763ab7-8e41-40cc-9e09-8dd42068b80f","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 76 - 1D05, 2D01, 2D08"
"3ae64d5a-80e1-4f41-8aba-c0534e313752","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 77 - 2D07, 2D10, 2D04"
"7728fae3-abdc-4f8d-a94e-13f4e6a03a79","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 78 - 2D03, 2D05, 1D12"
"6bea63c7-718d-4303-a906-29a024a32016","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 79 - 3D08, 2D09, 3D10"
"ff136467-44d1-4b7b-81b3-effcd7e39fc0","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 80 - 6D09, 1D11, 3D09"
"49019b1a-cf05-44eb-8ce4-47bceaa1cf98","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 81 - 3D06, 3D07, 6D10"
"2e722314-451f-4892-93da-415ae269dfd4","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 82 - 4D10, 4D06"
"d7e90a14-445b-44fe-babb-374c84a0177f","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 83 - 6D11, 2D06, 6D07"
"c6f4fda6-8ff7-4d4d-81c5-713c2b81199b","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 84 - 4D07, 4D08, 6D06"
"942abee1-3909-4d85-aae8-4ab850dafdf8","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 85 - 4D09, 6D08"
