"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7c740c7-e4b9-41b4-9463-bc42d258b929","","fail","","folder","TRUE","FALSE","Site QA"
"e2ffce0a-d39b-4015-aa6d-397ec95f48c7","","pass","Preliminary Activities and Materials Approval Checklist","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"54d63427-53dc-4e4d-adf4-990cebc9a9aa","","fail","","folder","TRUE","FALSE","Site QA","Byford Headstocks"
"f515c639-c01c-4ca7-bda6-0708f5f38f48","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 10 _ HS02-E"
"21cfbb29-dc16-4784-8381-7fffec057047","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 11 _ HS32-CW"
"349eca6b-0643-458a-ac3e-db5099d507cb","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 11 _ HS34-CE"
"8a179ac7-f3f2-41c7-ae74-b814dc5c5b3d","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 11 _ HS05-E"
"119a2574-986c-4067-ace8-d7826648a641","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 12 _ HS33-CW"
"7e0a4108-1bbc-40a1-9b3a-e82d5ad39a67","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 12 _ HS34-E"
"cb1d3878-4c63-449f-b245-16746fe2972d","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 13 _ HS34-W"
"48e5fdbe-f4c8-4a9a-991f-7de43d519ace","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 14 _ HS32-W"
"ddb4902d-7d38-4061-9164-17fe2fc8cfbb","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 15 _ HS28-W"
"0653d794-4ce7-418b-a8db-5cc1f78c8917","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 16 _ HS33-W"
"c6a3df78-c9a7-4718-846e-7bda0b500e23","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 17 _ HS37-W"
"57469099-bced-4561-8820-e8a01b966007","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 18 _ HS29-CW"
"a401e62e-1c55-4f92-8b3b-591fe34c8fba","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 19 _ HS30-CW"
"d8b42418-0415-4a6d-a3ab-b843a5405e7c","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 20 _ HS28-CW"
"36064674-81de-4856-b48f-84736ee16788","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 20 _ HS07-E"
"4adcfad8-ef2b-470b-8be9-c6d0294ace28","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 21 _ HS38-W"
"0090d632-899e-41cc-a1fb-0b9651e69069","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 16 _ HS33-CE"
"dbefe6f4-a550-48ad-8d81-461121bd1833","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 22 _ HS32-CE"
"20a15ef2-0642-4d5d-8209-b698b8d15dd7","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 22 _ HS01-W"
"5be07171-8a96-4321-b3de-00fdcc8f0e46","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 23 _ HS04-E"
"2c72debd-4250-46f5-a4fd-ebe9a4026801","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 24 _ HS03-W"
"20f35735-734d-4c67-aa1b-feb1253443a6","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 25 _ HS01-E"
"50722924-5011-42a3-963d-09e0794254ef","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 25 _ HS04-W"
"06b920b8-d7ef-4f9f-896d-d2a27a1c78bb","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 26 _ HS44-E"
"695b0c9a-f593-4101-8f1e-7bdb4148b576","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 27 _ HS11-E"
"a8a8f8a8-67dd-435f-b6d0-ea594e7489be","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 27 _ HS10-E"
"3c35e3a1-d51a-455e-9ae5-9c28fedd919e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 27 _ HS03-E"
"0381fa67-1e80-442a-af1b-074a7a594574","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 28 _ HS07-W"
"87afaf02-ad2b-4034-ac5c-9a64ff9b2b2f","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 29 _ HS08-E"
"c20ab724-ec22-40ce-af48-6863d13977fd","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 29 _ HS32-E"
"11bc5141-6405-42e5-aa5f-e8a7a03a811e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 30 _ HS33-E"
"f1916a4c-ec91-4ec7-b70b-80a4a202aff4","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 31_ HS37-E"
"f7657e62-5957-4a14-a9fa-e811eedbf334","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 31_ HS29-CE"
"d15b9b1e-40c8-4b0f-83f8-863484b2c7f3","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 32_ HS10-W"
"46c16855-ee17-4b56-ab84-9bf35967a213","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 32_ HS34-CW"
"06f53e97-fecc-43af-a380-f940ff4b8192","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 33_ HS30-W"
"cd8aee71-2a3e-47f9-b913-3fbcc3064cda","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 33_ HS29-E"
"0883c6ea-21eb-4fa6-839a-ed9588bfa505","","fail","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 34_ HS38-E"
"d6f29812-061a-49b9-9588-e52b26178bc5","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 35_ HS11-W"
"c6e17dc6-18c5-406b-af38-2d8404ed1e1e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 36_ HS30-E"
"5e0720f1-7b1b-4111-bec7-c0e673c5eba8","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 37_HS30-CE"
"b46ed1b7-18c5-4c8e-8c37-ed2e52014805","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 37_HS06-W"
"9156d256-7a60-4363-9db8-d458c151a89f","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 38 _ HS27-CW"
"74c16b11-bd40-4a47-8f52-9ca076f61eab","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 39 _ HS28-CE"
"769e74a2-d34f-480c-bc2c-e6785f963945","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 39 _ HS27-CE"
"ead62035-50a4-4fec-9acb-363f018b6c07","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 39 _ HS06-E"
"a9de5ffd-73c0-4238-8400-127105466d59","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 40 _ HS08-W"
"149a8e18-5fc6-4021-9ac8-3b2d842977f3","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 41 _ HS27-E"
"d0941dc1-be13-4442-a862-6fbb4ec1b89d","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 43 _ HS40-W"
"dcebad8b-0597-40af-9130-0687a85e5d50","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 42 _ HS45-E"
"90531017-6aa4-4c54-bfb2-8e7c9f937894","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 43 _ HS28-E"
"e34ce40f-e630-4f1d-9976-fec28937de36","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 44 _ HS09-E"
"45908b40-ffbd-466a-a7c2-a762e2add5ca","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 44 _ HS44-W"
"fd565005-9cb3-4e91-9c08-a7c44c4f06e9","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 44 _ HS43-E"
"7b64221a-efcb-44fc-92bc-e2f27948692e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 45 _ HS41-E"
"48643a10-a299-4886-8f63-c85bd3676578","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 45 _ HS40-E"
"360936ce-3cdb-4618-b298-52bba93908ad","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 46 _ HS22-W"
"2eb17326-41b3-463f-b935-cf381e590eed","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 47 _ HS43-W"
"d0dcfd4a-374b-4aaa-96a1-c3be12148535","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 47 _ HS42-E"
"5cfdb12a-e089-4602-8dd3-1853f2b4ff16","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 47 _ HS41-W"
"370ed70a-795e-453c-a748-f5388263e9c1","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 48 _ HS09-W"
"8c632709-72db-48bb-b51d-f4cff1bbe674","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 48 _ HS14-W"
"b03e59be-9e18-4e9d-bec1-7bbfa2b0ab82","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 49 _ HS42-W"
"36fe6b05-48bf-4990-bed4-ce6af40535f9","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 50 _ HS27-W"
"1ba20346-1f61-466e-9132-1e00b56f9ce5","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 50 _ HS45-W"
"0e0935c1-9c96-44ec-8ae8-a232dee7fdef","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 51 _ HS29-W"
"3b79bbed-fbae-4990-9284-12f606366b15","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 51 _ HS15-W"
"59b8eaec-3743-4845-a226-080c8a1ee849","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 51 _ HS14-E"
"27d81715-7190-449c-b508-ff3bb95740b4","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 52 _ HS13-E"
"c3795fbb-dae4-4ae8-9a05-af6b5d7cbd2b","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 53 _ HS15-E"
"919534a7-f0c0-4a6c-aa23-61c0ddc8d049","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 53 _ HS25-CW"
"cad4739c-a16c-46d8-9235-e4f7b79499b7","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 54 _ HS13-W"
"1b83f4b4-335c-4f70-9e30-318f08c91964","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 54 _ HS25-W"
"c67d77ee-764c-4bca-8dbd-63d3dc52f834","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 54 _ HS36-CW"
"39e5df0a-aa9f-47c4-8535-322b043709c3","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 55 _ HS16-W"
"8374d924-1e11-41f7-8dee-374fb7a4678f","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 55 _ HS12-E"
"b7f2b089-d06d-4056-ac5a-b2c1ea692b04","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 56 _ HS12-W"
"93fce6c5-74a5-4713-8764-e5e6ee3152fb","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 56 _ HS21-CE"
"324c815e-2666-4e63-b16e-347cec064b1a","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 57 _ HS16-E"
"95e47184-b7ed-4e8b-8f3d-05606d52c4ab","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 57 _ HS21-E"
"c2f22488-3225-4442-9659-67753c323472","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 58 _ HS25-E"
"950b525a-ef78-4ac2-b183-a65f17b31310","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 58 _ HS22-E"
"6f21037a-27f0-4d0f-ab46-8695237f2e73","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 59 _ HS19-E"
"afe880cb-4df6-47de-8401-050e4d2462d3","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 59 _ HS25-CE"
"433c4293-9deb-4ff5-ad32-103b59704adb","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 60 _ HS19-W"
"6696a13e-6a37-425d-a772-97ff1e39a344","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 60 _ HS21-W"
"ffc3d885-b092-434a-a17c-a930137e747e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 60 _ HS18-E"
"7cccaec3-08dc-4d8b-afc7-6750453e460f","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 61 _ HS18-W"
"da45972b-9e5a-4208-adf7-b4de9573df44","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 61 _ HS23-CW"
"38d0df22-9b1c-41bc-90f5-720f98fae3dc","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 62 _ HS23-E"
"d1120765-938a-40a8-b000-943d7efe7845","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 62 _ HS24-CW"
"b22aab06-d476-49d1-a55f-f0b9ab0d8f18","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 63 _ HS30-EE"
"fc195566-fdbf-4f6d-b893-4c662bc0e6b8","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 63 _ HS23-CE"
"0d60a8f8-00a1-4a24-84bb-b4c54fbba4da","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 63 _ HS23-W"
"8c8c4b58-e267-48f8-b671-e19fa3018c3c","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 64 _ HS26-E"
"abe3d0ef-5ca2-4bf8-ad11-0c5e55b0c50a","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 64 _ HS26-CE"
"7db8e5f5-9f95-4d12-b988-f88547688a6e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 65 _ HS29-EE"
"71fb521e-ba2f-4666-94ab-9962f9460aa9","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 65 _ HS24-CE"
"2f496f46-2f7b-432d-ade3-a3afc95626e5","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 65 _ HS26-CW"
"894e154a-2511-474b-a68e-7db3a5ae975d","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 66 _ HS24-W"
"a23669a1-e52a-47a6-b21e-ae406342cce9","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 66 _ HS26-W"
"c3c19cf4-b640-4e7b-8642-accf3266d458","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 67-HS28-EE"
"28b3c5f7-4483-4629-8ee7-9bde75d0e694","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast67_HS38-E Recast"
"42f560b6-d06a-4694-90f5-cd8d10e77f2b","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast68_HS27-EE"
"7cb47157-5fc7-49f7-8cf4-ed39075731d7","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast68_HS24-E"
"2640d7f5-0af9-4c60-b955-2887a5d70fef","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 69_HS35-CW"
"41677fd8-6988-4f85-8651-317015202e7a","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 70_HS22-CW"
"36bf75ec-a825-48e1-bbb3-4d932e682497","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","CAST 71-HS17-E"
"61d60f0c-d764-4310-912a-61f426da424f","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast72_HS17-W"
"a8a884d6-9935-4449-b61e-ac5ecf45855f","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 74_HS20-W"
"0ac83b45-82d6-4d42-bd64-3d03247fc4b3","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 73_HS20-E"
"2f31862e-8717-4767-93b5-4983e8a8fa0e","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","CAST 71_HS21-CW"
