"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9025b883-181f-4aaf-b255-48d082961f34","","pass","","folder","TRUE","FALSE","Prelim Activities "
"6d6fabf5-e24d-4582-a4b6-ad98e3b10929","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 18"
"18290032-abdd-4055-b503-dcbac4f8b469","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 19"
"2ccb1e3d-b2c7-4545-b8a6-23a754191363","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 20"
"9ea9bb14-b79a-414a-ad69-b1d696528082","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 21"
"dcce30d4-f01d-4029-9cf9-39016d842d30","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 22"
"172077dd-3eeb-4dc2-b7ea-5c14eb449199","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 23"
"6e0b8617-19e7-4a1f-834c-a886a9a2284d","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 24"
"01feed62-d3bb-4082-897a-8d0e37df8fee","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 25"
"54810851-0ace-43da-a238-6d5ea9b30c94","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 26"
"5bb7ab52-8516-4804-b6de-1ba5967886ac","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 27"
"cb586d0a-f78c-4150-be76-b7ecfbfbf3bf","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 28"
"256be9d8-8552-4269-94b6-74fe6a9317b7","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 29"
"1fc573e4-352d-4cd9-a410-aa0a0e9ec0e0","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 30"
"fad7eea0-38c1-465f-82a8-c5ab847e832e","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 31"
"afd6994f-8d0f-441c-b9a9-0cf0796fec51","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 32"
"17673acc-1b90-4433-b8e9-9b0f58855cc5","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 33"
"74949156-9a46-4153-b70e-354601e589a2","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 34"
"9f20a579-7d11-4b57-8016-bfa73b5c6a39","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 35"
"3facdc3a-87f6-4503-9eaa-420b06561b2d","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 36"
"2472a987-4eeb-4e44-9441-311a5f4f7981","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 37"
"30193b07-31e1-4ba8-9550-527efadb1828","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 38"
"489f1dee-b766-4a52-97e3-850df31d2a25","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 39"
"2420c957-1c97-4ee8-9970-aa91a726cec3","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 40"
"ad8da33f-c553-4268-bbde-f7edd5525f04","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 41"
"d1171aca-0676-40ff-b4fc-d7266f472704","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 42"
"1e9d544f-8437-465e-91ef-6189e820876b","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 43"
"0526ce25-c45b-4414-b828-d61c5dadf783","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 44"
"4f6f9fc3-a776-4b82-97e0-1ae1bb10a150","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 45"
"59e9cbbf-9a73-48b6-8bf6-8a9578b66539","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 46"
"e83ce5a4-ad09-41c5-9b41-89b89b79adb2","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 47"
"15ccf445-ed6f-4a00-811e-c684a1124f1f","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 48"
"1ac5294e-f534-459f-b4ca-b3d40188c9ae","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 49"
"c2537622-9cef-4c27-bb47-28285506b703","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 50"
"0ea6ce0a-48dd-438d-a665-5536a3fb038e","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 51"
"4227f2cd-c651-47d7-a0f9-8be4a9d36548","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 52"
"4d142ce9-46cd-40ac-af2a-9af4b00a2c9c","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 53"
