"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad5b9e85-8199-4d37-bb45-8fe5060a0c9e","","not-started","","folder","TRUE","FALSE","Prelim Activities"
"470ba31a-728e-4f51-b83e-39dbe08044f8","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 42"
"860f7cf4-033e-48b2-8cf3-f24875a78f17","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 43"
"ee2a7d15-15f2-4d80-807c-79a52e4f917f","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 44"
"b9173ca6-1c19-4b40-9ffa-9f3ad2d7b81e","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 45"
"5005f1df-fe94-49f9-aad5-9651029d6ff1","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 46"
"d6e069fa-1130-40c2-8164-ec88881e0462","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 47"
"a4997a6f-fdd6-4d6a-b4b6-8bba6b35e972","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 48"
"6260b1b5-f4e4-4ab4-ab63-1f72a7185441","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 49"
"679e03e1-44ab-44ba-9511-c9f38d7232ed","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 50"
"b30d586f-4cf2-4ee8-9d61-c4b5afd0f604","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 51"
"207d90f3-085e-46b9-a0b4-c82d00392abd","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 52"
"d5a8b190-2583-46f1-986f-9d869274a989","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 53"
"d91d82f0-db46-49d9-be82-cced277350a2","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 54"
"b21a9b94-ea70-464f-8ac3-7e54ae86ecf1","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 55"
"9e8fd46c-2a87-46e3-a40c-f7c729ac82ac","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 56"
"b0becead-8d75-4a59-9e9d-1472ec65011a","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 57"
"2e093664-89b7-4e0b-b45f-25f8daad63b0","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 58"
"67cc9354-f120-41bf-bb47-3deb6052bbb0","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 59"
"b17b5328-49b4-41aa-ab29-4ae40a6de674","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 60"
"056cd9d8-0765-4620-8ba4-4c77572dde74","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 61"
