"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d24606ca-8a41-4de9-a2ed-469155e03203","","no-status-not-started","","folder","TRUE","FALSE","Prelim Activities"
"385ce22c-ab6d-464a-b129-79b3b449ce5d","","work-in-progress","","folder","TRUE","FALSE","Alkimos Train Station – Shell / Trimmer Beams"
"5bac6faa-3482-441c-b278-56a472674b3e","","work-in-progress","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 11"
"8d9c3af4-180c-4319-9f17-16bea2b6bfa0","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 12"
"d915f936-9c7b-4d04-9c33-cb43ba775d90","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 13"
"f2c6850f-1959-4922-9a92-902672f59d25","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 14"
"8da1eede-c7b7-4944-8bd3-cb001a398475","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 15"
"eacce6b9-968d-4315-b928-956fb6e10df3","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 16"
"58323f42-f544-4dd3-bfcb-f32a499855b9","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 17"
"28f0cba0-0c0e-4fa3-9de6-376be68eb4d6","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 18"
"c2621009-ba21-46e4-b6a5-09bdf5f8280a","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 19"
"a9ac299b-6f59-4f50-be67-8612fb97fcec","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 20"
"754833d8-7228-4508-a10f-a5024cce7ea7","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 21"
"c8292f2e-a68f-4073-888a-7952fa890ad3","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 22"
"201992a1-e69e-4e18-84b0-8b1836311499","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 23"
"a7abf29d-db15-452e-ae17-16be1dc52a90","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 24"
"6359152a-02b2-41cf-ac33-c22e3db3dcb3","","work-in-progress","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 25"
"d9c53456-60ba-4933-801b-ad395f040202","","work-in-progress","","folder","TRUE","FALSE","Eglinton Train Station – Platform Walls"
"cefc666c-e5eb-4941-872d-cb2e218f0b82","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 69"
"02a880dd-c0fd-482d-845c-34b57dceec67","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 70"
"8e46b330-3bce-4575-a899-08e10869ea6b","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 71"
"ae3d6be0-eee0-4fd1-870a-30a83e768a4b","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 72"
"ce8003c9-c831-46ee-91c8-d628cd1fbb40","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 73"
"50c74efc-d029-4af8-ab9f-991318ac7bf0","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 74"
"1a7e1717-4905-4983-84f4-d29be595c661","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 75"
"f5b41d39-98ce-4ac3-a9ea-ead9784e8aca","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 76"
"bc50a4de-268d-4c80-ac11-8b6790e0025a","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 77"
"c28e2134-4d6e-4008-9112-47e28dd2a6ea","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 78"
"816a0a66-ddde-4c94-a91b-1870d74c0c8e","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 79"
"3b8311a1-2d7b-42a4-92fd-5c1a5611b776","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 80"
"c1707073-3535-4084-8378-3dc429565d20","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 81"
"9693b039-1c3e-404c-8c90-7d8fe5f8d874","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 82"
"37244621-de32-4d5c-9316-a2603bfe6c40","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 83"
"bf7f797b-0c2c-4f1f-a3c2-06fbc70774b9","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 84"
"0ccb3aa9-3224-4815-b48e-7ca7c23272a2","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 85"
"cad5637b-6eb5-46c8-b04e-8fe27e4630ba","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 86"
"3062e046-a1ea-460a-85e5-c2c5c74235e1","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 87"
"86cd17f9-00a9-47e2-8703-bcc5cdbf7ab9","","work-in-progress","6214144ddec10a8e1950910658e16c68f775d92e055135f53145e4aab3ed7ec5","checklist","FALSE","FALSE","Eglinton Train Station – Platform Walls","Cast 88"
"f6f26c88-95dd-4d77-9e71-d307b2f3ec86","","pass","","folder","TRUE","FALSE","Eglinton Train Station – Shell / Trimmer Beams"
"e23d88ef-cb8d-48d7-b495-8cb41f150515","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 1"
"7bd7cba8-6bde-4dbf-b42f-43aeba81e5cd","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 2"
"0b074eac-35a2-4f33-a897-e8d634579873","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 3"
"9366276c-8995-436b-a937-bb8ac2b364be","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 4"
"4ffe7bcb-6eb3-4baf-ae43-c610a66fefb2","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 5"
"5066901c-25c2-46ae-8fc7-2fe1cb0f8761","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 7"
"a2ef16d2-ff86-4e5b-8825-c1b2666fb09b","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 6"
"b809d054-8623-4936-ac19-3fa54c42f826","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 8"
"94e16b90-2a7c-447e-947e-37774c2a0d23","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 9"
"c8545edc-9b88-410f-8d31-cac97a1f1ce9","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 10"
"1a417067-b82e-47ce-8bd1-5482f3feacdf","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 11"
"78d11a40-9cbc-48c0-be43-407980c777ec","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Eglinton Train Station – Shell / Trimmer Beams","Cast 12"
"4a009528-e186-423b-88a3-550d720596a3","","pass","","folder","TRUE","FALSE","Yanchep Train Station – Shell / Trimmer Beams"
"c221dd8d-d7a9-4787-8e39-a9ddd3debc13","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 1"
"8f650bc1-1c89-4cb7-977a-7b5a0aedfced","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 2"
"41ae7475-2622-404d-acd7-17f8f477f793","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 3"
"ced511c6-3e6f-42c9-8729-e9dfb4315e75","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 4"
"83d06346-0368-49fc-b578-3451438a0dc2","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 5"
"69f29999-800f-4cd9-90fe-53f68ec898ed","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 6"
"36a2958f-1295-47cb-9c5d-5c8481c1ce17","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 7"
"61f659c0-901f-4f15-a2db-e56c9601db0d","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 8"
"20516e4e-d9cb-4857-b3b0-3b1be4b159be","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 9"
"21660be0-bc61-4072-8268-f3d10142f92c","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 10"
"4b954a8d-07e5-4d4a-8a40-bf21bce2d86a","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 11"
"61edec6f-f0f0-48ae-8cf1-84b614302351","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 12"
"caacc86b-e497-4c1a-87c0-cb57d3c86535","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 13"
"34b2c34b-b4b9-4465-a590-a1c1c0eaa75d","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 14"
"afbdfab3-8dea-43cb-a27a-53095dfe1339","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 15"
"d1fba85b-7bf0-4528-a6f9-3d082fa4f238","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 16"
"c3f56ed2-739d-44ec-92ef-d0e66a7a3a03","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 17"
"3815d8ce-506b-4e21-97ee-9bc3e83839a4","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 18"
"fddaa93e-8a89-4e7d-be9f-86127a122ab6","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 19"
"ba3684fc-3761-40f9-9df6-620745871810","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 20"
"65ea1019-1b2c-4b99-9e31-b4ab43f321aa","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 21"
"d7356ffd-e1b6-420c-b093-3ed5a44960bc","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 22"
"22ae66cf-129c-4f4e-9375-ac37a996504d","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 23"
"0557bdbc-b1ab-4c10-8dfd-96da5bda50fa","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 24"
"608ca161-26c5-45f2-a66e-a6c45880eb1a","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 25"
"76b31522-c1b6-4f3a-8c99-958f6e50f7f5","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 26"
"25b0ea8a-7c6b-471f-a1a2-771a7459d2dd","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 27"
"93ab9898-3570-49c9-bab8-38f28ff0a456","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 28"
"31dba06b-50ed-4afa-98f1-8a9697720606","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 29"
"427a86ea-ef52-49c2-aa6b-037cdd58d804","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 30"
"1deddae4-0332-43bd-b53a-9840b1dc0fe7","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 31"
"a3beeff1-d1ce-4244-bf3e-5b7eb19a7e24","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Yanchep Train Station – Shell / Trimmer Beams","Cast 32"
