"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cebf4bb2-baf2-4ac6-a35c-fa02f0a1178b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"30f82176-f395-4026-adc3-88453384585b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road"
"989824ec-59fb-4464-8c45-7ea9af71efb6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","DM00828"
"837baba4-57e8-495e-997a-10bf17b450ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road"
"fab937fa-f879-412f-aa40-da593c577a74","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","SH00288"
"ce9fbdcf-c701-4794-922d-c0447f7abec2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","SH00292"
"d0e5e2e7-87f5-4017-a0fa-dec4a123e572","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","DM00890"
"dd7c85c0-d2d2-45ec-b035-9045a47ebf26","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","SH00282"
"5aedf037-1fb5-4314-a573-aa132b975864","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 2 – Woodhill Mountain Road"
"88d2ea1e-823d-4def-8b07-47ded5ec16d2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 2 – Woodhill Mountain Road","DM00808"
"4e9e763f-94f8-43b0-90dd-89f73ae34d3b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 2 – Woodhill Mountain Road","MT00008"
"bc4f68b1-11fa-45e5-b6ad-07334b9aca90","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 4 – Foremans Road"
"fae114e1-b97f-4c2a-8368-66b9b5b2d301","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 4 – Foremans Road","DM00882"
"9e4db5b0-7fff-4f7b-8382-dee4c602b309","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 4 – Foremans Road","DM00555"
"c435cb68-fa1d-4855-841e-f22add901f9c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 6 – Kangaroo Valley Road"
"5276e712-814f-449e-9441-5b2347183126","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 6 – Kangaroo Valley Road","DM00806"
"94bf2188-954f-4d34-a525-92a8d8756c17","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 6 – Kangaroo Valley Road","DM00805"
"bb72dad3-7d8b-4931-ad6c-a5d63f9960a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road"
"17fc4d83-6d87-4d26-82ec-71e6305159d4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00755"
"5268fcb2-ae4f-4392-bf41-7adfdeb3394d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00533"
"d233f67f-bf0f-4eb9-89e2-629efc499c33","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","NH00013"
"a3754174-1f89-4ade-964d-bffb82211518","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00757"
"50e02535-5834-4f73-aaec-112f54f3c67e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00864"
"e50765ee-6b63-4c16-84c3-b6ebfbe71b10","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00822"
"1da91d26-f072-4406-b0e2-fde396ad42e9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00718"
"f1dcd4e8-957d-402c-804c-b618552fea56","","checklist-sectioned","work-in-progress","SYM-0388-ITP-001 Site Clearing [B]","checklist","FALSE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00718","DM00718 mt scanzi site clearing"
"388fd52a-09ea-49f6-99ea-128c3779b455","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00577"
"d08f3d8f-bae8-4245-8dc1-4b1cf85a393f","","checklist-sectioned","work-in-progress","SYM-0388-ITP-001 Site Clearing [B]","checklist","FALSE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00577","Site clearing"
"d3335c97-b7f7-4e47-becc-fb74db227efa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 9 – Suffolk Road"
"1a19cd5d-726f-424c-b888-69b158b71d4a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 9 – Suffolk Road","DM00523"
"171f4805-971b-427e-a98f-06cbda6c3610","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 5 – Wattamolla Road"
"fe3e6fff-4325-453c-a5ff-1f3f0322d4a8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 5 – Wattamolla Road","DM00513"
"63c21915-2697-4794-a7c3-5c4e5849c65d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 5 – Wattamolla Road","DM00863"
"29a52c2b-7ca3-45c6-a960-80372ad1d0f6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 10 – Hughes Road"
"8289d316-4bd7-495a-9d89-d07ab0259e5b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 10 – Hughes Road","DM00610"
"472a7074-bf16-4416-9ef6-8f831c7a4bbe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 10 – Hughes Road","DM00611"
"c82e87c7-8890-495b-9d17-0be165931c06","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 13 – Browns Mountain Road"
"1a1fafae-6b57-4d20-8daf-0e72db8fc5fd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 13 – Browns Mountain Road","DM00706"
"ecbb2955-cefa-4a15-9223-4f524caeb0a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 14 – Wogamia Road"
"9efd6b6a-3396-430b-937f-0e72d1de723e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 14 – Wogamia Road","SH00276"
"17f52f54-f7de-4835-b1c6-426b7e75051b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 11 – Abernathys Road"
"25c4a161-0176-4ea4-8209-23e82357d595","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 11 – Abernathys Road","DM00865"
"3cca4bff-b912-4331-80a7-051983c37c33","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 12 – Bamarang Road"
"5049b189-1efc-472b-b5eb-b0b4975dd706","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 12 – Bamarang Road","SH00290"
"1b54f95e-c230-4543-afe5-4c7015dc702e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 12 – Bamarang Road","DM00899"
"79b7b3af-0302-46da-a71c-c0973b28c302","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 15 – Yalwal Road"
"4079fc7b-9cf6-4a0e-b3e2-412a8ebcf65c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 15 – Yalwal Road","NR00016"
"8a9a3c99-3c2b-4bad-84a8-7679e61871d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","DEMO / Training"
"63d8a39e-f749-4aa6-babf-c6334bdb8eb1","","folder-normal","work-in-progress","","step","TRUE","FALSE","DEMO / Training","Milestone - Bunkers Rd"
"d55ad4c0-8863-4e74-96cc-628a218154ba","","folder-normal","work-in-progress","","step","TRUE","FALSE","DEMO / Training","Milestone - Bunkers Rd","AC00088 [TEST]"
"3d2e64dc-bd86-41e5-b7b3-8929e3e375b9","","checklist-sectioned","work-in-progress","SYM-0388-ITP-002 Earthworks [C]","checklist","FALSE","FALSE","DEMO / Training","Milestone - Bunkers Rd","AC00088 [TEST]","SYM-0388-ITP-002 Earthworks [C]"
"d89760d9-b525-4965-a55a-08fd4abdf24a","","checklist-sectioned","not-started","SYM-0388-ITP-003 Bored Piles [C]","checklist","FALSE","FALSE","DEMO / Training","Milestone - Bunkers Rd","AC00088 [TEST]","SYM-0388-ITP-003 Bored Piles [C]"
