"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0ba60430-9a02-4261-a37e-59e48e8c556a","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 83","Rigid Board"
"a8e06cff-bcff-4e96-9366-5f4b6248ece2","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 83","Speedpanel"
"c4da86f6-95cf-45b1-bbfc-e588a73853ff","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 84"
"60d62e52-7bbc-4d71-afdc-c442cfe452a3","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 84","Rigid Board"
"0cf0c84d-1cc3-451f-a212-f405dceccdf3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 85"
"fed52fb5-9674-4390-92f8-47b22e4cd0e8","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 85","Rigid Board"
"ac43bb0d-91ef-4e1f-a379-de9427c2c637","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 90"
"2578c67c-057f-4e66-b9e5-c90561ceb09e","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 90","Rigid Board"
"64c2b6d4-fe23-4648-8ff0-b2319ec78c9f","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 90","Speedpanel"
"94672e58-e693-4e24-86a2-dd731c80c09e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 91"
"85961daa-b18a-4bcc-8d5a-e6b72226026e","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 91","Rigid Board"
"53630b52-8586-4d36-8e38-8b61fa67308c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 92"
"b5881650-fa79-47eb-8fa4-254d6e1c5cc9","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 92","Rigid Board"
