"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1deca372-8060-464a-a4d4-9bd467d7dc96","","work-in-progress","","folder","TRUE","FALSE","Block 1"
"aeb98cbb-fd06-4567-a227-a6d8dae747ff","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 28","R28T1 - Pile Predrilling & Filling ITC"
"f9b29a0c-0e4f-4087-a4ab-65393745b9af","","not-started","","folder","TRUE","FALSE","Block 3","Row 27"
"97985d8b-8484-4d5b-b4fb-cd36b406bc3d","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 27","R27T1 - Pile Predrilling & Filling ITC"
"6f83b219-99c0-4e80-91ca-6b5558d0e296","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 27","R27T2 Pile Predrilling & Filling ITC"
"f670f057-3f20-4212-a78c-b2d80bd7852e","","not-started","","folder","TRUE","FALSE","Block 3","Row 26"
"422a54bc-de48-4f63-9391-635a9920cfed","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 26","R26T1 Pile Predrilling & Filling ITC"
"bb119fe2-c559-48e4-8e7d-c59f9a2f5de4","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 26","R26T2 Pile Predrilling & Filling ITC"
"42572067-ab44-499d-862a-b5b9bfe14fcd","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 26","R26T3 Pile Predrilling & Filling ITC"
"2a61f133-5b71-4a75-90d9-2af872f76753","","not-started","","folder","TRUE","FALSE","Block 3","Row 25"
"a609dded-de97-4324-b051-cc00eef0eb37","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 25","R25T1 Pile Predrilling & Filling ITC"
"085596d5-1265-4e8d-baad-0aa692fdf88a","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 25","R25T2 Pile Predrilling & Filling ITC"
"4e2fdf4d-9ed5-4b3d-a475-3704ca9592f8","","work-in-progress","","folder","TRUE","FALSE","Block 3","Row 24"
"b54b7180-d71b-4784-b9a3-6b2adbce0f32","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 24","R24T1 Pile Predrilling & Filling ITC"
"449371d9-9c7c-4561-89fb-566751ae653f","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 24","R24T2 Pile Predrilling & Filling ITC"
"376e946e-5597-4855-8282-863c2210bdf2","","work-in-progress","","folder","TRUE","FALSE","Block 3","Row 23"
"d91f587b-1e8e-45a2-95c4-ac50ce99352c","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 23","R23T1 Pile Predrilling & Filling ITC"
"f190abac-29ed-4e24-a2e3-43085672ab07","","not-started","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 23","R23T2 Pile Predrilling & Filling ITC"
"d636b915-b4a0-402c-9e9f-cf9bb4ec50d3","","work-in-progress","","folder","TRUE","FALSE","Block 3","Row 22"
"2e6ace06-bd70-44b2-9c00-fb1024e64d95","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 22","R22T1 Pile Predrilling & Filling ITC"
"5648fb87-a718-417e-b3bd-b5a6997f4cd4","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 22","R22T2 Pile Predrilling & Filling ITC"
"9f9cc490-f860-41ba-8fee-8a9db1405c69","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 22","R22T3 Pile Predrilling & Filling ITC"
"82e2f3b4-8028-4016-97f6-52351159eea6","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 21"
"703ac394-509d-4716-93f5-1948207f8c21","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 20"
"0c45b783-0cdb-4d81-86d5-2a3a5f71e95c","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 19"
"5eddb54b-36f2-4838-9548-9edcc7b736ad","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 18"
"31f10644-44d4-49a0-99d4-3a05bcbe7f29","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 17"
"bed26171-7ef9-4512-91a8-24185524abeb","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 16"
"5b3fa52e-e56d-4b57-aa68-84e1a022b6b6","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 15"
"90c0a216-3531-4561-b6f8-5a73b56f649f","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 14"
"a47a272d-8800-47d9-a950-6db71897eb1c","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 13"
"aca9d5ad-2f14-492c-b516-b32595419f1d","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 12"
"095bb3e9-7717-4c1b-9e13-d81a52b1ba21","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 11"
"e6160267-9482-4be3-bd8c-0fe8563e173a","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 10"
"447a985f-36df-4bec-b756-14003c8471cf","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 9"
"766811d1-0d41-48fe-aa50-1f9b8a595d22","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 8"
"abbf3f98-502d-4dd7-a843-2d37dbbbcced","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 7"
"402870b9-5a23-4456-bd83-a253dbc5a74c","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 6"
"75551956-62c5-4a11-834e-2165009601bd","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 5"
"8b50cbf4-7406-47ac-ba18-0a18fe44e612","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 4"
"74f059fc-2150-4b56-976c-fd0472ba47ee","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 3"
"fd13887a-d312-4c74-a893-e27895568396","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 2"
"96621781-d9ca-4f3a-b995-f00c45140da3","","no-status-not-started","","folder","TRUE","FALSE","Block 3","Row 1"
"7f3bcc26-afe4-49ff-98ab-501edf07bd59","","no-status-started","","folder","TRUE","FALSE","Block 4"
"1469bcb5-eddb-47d6-8bf6-19192d3d76e8","","no-status-started","","folder","TRUE","FALSE","Block 4","Row 9"
"4a11f528-a33f-4acc-bc7c-abe0caad58d2","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Block 4","Row 9","Pile Testing"
"b421d987-aa2f-4100-9c52-388a496ab117","","no-status-started","","folder","TRUE","FALSE","Block 5"
"d286e7b2-3c53-4289-a3c4-9cae212f0798","","no-status-started","","folder","TRUE","FALSE","Block 5","Row 4"
"dac1c4c5-e352-4c2d-b061-b9f3d808282b","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Block 5","Row 4","Pile Testing"
"09b2ea1f-fd27-4372-8bf0-3fac948fedb1","","no-status-not-started","Upload Attachments","checklist","FALSE","FALSE","Block 5","Row 4","Table ITC's"
"adde2cae-71f6-4657-9bb7-05a86d6350b9","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 1"
"ab7d54a7-f78d-4966-99b2-354121f10bc5","","no-status-started","","folder","TRUE","FALSE","Block 5","Row 2"
"26c8b8d3-3afa-46e3-bd13-c16dcf8b21b9","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Block 5","Row 2","Table ITC's"
"c48941dc-7bb8-466d-bc4e-3c5f26c39eff","","no-status-started","","folder","TRUE","FALSE","Block 5","Row 3"
"1078c4c9-6336-42a2-97c8-f8f25322229d","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Block 5","Row 3","Table ITC's"
"e91d74ac-77a4-4931-831e-76f4aa929204","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 5"
"81ae8c0e-9a82-4531-a20b-e816fbb93749","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 6"
"96d29710-ce81-482b-854c-f73e473e96ec","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 7"
"1d44edc2-df7b-461c-a660-d43e64f10f09","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 8"
"f7039afe-1290-402c-ab93-e3071bd8669c","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 9"
"38119c41-1a98-48ac-9e0d-781f0f477c8a","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 10"
"bcabc29d-6c67-442f-ac22-e1d3d51fd98a","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 11"
"80c02ddf-ca04-46ba-b519-55e44ac0fdb5","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 12"
"e94ce812-21a7-4165-b31d-fcd83a862455","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 12"
"6669b98a-b23d-41b0-b726-4b0e76f2d3fc","","no-status-not-started","","folder","TRUE","FALSE","Block 5","Row 13"
"f5ea1f2a-f321-4b18-a938-53f48e4cc743","","no-status-started","","folder","TRUE","FALSE","Block 5","Golden Row B5-R2-R3"
"e0ebc00d-a404-489b-b012-c00360a28e73","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Block 5","Golden Row B5-R2-R3","Golden Row"
"2d529a74-2b8f-4b69-a606-b8732516a80e","","no-status-not-started","","folder","TRUE","FALSE","Block 6"
"b981481b-0067-458f-af6d-25f42cea14fb","","no-status-not-started","","folder","TRUE","FALSE","Block 7"
"847911ff-1bcf-439d-bc3c-2cef4dd095cb","","no-status-not-started","","folder","TRUE","FALSE","Block 8"
"d1f21765-da17-4899-ae07-221ebf4a2d9c","","no-status-not-started","","folder","TRUE","FALSE","Section 9"
"21db879f-cc21-4bc9-beb3-e70a2b680fb3","","no-status-not-started","","folder","TRUE","FALSE","Row 8"
