"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe89e139-0ea6-41ec-ae8b-893ebaf332f8","","pass","","folder","TRUE","FALSE","CP/1"
"3263a10c-7536-43fb-b38f-02ddb0fead21","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/10","Concrete Delivery Checklist"
"564d368e-48c1-486c-8cc3-b9767467b028","","work-in-progress","","folder","TRUE","FALSE","CP/11"
"d3091f27-ea5b-452e-8077-e18b8db88462","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/11","Pre-Pour Checklist"
"ee3fef0c-dea7-446e-8f4f-33af0aed7a5f","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/11","Concrete Delivery Checklist"
"3717d83a-f5a0-425e-a4ae-2ccee29ad425","","not-started","","folder","TRUE","FALSE","CP/12"
"000279f1-9317-47bc-8426-4a3534a28c04","","not-started","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/12","Pre-Pour Checklist"
"64cd6ea6-53d4-44ff-b105-1257a13e1d8b","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/12","Concrete Delivery Checklist"
"8b442f3e-8e27-4ff9-aa3d-f456592a1af6","","pass","","folder","TRUE","FALSE","CP/13"
"5ca660d3-c0f7-49b7-bb4f-468243e0bc13","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/13","Pre-Pour Checklist"
"aad10fb5-f41a-4a56-adc8-8935d6cfe347","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/13","Concrete Delivery Checklist"
"7a394a80-957a-414b-9fa9-870734df4efb","","pass","","folder","TRUE","FALSE","CP/14"
"21e478d2-ea92-41bd-aae8-1d83d7fab425","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/14","Pre-Pour Checklist"
"84c8e4a7-52a2-4d4f-90fc-09833e23ec17","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/14","Concrete Delivery Checklist"
"0543ef4c-3798-48af-b1ae-a4eae9f24a7b","","pass","","folder","TRUE","FALSE","CP/15"
"6a169031-45a4-426b-b702-ae2da821ddc0","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/15","Pre-Pour Checklist"
"8998c610-c338-45cb-844e-568bf8cccfff","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/15","Concrete Delivery Checklist"
"2868046e-82e9-4a21-84fa-51c245d8cbc7","","pass","","folder","TRUE","FALSE","CP/16"
"8880b6d7-a5a9-445e-ade8-9199e8ff0438","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/16","Pre-Pour Checklist"
"66df72f5-9e01-44e2-bb66-3b1ed1040905","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/16","Concrete Delivery Checklist"
"02d21e00-5796-43fb-bc59-7df6e7fd3ced","","pass","","folder","TRUE","FALSE","CP/17"
"c8230ce7-3f0a-4dde-a163-8320401d63b6","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/17","Pre-Pour Checklist"
"138278b8-4721-4901-afa9-b7b67af6f0c0","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/17","Concrete Delivery Checklist"
"c4232410-dab5-4c5b-b948-dde2caa0a777","","pass","","folder","TRUE","FALSE","CP/18"
"884d4187-6785-4ffd-869e-08fc4bbcc211","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/18","Pre-Pour Checklist"
"fce3267f-c118-4b03-875f-210089520cdd","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/18","Concrete Delivery Checklist"
"2729345b-6fc8-492d-9a46-14d31c64aba8","","pass","","folder","TRUE","FALSE","CP/19"
"45796e56-5f7f-4df5-bd1e-5d26c411ed46","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/19","Pre-Pour Checklist"
"ac0bda31-211f-4eb7-badf-ed12eb312274","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/19","Concrete Delivery Checklist"
"de37343f-7e95-49b3-ba5c-834006919858","","pass","","folder","TRUE","FALSE","CP/20"
"ee09278d-a95c-4e34-aa62-c402a9f1fca0","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/20","Pre-Pour Checklist"
"b3b55a2a-bbce-4882-9836-1db91ce8f44b","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/20","Concrete Delivery Checklist"
"d6e20649-b9c7-4c8f-bd3d-867e04d96b5f","","pass","","folder","TRUE","FALSE","CP/21"
"7d0dfd36-4671-4ca9-b86f-53407280dab4","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/21","Pre-Pour Checklist"
"b38dbbaf-10d9-4713-8b93-cab3d5927d75","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/21","Concrete Delivery Checklist"
"52cf49a6-6131-4fed-88b5-2d42583e908c","","not-started","","folder","TRUE","FALSE","CP/22"
"5042faed-3274-4b47-a18a-8f453a488eed","","not-started","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/22","Pre-Pour Checklist"
"81c2bffd-a372-4758-81c1-9f38f1c978ac","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/22","Concrete Delivery Checklist"
"a03ef87d-eae2-46b5-8ab3-c8e87ce7e64f","","pass","","folder","TRUE","FALSE","CP/23"
"dd9da6e0-5eb8-4c25-aa87-60e349701f80","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/23","Pre-Pour Checklist"
"f2650209-05f0-42f6-ba67-062c7c83104a","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/23","Concrete Delivery Checklist"
"0c7d4a19-8556-44c4-978c-eab4233e16b8","","pass","","folder","TRUE","FALSE","CP/24"
"dad3b1f8-cd93-4895-b0e9-fb35fac95948","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/24","Pre-Pour Checklist"
"efceb934-4c49-4ae5-aaa6-a18e8be92c90","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/24","Concrete Delivery Checklist"
"a3906298-a52f-4335-92b1-67e3e27c1c31","","work-in-progress","","folder","TRUE","FALSE","CP/25"
"5515fd73-1b73-4ee6-9beb-5972fc67c257","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/25","Pre-Pour Checklist"
"8d54d122-184a-48ec-840f-01d41094d1a2","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/25","Concrete Delivery Checklist"
"d92a652d-1d0d-4a55-bfaf-c7d201ad1c06","","not-started","","folder","TRUE","FALSE","CP/26"
"4b2e1444-0027-42ca-ad55-4bd0d0b779da","","not-started","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/26","Pre-Pour Checklist"
"a47d6fbb-f950-454e-8074-583b1c461bfe","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/26","Concrete Delivery Checklist"
"2cbc9907-271e-4851-8c24-3da788c24ff7","","pass","","folder","TRUE","FALSE","CP/27"
"3814b57c-a63f-411a-b5d9-f30d7b6d4070","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/27","Pre-Pour Checklist"
"3baa2af9-e073-4443-85d0-05e292cc7b86","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/27","Concrete Delivery Checklist"
"cf58986a-70b0-4d68-81d4-cd5614b290c2","","pass","","folder","TRUE","FALSE","CP/28"
"282ceedb-86b9-4ee4-ab7e-8323447601e6","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/28","Pre-Pour Checklist"
"eca35e1e-8c4a-4fcc-8413-6f6eac598530","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/28","Concrete Delivery Checklist"
"3de1c518-cf52-4dd1-91bf-f490eb4fd885","","pass","","folder","TRUE","FALSE","CP/29"
"499190cc-ed12-4275-bdff-7ec70a0571b7","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/29","Pre-Pour Checklist"
"290e792d-c847-42ca-af92-017b424f8d28","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/29","Concrete Delivery Checklist"
"e422c50b-0954-4cc2-a43d-e6e6d01097c3","","pass","","folder","TRUE","FALSE","CP/30"
"6b100490-49b6-46ab-8335-25643cb0eaaf","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/30","Pre-Pour Checklist"
"cbfaba88-3aad-48d1-abf4-d22068b25bb5","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/30","Concrete Delivery Checklist"
"361b09f8-9754-4624-a2ca-c739cf8be2f0","","pass","","folder","TRUE","FALSE","CP/31"
"f3e2b7f3-5d33-43e3-972c-93e5b18b3ce3","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/31","Pre-Pour Checklist"
"600bfe72-bf7f-4afe-ae4f-cfb28d98c02e","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/31","Concrete Delivery Checklist"
"a17a6015-941d-4fd4-beee-21dd5688b554","","pass","","folder","TRUE","FALSE","CP/32"
"dc3a92dd-260f-4e8a-861e-13a6a7434d64","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/32","Pre-Pour Checklist"
"b9164468-eb2a-4a40-86c9-f57ad19ae74c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/32","Concrete Delivery Checklist"
