"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"776b3ab8-d741-45c9-86fb-e614bde6cce4","","not-started","","folder","TRUE","FALSE","Site QA","Level 6"
"17576ad1-d394-4cb1-94f5-d480738180aa","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Lobby"
"3129048d-3caa-49bb-be52-f086d6bd7c51","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 61"
"c399cd0f-58f4-4954-8f2c-e4ed4954203e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 62"
"4baaf9d8-cb9a-4620-8bde-bf2af5abba4d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 63"
"cf88157c-2ab9-4964-886e-ca8a18e622dd","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 64"
"a2d3b483-543f-4ca4-bdb6-b7a5fb47cb07","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 65"
"26efb274-5c4b-48d5-9b2f-4973650b8cb7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 66"
"d98c0e40-ce5a-449e-87f8-0ed6b0c7f42d","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 6","Unit 67"
"93ce53d5-50e2-4e2e-b630-fc4c2649a5b0","","not-started","","folder","TRUE","FALSE","Site QA","Level 7"
"7e3b72b6-dac5-42b1-9102-f49bc17de009","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Lobby"
"fccecf2a-2181-4732-8c75-d402f0cc84fb","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 71"
"4ed3bc53-720f-4892-8dfc-3339c2363891","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 72"
"ebd17709-3165-45d6-a796-580bd989d715","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 73"
"ff23e606-eaae-4369-b646-d5eda2f1b495","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 74"
"4b005798-a12e-4d24-8880-64c8d6f06bdf","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 75"
"a24d16e5-c739-47f5-96ff-f04549174a38","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 76"
"cb039118-f23b-4dde-9c28-66e8586ec094","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 7","Unit 77"
"829e89e1-7c49-44d5-9a5f-24792a7e5780","","not-started","","folder","TRUE","FALSE","Site QA","Level 8"
"07c11694-7f14-4357-bccd-6f4756f1b40b","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Lobby"
"33291560-8814-423d-8951-1a6fb0739d62","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 81"
"4d88c561-b62a-46ba-baf3-2df66cda0744","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 82"
"1561bb3f-e2da-4cad-af92-84ca9c9154e4","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 83"
"ec5ff27b-cb94-4914-ad04-08301ade34c0","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 84"
"1f5b6566-f9d2-41ae-89d8-90e6d8719404","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 85"
"16dc0005-8d47-488e-9655-c778f6713554","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 86"
"41b8354d-4fe1-457f-9080-c31eee192933","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 8","Unit 87"
"841c8bf8-2ec3-455a-9983-a5efc9dfb65d","","not-started","","folder","TRUE","FALSE","Site QA","Level 9"
"2dd0129b-cd89-49a3-b1f2-7196173248c3","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Lobby"
"829d2fbc-07d2-40af-af9b-760831aae7df","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Unit 92"
"a13a6874-6245-4547-a7b7-6d13254fd35e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Unit 93"
"b9ed2889-f882-4eab-91cc-210b9e7de383","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Unit 94"
"bb6a8443-81a4-4db4-9054-5a8a9e4857cf","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Unit 95"
"0176734c-efa6-4e75-b07b-847b7442ca05","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Unit 96"
"fa8d5f7d-c4aa-46d7-871f-d8852007f8d6","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 9","Unit 97"
"d6b44d33-c0b9-4423-839c-194de5a15446","","not-started","","folder","TRUE","FALSE","Site QA","Level 10"
"0c3de734-a055-459d-b015-94ad16dc09e1","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Lobby"
"df595ee6-7e34-475f-8b3e-50468df3dfbc","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 101"
"b6de5759-0b18-4267-8ff7-7100d3866700","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 102"
"5d3313a4-ee90-4a10-8b0f-c9a2e526d530","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 103"
"d1a8fde7-8b72-43eb-8c0f-eb4a509dc352","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 104"
"d1c28583-daf7-430e-83c9-e117a89f8ffa","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 105"
"9bfffa0e-257f-432c-943a-29f97a62fbd7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 106"
"be619032-86be-4a9c-9d2f-0b0fcf3d4935","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 10","Unit 107"
"bcf35e7c-6dd0-414d-b377-24b9e376d235","","not-started","","folder","TRUE","FALSE","Site QA","Level 11"
"60585abb-ae71-4b22-95a3-ef67c44a66fa","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Lobby"
"fdffdc00-68f1-45c4-b684-0dab7775dd0c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Unit 111"
"0d3ff4be-56c0-41ce-8454-58dd9314b3f2","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Unit 113"
"d682c0e2-3c67-4355-9a1d-0f5387990185","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 11","Unit 114"
