"","Reo","IFC Drawing","data:Steel Supplier","data:Other Steel Supplier","data:Reo Manufacture date DD/MM/YY","Cage dimensions","Fittings marked","Formwork","Formwork ready to commence","data:Panel type","data:Other Panel type","data:Panel difficulty","data:Location","data:Other Location","data:Quantity","data:Panel Weight (t)","data:Volume (m3)","data:Manufacture date DD/MM/YY","Formwork dimensions","data:Panel thickness","data:Thickness projection","data:Panel width","data:Width projection","data:Panel height","data:Height projection","Square","Silicone Bed","Edge Form/ Fillets","Position of reinforcement","Lifting devices securely/in place","Fittings locations V2","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Lifting devices securely/in place V3","data:Top Lifters type","data:Other Top Lifters type","data:Edge/Face Lifters type","data:Other Edge/Face Lifters type","Ready to pour","data:Notes/Changes","Pre Pouring","Take a picture or attach copy of concrete doc","data:Concrete Supplier","data:Other Concrete Supplier","data:Concrete schedule docket #","data:Pouring date DD/MM/YY","data:Concrete Requisition (m3)","Correct mix being used","data:28 Mpa required","data:Other Mpa required","data:Type of concrete","data:Other Type of concrete","data:Concrete strength tested","Post Production","Post Production ready to commence - Lifting Mpa","data:Date panel stripped","data:Location (Rack #)","data:Other Location","Fitments removed (GT Caps, fillets, Ferrule caps)","Correct dimensions","Bulges, Dents and airholes within tolerances","Cracks within tolerances","Marking","Panel conform to specifications/ tolerances","data:Patching/fixing required","Concrete Test results (28 days result)","Storage","Inserts/Rebates removed","Filling points/lifters exposed","data:Location (Rack #)","data:Other Location (Rack #)","data:Status"
"A-L1C68","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.2","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","2 Edge lifters removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58653","18/10/22","6.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C69","pass","pass","","","17/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.2u","1","2.83","1.18","17/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","2 Edge lifters removed, 4 face lifters added (7t)","pass","pass","Ausmix","","58653","18/10/22","6.9","pass","pass","pass"," 50/20/200","","Yes","pass","pass","19/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C70","pass","pass","","","18/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.2","1","2.83","1.18","18/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifters removed, 4 face lifters added (5t)","pass","pass","Ausmix","","58761","19/10/22","6.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","20/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C71","pass","pass","","","18/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.2U","1","2.83","1.18","18/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifters removed, 4 face lifters added (5t)","pass","pass","Ausmix","","58761","19/10/22","6.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","20/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C72","pass","pass","","","28/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.4U","1","2.55","1.06","28/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57431","28/09/22","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C73","pass","pass","","","28/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.4","1","2.55","1.06","28/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57431","28/09/22","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C74","pass","pass","","","28/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.3U","1","2.55","1.06","28/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57431","28/09/22","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground","pass"
"A-L1C75","pass","pass","","","28/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.3","1","2.55","1.06","28/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57431","28/09/22","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C76","pass","pass","","","30/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","1.1","1","2.55","1.06","30/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57650","30/09/22","6.4","pass","pass","pass"," 50/20/200","","Yes","pass","pass","04/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C77","pass","pass","","","27/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1","1","2.55","1.06","27/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57348","27/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground","pass"
"A-L1C78","pass","pass","","","27/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.2","1","2.55","1.06","27/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57348","27/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C79","pass","pass","","","30/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1","1","2.55","1.06","30/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57650","30/09/22","6.4","pass","pass","pass"," 50/20/200","","Yes","pass","pass","04/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C80","pass","pass","","","30/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1U","1","2.55","1.06","30/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57650","30/09/22","6.4","pass","pass","pass"," 50/20/200","","Yes","pass","pass","04/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C81","pass","pass","","","29/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.4","1","2.55","1.06","29/09/22","pass","300","pass","600","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57592","29/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","30/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground","pass"
"A-L1C83","pass","pass","","","18/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1","1","2.78","1.16","18/10/22","pass","450","pass","450","pass","5930","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifters removed, 4 face lifters added (5t)","pass","pass","Ausmix","","58762","19/10/22","6.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","20/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C84","pass","pass","","","29/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.4U","1","2.55","1.06","29/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57592","29/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","30/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C91","pass","pass","","","18/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","3.1","1","2.78","1.16","18/10/22","pass","450","pass","450","pass","5930","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","Edge lifters removed, 4 face lifters added (5t)","pass","pass","Ausmix","","58762","19/10/22","6.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","20/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C92","pass","pass","","","29/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.3","1","2.55","1.06","29/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57592","29/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","30/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C95","pass","pass","","","20/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.3","1","2.83","1.18","20/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," PSA Foot Anchor 5t","","pass","Edge lifters removed; 4 face lifters added (5t)","pass","pass","Ausmix","","58863","20/10/22","4.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","21/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C96","pass","pass","","","29/09/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.3U","1","2.55","1.06","29/09/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57592","29/09/22","4.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","30/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","2 Ground ","pass"
"A-L1C97","pass","pass","","","20/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.3U","1","2.83","1.18","20/10/22","pass","450","pass","450","pass","6050","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," PSA Foot Anchor 5t","","pass","Egde lifters removed; 4 face lifters added","pass","pass","Ausmix","","58863","20/10/22","4.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","21/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C98","pass","pass","","","20/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","4.2","1","2.78","1.16","20/10/22","pass","450","pass","450","pass","5930","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," PSA Foot Anchor 5t","","pass","Edge lifters removed, 4 face lifters added","pass","pass","Ausmix","","58863","20/10/22","4.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","21/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","6 Ground ","pass"
"A-L1C99","pass","pass","","","12/10/22","pass","pass","pass","pass"," Column","","","Pinkenba","2.3U","1","2.55","1.06","12/10/22","pass","300","pass","600","pass","6090","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","58314","12/10/22","6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","13/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass"," Other","4 Ground ","pass"
"A-L1P01","pass","pass","","","28/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.4","1","5.85","2.44","28/09/22","pass","200","pass","2500","pass","6500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57469","28/09/22","5.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","15","","pass"
"A-L1P02","pass","pass","","","28/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.5","1","7.44","3.10","28/09/22","pass","200","pass","4400","pass","3600","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57469","28/09/22","5.7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","2","","pass"
"A-L1P03","pass","pass","","","27/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.6","1","7.80","3.25","27/09/22","pass","200","pass","2500","pass","6500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57398","28/09/22","5.6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","15","","pass"
"A-L1P04","pass","pass","","","29/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.5","1","7.60","3.17","29/09/22","pass","200","pass","4400","pass","3600","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57623","30/09/22","6.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","04/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","1","","pass"
"A-L1P05","pass","pass","","","26/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","4.1","1","7.44","3.1","26/09/22","pass","200","pass","4450","pass","3600","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57366","27/09/22","3.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","28/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","9","","pass"
"A-L1P06","pass","pass","","","27/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.5","1","6.24","2.60","27/09/22","pass","200","pass","2000","pass","6500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57431","28/09/22","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","15","","pass"
"A-L1P07","pass","pass","","","27/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.6","1","5.16","2.15","27/09/22","pass","200","pass","4450","pass","3600","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57398","28/09/22","5.6","pass","pass","pass"," 50/20/200","","Yes","pass","pass","29/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","2","","pass"
"A-L1P08","pass","pass","","","29/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","4.2","1","6.24","2.60","29/09/22","pass","200","pass","2000","pass","6500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57563","29/09/22","5.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","30/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","15","","pass"
"A-L1P09","pass","pass","","","05/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.5","1","7.80","3.25","05/10/22","pass","200","pass","2500","pass","6500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57946","06/10/22","7.2","pass","pass","pass"," 50/20/200","","Yes","pass","pass","07/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","14","","pass"
"A-L1P10","pass","pass","","","07/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.1","1","7.44","3.10","07/10/22","pass","200","pass","4400","pass","3600","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","58051","07/10/22","5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","08/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","3","","pass"
"A-L1P11","pass","pass","","","29/09/22","pass","pass","pass","pass","Wall","","","Pinkenba","2.2","1","5.85","2.44","29/09/22","pass","200","pass","2500","pass","6500","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","57580","29/09/22","5.5","pass","pass","pass"," 50/20/200","","Yes","pass","pass","30/09/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","15","","pass"
"A-L1P12","pass","pass","","","06/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.1","1","7.60","3.17","06/10/22","pass","200","pass","4400","pass","3600","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57966","06/10/22","5.4","pass","pass","pass"," 50/20/200","","Yes","pass","pass","07/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","5","","pass"
"A-L1P20","pass","pass","","","05/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","4.4","1","3.27","1.36","05/10/22","pass","200","pass","2140","pass","3180","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57882","05/10/22","5.3","pass","pass","pass"," 50/20/200","","Yes","pass","pass","06/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","7","","pass"
"A-L1P21","pass","pass","","","04/10/22","pass","pass","pass","pass","Wall","","","Pinkenba","4.1","1","3.39","1.41","04/10/22","pass","200","pass","2260","pass","3140","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t",""," None","","pass","","pass","pass","Ausmix","","57843","05/10/22","6.8","pass","pass","pass"," 50/20/200","","Yes","pass","pass","06/10/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","11","","pass"
"A-L1P22","pass","pass","Mesh & Bar","","03/11/22","pass","pass","pass","pass","Wall","","","Pinkenba","1.3","1","7.53","3.14","02/11/2022","pass","200","pass","5000","pass","3300","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","pass","PSA liftMX 10t","","PSA liftMX 10t","","pass","","pass","pass","Ausmix","","59604","03/11/2022","7","pass","pass","pass"," 50/20/200","","Yes","pass","pass","04/11/22","pass","pass","pass","pass","pass","pass","pass","pass","","pass","pass","pass","pass","3","","pass"
