"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1dc4b90c-8fc5-4156-97fa-ef857007860f","","not-started","SNSW Maintenance - Lighting Audit - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Lighting Audit - Final check"
"b4210089-063b-4ae6-ae76-d83c9a8a6f34","","not-started","SNSW Maintenance - Distribution Board","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Distribution Board"
"3fd819b5-1006-4700-9354-def356640d97","","not-started","SNSW Maintenance - Distribution Board - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Distribution Board - Final check"
"330fcac7-6520-48f7-a85e-364cb966cef8","","not-started","SNSW Maintenance - Thermal Imagery","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Thermal Imagery"
"51f7ab29-249f-4865-afe1-629b42fd6fd9","","not-started","SNSW Maintenance - Thermal Imagery - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Thermal Imagery - Final check"
"7704d85a-1c10-4ef3-a911-e7c7fd5bb20e","","not-started","SNSW Maintenance - RCD Testing","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - RCD Testing"
"e4cecee9-4354-48e6-935b-95cb09655597","","not-started","SNSW Maintenance - Comms Rack","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Comms Rack"
"db41a50f-0694-4d53-a46c-9a23fcee9136","","not-started","SNSW Maintenance - Comms Rack - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Comms Rack - Final check"
"7d0a770f-4a93-4ce1-9af6-2b20105e1702","","no-status-not-started","SNSW Maintenance - Test and Tag","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Test and Tag"
"7406e582-5e5d-4e6b-9abc-472d6f4ca03f","","not-started","SNSW Maintenance - Test and Tag - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Test and Tag - Final check"
"8725609b-a18a-497f-bf44-6d0800b43ef0","","no-status-not-started","SNSW Maintenance - General maintenance","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - General maintenance"
"d667b481-b4a2-40ee-890e-836b3c5405c4","","not-started","SNSW Maintenance - General maintenance - Final check","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - General maintenance - Final check"
"2e9b5f2a-e4be-43f9-9da7-f29f72ca7d8c","","no-status-not-started","SNSW Maintenance - Additional Notes","checklist","FALSE","FALSE","Ballina Service Centre","SNSW Maintenance - Additional Notes"
"fae2323d-54bb-4de1-b58d-528b2aa7551a","","not-started","","folder","TRUE","FALSE","Bankstown Service Centre"
"ac273fed-1329-434a-8280-880a13bc21a7","","no-status-not-started","SNSW Maintenance - Building details","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Building details"
"02ef63f3-75ab-4566-a286-5fe82e08120a","","not-started","SNSW Maintenance - Site Information","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Site Information"
"13e1ccad-f629-47df-a244-838c5d5f2951","","not-started","SNSW Maintenance - Site information - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Site information - Final check"
"6f711093-7a7a-4b56-9f6e-cf1cdb8ce688","","not-started","SNSW Maintenance - Emergency Lighting","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Emergency Lighting"
"eaed1c73-6e18-4568-9f1e-37870c558689","","not-started","SNSW Maintenance - Emergency Lighting - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Emergency Lighting - Final check"
"2d7c3e95-808c-407b-86aa-cc77d6d1fd7e","","not-started","SNSW Maintenance - Lighting Audit","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Lighting Audit"
"001e1ac4-ff8b-4c62-9334-63880e833f19","","not-started","SNSW Maintenance - Lighting Audit - Final check","checklist","FALSE","FALSE","Bankstown Service Centre","SNSW Maintenance - Lighting Audit - Final check"
