"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e2feba77-4219-464d-b71c-afff05b8414e","","folder-normal","","","step","TRUE","FALSE","Switchboard"
"f4032266-254b-4c37-905e-c4a82b614c95","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-1"
"0e03a115-b7cf-4cc4-867b-6b2f0f844e8a","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-2"
"6a22c5c2-fc1c-4c27-8e51-90a37ae0cdea","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-3"
"448674c4-1783-46c6-a665-b14450424f23","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-4"
"21709807-bc07-4fff-b462-5385c02b539c","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-5"
"ddddc289-8d43-4f61-85ec-9389566bbfd4","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-6"
"f2c502dd-4ebe-48d6-9c0c-e7b42e0feea0","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-7"
"d51bcd81-a98f-44a8-a66f-d4cea879fa59","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-8"
"3a0506b2-7a8f-4493-befb-7a6be669888a","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-HB-9"
"c86cc608-0a78-43ba-8b8f-fa48160d97e2","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-CB-1"
"5b934d4b-1d36-42db-9c64-37bed8a1da4b","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-CB-2"
"7919b02f-8fa8-40ec-abee-20d5c6d75794","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-CB-3"
"bfb13636-b2c3-4718-a8da-b06eefb21195","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-CB-4"
"00cef6be-77ca-48ec-bfa5-e12f7047da71","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-CB-5"
"5e9715c2-507c-40f9-96ca-578f1cd5b93c","","checklist-flat","","Smoke Clearance Fans Checklist","checklist-flat","FALSE","FALSE","Smoke Clearance Fans","SEF-CB-6"
"dd9274a5-a422-42c6-9031-2ffcee19c6fe","","folder-normal","","","step","TRUE","FALSE","Stair Tunnel pressurisation"
"33af3cfd-e981-4fc0-9a55-d5682319e2b1","","checklist-flat","","Stair / Tunnel Pressurisation Checklist","checklist-flat","FALSE","FALSE","Stair Tunnel pressurisation","SPF-1"
"3f556fce-cc31-4a96-a339-ca35e2e97b70","","checklist-flat","","Stair / Tunnel Pressurisation Checklist","checklist-flat","FALSE","FALSE","Stair Tunnel pressurisation","SPF-2"
"31727740-2e69-4293-9b44-c25b623bf938","","checklist-flat","","Stair / Tunnel Pressurisation Checklist","checklist-flat","FALSE","FALSE","Stair Tunnel pressurisation","SPF-3"
"fce9740f-c9a1-4549-98d5-c3a17b62b374","","checklist-flat","","Stair / Tunnel Pressurisation Checklist","checklist-flat","FALSE","FALSE","Stair Tunnel pressurisation","SPF-4"
"e266a0c4-d1f4-45c9-bc1a-73fcf74bfb34","","folder-normal","","","step","TRUE","FALSE","Ventilation Fans"
"80a17807-978c-4623-acb8-aee7a8e96764","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","EAF-PC-1"
"0e7a6963-cf23-4b86-805b-57916479adcb","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","EAF-PC-2"
"381fd0f3-dfd5-4782-be25-a7973b6fe030","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","EAF-PC-3"
"cda290a3-62a4-4d90-abbe-64a2c81b296d","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","EAF-PC-4"
"9fa793e2-ec4d-4d18-a191-fc6ab1d45ee2","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-OA-G.1"
"4f479436-b015-45b4-b9db-17636e82a7cc","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-OA-1.1"
"efdc35fa-8cc2-4aef-ac24-7f1c08556b1b","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","GEF-OA-1.1"
"717c0b7e-bf49-4e3f-a5bf-49696f1e498d","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-OA-G.1"
"a27e5a99-cde6-44b7-9fa7-b55298637fb9","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-OA-1.1"
"5c258fb0-33a7-47c8-8a43-f9e6beb215a8","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-OA-1.2"
"b9aa9f66-6935-4c78-b891-93dc7822fced","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","GEF-WS-1"
"e6006a56-2648-42de-a7dc-d63c6f7ffecb","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","GEF-WS-2"
"8cce72af-80f4-48c3-8f78-6a3f60f663f6","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","GEF-WB-1"
"89fb4aef-66cb-4e86-b310-9f19298c8381","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","GEF-WB-2"
"8890c058-a753-4775-aee9-e864e0c08dba","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","GEF-WB-1"
"9c5dbedc-e5e8-4952-81a2-faeb56bcc1eb","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-DR-1"
"3bbc6b4b-46fa-4237-bd22-0176017cd9a2","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-DR-2"
"902801f7-d35b-4cb2-89b5-4f055f402e86","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-IT-1"
"4aba95c2-d4d4-46d3-8dac-f163f75db5e3","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-DC-1"
"333a8b4f-f71e-4c0a-bbc1-1a284098fd0f","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-DC-2"
"6a882ef8-de81-40fb-996f-4d5e66b5cc90","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-DO-1"
"3166f723-7b76-4ae9-8e9f-460bd04b7de9","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-DO-1"
"561d0ce9-6e6a-4e9a-8621-095a693b763f","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-RO-1"
"a8c557c6-9ee9-44a3-907c-db0533c17b4c","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-RO-1"
"8457d134-638e-4bc4-9183-0361222e5ad5","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-GHS-1"
"decba00a-9970-49e6-9c37-28b060607f56","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-GHS-1"
"7d581af3-12c5-4b44-934d-6f5cf1958d42","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-GHN-1"
"ce7371b2-3314-4dce-b680-4e29ad26f2a4","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-GHN-1"
"a457d55d-ee9b-4656-adf1-213ca902e326","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-GHN-2"
"0a3b5037-5d96-4ae0-9391-c3e802731aa5","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","SAF-EC-1A"
"0650d6d6-1ebb-494c-9165-40139afc290a","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","SAF-EC-1B"
"e65c2c31-c8ab-42a1-bc00-2ae27d5f7353","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","SAF-EC-2"
"f89481b0-48ed-4458-a46f-f61487644efa","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-TM-1"
"721cb826-6249-4be8-a97d-16cb36e0a322","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-TM-2"
"cfcc357b-4c58-49d8-8178-8f843d674c36","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-TM-1"
"74c1db0c-4685-4a31-bdf6-a2b0162b5774","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-TM-2"
"fcbad43d-04d2-44c7-adbb-e5e9ed341215","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","OAF-TM-3"
"87f3fe91-0822-4092-bb7f-a7d61af93fb5","","checklist-flat","","Ventilation Fans Checklist","checklist-flat","FALSE","FALSE","Ventilation Fans","TEF-TW-1"
"95c603f2-89ab-46ba-a2a1-dc37134bdbf9","","folder-normal","","","step","TRUE","FALSE","ERV / HRV Unit"
"3c521b3c-9084-482e-8375-2b12d33c6f48","","checklist-flat","","ERV / HRV Checklist","checklist-flat","FALSE","FALSE","ERV / HRV Unit","ERV-OA-1"
"9c6f71a6-f073-4ed6-933f-ddd7a90b7339","","folder-normal","","","step","TRUE","FALSE","Packaged Unit"
"03e45aea-e545-4a0d-8c17-6cd182dd8616","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-1"
"e1aa1eee-4769-473d-b22e-16b726475f8e","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-2"
"76b2a7c8-9b84-47cc-be98-ce0332e24768","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-3"
"d0f9452d-7c77-4cdd-bf50-9a5860d3e07b","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-4"
"584c5dc7-b963-43a7-abc1-6bdf4232d013","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-5"
"5ef8568f-fdec-4cd2-8189-f4472217a3d2","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-6"
"5db2e343-5211-47fb-88b6-676bf805df30","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-7"
"44ea6262-a851-490f-921f-723131ce56a2","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-8"
"2c20ef08-00a2-4440-8824-520b939dbcbb","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-CB-9"
"063cbce8-27c8-4a87-be01-356cf56c5747","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-1"
"da356e0c-ff13-4056-a894-3678a356f771","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-2"
"15326e5d-5669-42d9-96db-d9e030603ed0","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-3"
"215b63ee-f675-4738-ae85-46b58435f484","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-4"
"69d8d664-581f-41a7-b8b0-5ec8bf229e10","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-5"
"23c957f3-7a7d-416f-8df2-908c94af3343","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-6"
"bf9ec4b9-1f58-4c67-971f-e69652137d6b","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-7"
"78e1c89a-2416-4739-a6ec-0bc7c874f3e2","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-8"
"538a5b3a-c18c-4eba-aae4-c52133d33a5d","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-9"
"139bf8d2-b96a-4323-a4ff-7fe6685f6e65","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-10"
"3dfb8a08-9329-4aa5-86fc-dacd7a79a000","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-11"
"2b4469ec-902f-474e-b732-9b05928cdc00","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-12"
"9e69758b-a482-460d-a94c-2e5093c9ee15","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-13"
"564e5f2c-6d5f-4192-9362-77c18c293e97","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-14"
"ee25df61-cc4d-4610-8a5d-fe7424b503bd","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-15"
"729e068e-4b67-4a41-8fab-f52c79992e65","","checklist-flat","","PAC Units Checklist","checklist-flat","FALSE","FALSE","Packaged Unit","PAC-SP-16"
"51d01f4d-449a-457c-9634-98a3237afadb","","folder-normal","","","step","TRUE","FALSE","Air Handling Unit"
"7b5a600a-82f0-445c-8cce-158f4663ab44","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-1"
"584df809-5074-4fba-b122-c8b1f1ef00db","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-2"
"fa2e3fbe-7354-466a-9e10-56ef437927a1","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-3"
"9ad95107-9b19-47ed-9fee-c391b7d613d1","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-4"
"59623e2b-b840-49e6-86a8-bfe3aca595ac","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-5"
"5f34b787-616e-439c-9cd8-721b0b423700","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-6"
"0f766a57-dd91-4dcb-91c0-c8588206d10c","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-7"
"b18d370b-3ac5-48cf-9537-6d65a69a484e","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-8"
"27ebf6ff-37fd-4942-88ed-7e456e608aca","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-9"
"2f64a50d-bfcb-413f-9e8b-83cd6385c583","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-10"
"9cd47c48-cc0b-470b-9a9a-b8be01c338dc","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-11"
"58d562ba-c823-4996-8588-2e8fc46dd97b","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-12"
"184891da-259b-4d32-a5e4-13d206976bdd","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-13"
"1bb97dc9-3e15-457b-b4c4-4623bee27333","","checklist-flat","","AHU Checklist","checklist-flat","FALSE","FALSE","Air Handling Unit","AHU-HB-14"
"65b03ec1-c871-4dd8-adc0-e14b39bba4fa","","folder-normal","","","step","TRUE","FALSE","VRF / Split AC Unit"
"bc2a5874-f43e-4d02-997a-cc2d4162e097","","folder-normal","","","step","TRUE","FALSE","VRF / Split AC Unit","Operations"
"dd5a4b54-8fde-4e52-b2ee-d5c74b795062","","folder-normal","","","step","TRUE","FALSE","VRF / Split AC Unit","Operations","Ground Floor"
"cd1b450c-e757-4dee-8dc7-8ee2dd2506f9","","checklist-flat","","AC Condensor Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","CU-OA-1"
"9f8c4986-0f9a-4ff8-b8d7-c5a2cc24b992","","checklist-flat","","Branch Box Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","BB-OA-1"
"dbb891b6-721a-42af-9456-7985c52951d2","","checklist-flat","","FCU-AC Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","FCU-OA-G.1"
"5fb6c510-1d34-412f-8e00-d29f38639151","","checklist-flat","","FCU-AC Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","FCU-OA-G.2"
"2e2ab950-34ab-4241-af11-d30c46bfb723","","checklist-flat","","FCU-AC Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","AC-OA-G.3"
"d913a0d5-e1b9-4895-97b2-e0b1f26a98ce","","checklist-flat","","FCU-AC Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","AC-OA-G.4"
"64e63850-2649-4b18-b25d-f561fa45edde","","checklist-flat","","FCU-AC Checklist","checklist-flat","FALSE","FALSE","VRF / Split AC Unit","Operations","Ground Floor","FCU-OA-G.5"
