"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"598bc319-be28-44e6-9d4c-b39fc7f9dfce","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B29"
"8cec4c78-abcd-4782-81b9-3550065c5162","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B30"
"296f4d81-7493-4846-a149-88c01c4477b5","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B31"
"bba166f9-7057-4d1a-9699-dd0ebcef64b0","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B32"
"cc38f804-f903-4579-811e-3829ec90b5a3","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B33"
"28646df0-3c39-4cfa-bcc2-737818947eb6","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B34"
"6df2cc13-736c-4096-801c-327ea63d91a1","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B35"
"9019e847-1047-4bf3-a240-f613bdcc5728","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B36"
"cf9ccf57-8e1c-4587-9f09-eeaf13ec741d","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B37"
"12eb1dc2-56e8-4533-9794-0e1ec59eb146","","not-started","Checkers Checklist - Abutment Base - Type B","checklist","FALSE","FALSE","Checkers Checklist","Base-B38"
"3b887a8d-ec66-4af1-83d5-0b7fda1bd9d3","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-1"
"a680aa34-cfeb-4f37-90f7-0aad61477382","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-2"
"371c9bc3-6858-4bbb-8562-aa11149fb63a","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-3"
"9eb957ea-e314-4697-a370-4505a48b6bfa","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-4"
"54a37821-b4f1-4185-bd5f-1fbc0bb76f0a","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-5"
"2ccc9da9-3741-4572-af59-6018b420eb8a","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-6"
"b382c48c-a287-48a0-8eae-04d90686adf4","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-7"
"00d37e40-44f6-4d14-babb-99795177b2d2","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-8"
"c9919970-2cae-44ea-8cb8-70e8fbf3309a","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-9"
"f357f040-ec97-40e9-baf0-ad757e35560c","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-10"
"45660f92-5a0a-436e-817e-985f35bc3867","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-11"
"1bf07213-eecc-482e-9db6-6709e3bf685a","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-12"
"e8d9f4ab-9338-4566-8750-b8d073348a47","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-13"
"7078ccde-e860-4489-a7d2-44547b80b615","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-14"
"dd41ad2b-de76-481f-885b-fe65f1880967","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-15"
"d0953c86-72df-4ce8-b005-17c8916d6a25","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-16"
"4ddd2b13-f45d-4267-ac3f-144a4f35c536","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-17"
"f7b80a5b-c7ce-4e65-92df-47acb1100d5c","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-18"
"3bba01aa-29f3-4868-abab-b0eada323f3b","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-19"
"556943f6-c9f2-4244-83f9-72e558c6bc40","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-20"
"5009e2fd-feae-411c-8791-f524587b2ff0","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-21"
"6ce32395-ca04-4470-864e-a08f931325cd","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-22"
"c6010dc1-710a-4636-9923-1c6e1132d051","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-23"
"a3f1f8d6-a0ea-424a-97cc-5ad068bf1fbf","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-24"
"6aaf5fa2-ec37-43b2-b551-d2c8ceed4889","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-25"
"0f6bc3eb-ee4f-4270-a5f2-a8b1be27f65c","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-26"
"16b1ab96-5b8f-4499-9db5-daeae98b53ea","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-27"
"d929f54c-eb40-4974-9ccc-b99337a25ab8","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-28"
"3cc4b352-91e8-4928-ad93-254e30e87f88","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-29"
"c2163eaa-e553-42b3-99c7-85eeb8efae11","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-30"
"1317a57d-fef4-4b3c-9ff8-59dbb54de754","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-31"
"74789dac-cb28-457e-940e-ebaf0196e3e2","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-32"
"f6215b65-7fe3-41e2-b20d-1dbcaf238fb1","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-33"
"3ee46e89-d96b-4bf2-80c0-9b7b7c1c0e43","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-34"
"6ed2d7dc-9293-4041-b40c-09458e4175f2","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-35"
"ae9b874d-b5dd-44ed-8044-898a4e3b7c20","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-36"
"ea0687ff-9780-4870-891e-72e0ef76c7b0","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-37"
"03d32506-b591-45b4-b0a4-f104c93b29db","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-38"
"8acb6bf6-237e-4b8e-a5fd-3b225f6c1451","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-39"
"87490c29-9e0a-4ec2-bc58-b2766e4add75","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-40"
"149e1ad3-b222-4fd8-848a-fdabca510316","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-41"
"aea7c97f-c331-446a-a1b3-4cb9293b4fc7","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-42"
"8414e0bf-c748-4311-97ff-b65d3f822e3c","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-43"
"55aaef22-fcde-45fc-a1f7-6c708488efe8","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-44"
"891db6bb-a95d-4b73-afad-f71fedeed53d","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-45"
"a7d7ee08-7aa4-4da5-ba93-72b28d80dd82","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-46"
"e8bed817-5c3a-4a04-bae4-521500104795","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-47"
"02c21f5d-cced-4936-bc6c-428a8b429261","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-48"
"49c6e602-1c54-4481-9a8e-0eeba7bc51d1","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-49"
"d6d86f76-a74e-4045-b5fb-975135f3a27a","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-50"
"d990c076-dac5-41d8-8da9-e8773c8d3529","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-51"
"a10d7325-5af3-47de-a7d5-b620f7315ccd","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-52"
"0243dad6-3347-47af-ae02-a712e11b46ba","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-53"
"2970c1cc-b415-467b-82a2-18d86776d3f2","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-54"
"14371319-530e-4393-9021-ac1bcff9b936","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-55"
"8ca7c168-1c6f-476e-b727-629f30b2ee27","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-56"
"2cd9a46f-cb59-40ff-84d2-72af2746bb5c","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-57"
"e1caf758-1218-4551-ada6-9389c1223132","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-58"
"551c63cb-b1ad-44c6-893e-0a4f3a372883","","work-in-progress","Checkers Checklist - Type AB - Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","P-59"
