"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a9cb6af6-601b-4368-99ac-66b3f2d87225","","work-in-progress","","folder","TRUE","FALSE","Enabling Works"
"93cade8e-424b-4409-b1f2-ee857adda8d2","","work-in-progress","ITP-1005 - Installation of pipe from WCMH-2B to WCMH-2A","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1005 - WCMH 2B-2A"
"820c8840-5570-4ffa-ae25-4d6cf4b7e719","","work-in-progress","ITP-1006 - Installation of Manhole - WCMH-2A","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1006 - WCMH 2A"
"68d373a1-632e-4870-a79b-5902ad606bdd","","work-in-progress","ITP-1007 - Installation of Manhole - FSMH-A1","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1007- FSMH A1"
"dbffd4d7-279a-4d6d-89a7-5ea87230f14f","","work-in-progress","ITP-1008 - Installation of pipe from WCMH-2A to WCMH-1","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1008 - WCMH 2A-1"
"17ae9e0f-2e4b-4e46-998a-f2b35c9d7029","","work-in-progress","ITP-1009 - Installation of Manhole - WCMH-1","checklist","FALSE","FALSE","Zone 1","561466-DOW-ITP-1009 - WCMH 1"
"379a6e6f-8f87-4ead-bc2d-24b8a207ebdd","","work-in-progress","","folder","TRUE","FALSE","Zone 2"
"dc388972-b9ee-458a-b5ab-03c8d388e8f6","","work-in-progress","Installation of SW Manhole Zone 2","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2001 - WCMH 3B"
"dba32549-d1b8-4459-bafa-0c12c324bfe9","","work-in-progress","Installation of RCRRJ SW pipe - 750","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2002 - WCMH 3A-3B"
"a12b5fe5-e10c-4dd0-bcf6-32a78ccf4aa4","","work-in-progress","Installation of SW Manhole Zone 2","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2003 - WCMH 3A"
"1fc5d48a-81d7-4f3f-ab7a-cb2f8214cbe0","","not-started","Installation of PVC FS Pipe - 150","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2004 - FSMH A2 - A3"
"9e9721e4-f162-461b-a403-658f1f2e8cd7","","not-started","Installation of FSMH","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2005 - FSMH A3"
"dc58b950-a981-4f10-b39c-a191ecbaf269","","not-started","Installation of SW Manhole Zone 2","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2006 - WCMH 4"
"83bc8a13-eaf2-403b-acbb-d0d812cd18a5","","not-started","Installation of RCRRJ SW pipe - 750","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2007 - WCMH 3B-4"
"ba58c870-fd71-4753-9695-9ad1a88dfabb","","not-started","Installation of PVC FS Pipe - 150","checklist","FALSE","FALSE","Zone 2","561466-DOW-ITP-2008 - FSMH A3-A4"
"8da39b9e-a8d9-43be-83d8-f1bccdc0920d","","work-in-progress","","folder","TRUE","FALSE","Zone 3"
"92424d1c-4057-48c0-92ab-0c9c96a626bc","","work-in-progress","ITP-4003 - DN750 WC main WCMH-5 to WCMH-4","checklist","FALSE","FALSE","Zone 3","561466-DOW-ITP-4003 - WCMH 5-4"
"84c8e888-edda-4ab4-ae29-8b147854e947","","work-in-progress","","folder","TRUE","FALSE","Zone 4"
"cb42921c-17a2-4eac-a8d0-00d7fa65ecc6","","work-in-progress","ITP-4001 - Brick Barrel Corbel Connection","checklist","FALSE","FALSE","Zone 4","561466-DOW-ITP-4001 - Brick Barrel Corbel Connection"
"173e7572-cb6a-4d4c-a5e2-351f439e6735","","work-in-progress","ITP-4002 - WCMH-5","checklist","FALSE","FALSE","Zone 4","561466-DOW-ITP-4002 - WCMH 5"
"9df11b22-9025-4194-a698-512b0aab5aa1","","work-in-progress","","folder","TRUE","FALSE","Zone 5"
"eb6da076-9398-4abb-b673-0e411878e8aa","","not-started","ITP-0001 - DI Watermain","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-5001 - DI Watermain"
"8d0e90aa-f579-4af6-88cf-11ef0948ba46","","work-in-progress","ITP-0002 - PE Watermain","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-5002 - Ridermain"
"b6427188-6836-4938-b506-99027de0c1b7","","not-started","Installation of FSMH","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - FSMH A4"
"ba563bf5-ee6c-4d1b-88c5-dd7db4182f2b","","not-started","Installation of FSMH","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - FSMH A5"
"e4bd8a91-2c88-403e-b271-c15676bd84bc","","not-started","Installation of FSMH","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - FSMH A6"
"9459e311-0ced-4865-acfc-d44577181caa","","not-started","Installation of SW Manhole Zone 5","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - SWMH N1"
"e5c13131-f364-410b-b8cf-7fcc15a84562","","not-started","Installation of SW Manhole Zone 5","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - SWMH N2"
"b9da85b1-bf04-4985-ae11-e217f84a2261","","not-started","Installation of SW Manhole Zone 5","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - SWMH N3"
"0fe69a79-5a75-45ce-8b92-9a480eac76f5","","not-started","Installation of PVC SW pipe - 300 zone 5","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - WCMH 4-N1"
"b9e3ceaa-2f6b-4ffa-a100-adcabc747516","","not-started","Installation of PVC SW pipe - 300 zone 5","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - SWMH N1-N2"
"d9ae403f-bcba-4570-ae56-bf247c9aaa18","","not-started","Installation of PVC SW pipe - 300 zone 5","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - SWMH N2-N3"
"51f3428f-c491-47e7-9f4f-33648764f703","","not-started","Installation of PVC FS Pipe - 150","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - FSMH A3-A4"
"176435c9-76aa-4676-8a2e-5e7d7aa869a7","","not-started","Installation of PVC FS Pipe - 150","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - FSMH A4-A5"
"34b269ad-9142-45a5-b4f2-06283d8e16c6","","not-started","Installation of PVC FS Pipe - 150","checklist","FALSE","FALSE","Zone 5","561466-DOW-ITP-500X - FSMH A5-A6"
"d6f4962a-4d8d-4f22-8c69-5631b69d8fcb","","not-started","","folder","TRUE","FALSE","Zone 6"
"8c05fc47-cbfa-44e1-a6ef-00fc1d8279a8","","not-started","Installation of PVC SW pipe - 300 zone 6","checklist","FALSE","FALSE","Zone 6","561466-DOW-ITP-6001 - ALLY WAY"
