"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a66db6d-9b04-412b-b9a7-67e2c46deb01","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturing QA"
"677610a5-0ee6-4c8a-8df8-8f0ff2851f0f","Unsupported Children: folder-normal NCR Forms(9f38909a-e2ee-5860-86db-0769f92be85a)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 020"
"9f38909a-e2ee-5860-86db-0769f92be85a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 020","NCR Forms"
"a3d1f320-7030-42e0-a61f-d6d6156676ab","Unsupported Children: folder-normal NCR Forms(881b66f6-cddf-5a9f-9f30-8f576645f5ac)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 021"
"881b66f6-cddf-5a9f-9f30-8f576645f5ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 021","NCR Forms"
"d5ce8a7e-4248-4808-b2a4-d9f81dac78aa","Unsupported Children: folder-normal NCR Forms(2d768fca-6db6-5f51-abe8-8f1ec2ca8c77)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 022"
"2d768fca-6db6-5f51-abe8-8f1ec2ca8c77","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 022","NCR Forms"
"dab42526-5494-4dc7-a4fd-e24614f3e56a","Unsupported Children: folder-normal NCR Forms(f408abee-a16b-572a-9c97-c46eafe7d447)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 023"
"f408abee-a16b-572a-9c97-c46eafe7d447","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 023","NCR Forms"
"df1c93fb-450d-45de-94fc-1e2613cf5697","Unsupported Children: folder-normal NCR Forms(a40d9fe1-e023-5242-aed3-1dd9213f0499)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 024"
"a40d9fe1-e023-5242-aed3-1dd9213f0499","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 024","NCR Forms"
"e63313ea-6db1-4612-b5ab-bf39c8681976","Unsupported Children: folder-normal NCR Forms(1502d716-b47c-5728-b4ae-22d116fefc8c)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 025"
"1502d716-b47c-5728-b4ae-22d116fefc8c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 025","NCR Forms"
"e92bb23e-8f84-47ce-ac0b-fed72b09740d","Unsupported Children: folder-normal NCR Forms(1afff2e7-3fed-58bb-a6c7-53dfd62ccaac)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 026"
"1afff2e7-3fed-58bb-a6c7-53dfd62ccaac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 026","NCR Forms"
"6b9cf5c7-2a5e-4e3d-a15f-80c2416d3bae","Unsupported Children: folder-normal NCR Forms(746a7541-3a49-51c0-b125-9d553e977988)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 027"
"746a7541-3a49-51c0-b125-9d553e977988","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 027","NCR Forms"
"689b693a-534e-48a3-943b-e1b6893c508a","Unsupported Children: folder-normal NCR Forms(df6834b7-62f5-584b-a37b-21c429f7c3a9)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 028"
"df6834b7-62f5-584b-a37b-21c429f7c3a9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 028","NCR Forms"
"6b30921b-5e6b-47c6-88b5-db14b8e23393","Unsupported Children: folder-normal NCR Forms(98b818c7-a6a3-5966-83f9-1ba2913cb21a)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 029"
"98b818c7-a6a3-5966-83f9-1ba2913cb21a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 029","NCR Forms"
"58a144c6-51b4-4e8a-bb77-71c7e416871e","Unsupported Children: folder-normal NCR Forms(cfbea7ab-fd8a-594e-8a7d-7a8855498f4a)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 030"
"cfbea7ab-fd8a-594e-8a7d-7a8855498f4a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 030","NCR Forms"
"8c12d9a9-4c30-4d59-9595-437b8116f6ae","Unsupported Children: folder-normal NCR Forms(43dfa2ce-0609-578c-8899-22a05d7781d5)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 031"
"43dfa2ce-0609-578c-8899-22a05d7781d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 031","NCR Forms"
"c4602916-5c64-4243-a9a8-53ab6fccc929","Unsupported Children: folder-normal NCR Forms(edbffaa6-a2da-5f13-9969-9420981ea86d)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 032"
"edbffaa6-a2da-5f13-9969-9420981ea86d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 032","NCR Forms"
"5c487761-1216-454a-95fb-98ed754dd409","Unsupported Children: folder-normal NCR Forms(bd873510-03ad-54c9-88cd-a8f7086a2e84)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 033"
"bd873510-03ad-54c9-88cd-a8f7086a2e84","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 033","NCR Forms"
"563e467a-16d0-4d38-9073-aacf6b2daf55","Unsupported Children: folder-normal NCR Forms(0a26feeb-7b13-58e3-a8eb-c0c007467a8b)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 034"
"0a26feeb-7b13-58e3-a8eb-c0c007467a8b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 034","NCR Forms"
"485a6238-b89e-429b-880e-1ef57b41caf5","Unsupported Children: folder-normal NCR Forms(c83aaef8-5645-5ed3-830e-28726e4ff4bb)","checklist-sectioned","not-started","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","K 035"
"c83aaef8-5645-5ed3-830e-28726e4ff4bb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","K 035","NCR Forms"
"7d7376c0-329b-4726-bcd7-778fcd429c58","Unsupported Children: folder-normal NCR Forms(3d6e68b3-728a-5885-929e-7243c3bd4fe7)","checklist-sectioned","work-in-progress","Precast Product Pre-Pour & Post-Pour Checklist","checklist","FALSE","FALSE","Manufacturing QA","C02"
"3d6e68b3-728a-5885-929e-7243c3bd4fe7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Manufacturing QA","C02","NCR Forms"
"dc7671a9-ac2f-426f-b675-785262090f34","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"e71fb567-f8e6-4d56-b34a-755e5ee96f56","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","Mains Drawings"
"abe45e37-e50a-45be-b814-f65d1bbe6409","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","Shop Drawings"
"39772fb6-1385-40c5-995b-b709562835d0","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 001"
"e1637c61-a310-45c2-807f-0b16586f09b0","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 002"
"80f40416-755c-47db-a428-33699d7a48b4","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 003"
"c663a399-b625-4ece-b16d-a31144fd470d","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 004"
"d7a275ea-af7a-4001-a5f5-f4e079cec920","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 005"
"cd8f9178-e7b1-4ec4-9fad-1f40de5b9e0e","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 006"
"0c7216f3-3796-459b-ba22-06b7161382b4","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 007"
"631b49fd-df2b-43b5-9501-9b81ba8ef24a","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 008"
"61602598-8e49-45fa-b1eb-6bce70f63e64","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 009"
"d48dcad7-b92a-4e80-bf12-53b864a8fce1","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 010"
"3e8745cb-15e8-45bb-80c6-fdd2df7658a1","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 011"
"b95d717c-f787-4ad5-b118-ec1df140613b","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 012"
"47de6a80-c4f8-449d-9973-3784bb6ea6c8","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 013"
"8c2c2a19-9af2-4b45-a24d-e6dd51e89720","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 014"
"40355209-6d26-4c09-8d73-47860b93d03f","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 015"
"ad63cea5-0098-44df-8a35-5f6fd9a3839b","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 016"
"6b2f960c-87b7-4d33-8825-d613d4b31902","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 017"
"1b59bc56-fb72-4199-be2c-4849dc1f2162","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 018"
"3ecbcca2-a08f-461f-b730-11365d7107de","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 019"
"a17c7a20-facb-4571-bfcc-45a617b8fdfe","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 020"
"a1ec75d4-7c15-41aa-8c80-49b06df42a17","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 021"
"dab16dca-be64-4f88-a374-6883f9a7c7bb","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 022"
"71cda4e0-5267-4ab3-a908-f8e1c0639e26","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 023"
"6a690421-423a-418e-ab37-25bf0ba47ab3","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 024"
"1c7fa285-8974-4d76-848f-b11624963839","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 025"
"4873f120-c541-4e13-a9c9-dd69fbf161aa","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 026"
"2d81f0e7-9d30-4ed8-b47e-1cf45c992142","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 027"
"217aff37-f13f-4f6c-84a6-104ad6e84d28","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 028"
"590a39cf-8e4a-4dc2-abe4-81183a72d25d","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 029"
"c27f78c1-00cb-429c-a68b-a9c3ebb975cd","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 030"
"9010a40a-4c4b-4e50-ac20-dcd3ea03b674","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 031"
"b3455fc3-8078-4422-9d9f-0fcb1451714f","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 032"
"0f15b481-5b00-49ec-a338-8211d58f84bc","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 033"
"cf872977-995c-45d8-8c5a-4477eb26e018","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 034"
"aa258d5d-48dc-409b-bf52-064abd224047","","checklist-flat","not-started","Site QA","checklist-flat","FALSE","FALSE","Site QA","K 035"
