"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fcd7a7cd-6fcf-425a-be28-e2a6138f4004","","checklist-flat","not-started","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas","Craft","Skirtings & Architraves"
"a1e18aa9-eefa-41e3-8d36-50bdd80dc376","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas","Library"
"4b0bef10-7a6c-4eeb-9f38-bea9e78816b0","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas","Library","Nogs"
"c3aa9100-4c0e-41b8-b821-037aeb691655","","checklist-flat","not-started","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Ground Floor","Area 2","Common Areas","Library","Skirtings & Architraves"
"2b733dd8-05d0-48f5-9254-b2fa38ea474f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 3"
"7627f3ff-3d5b-443c-8c7e-949c63f1e73d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 4"
"180ca781-aeb7-49f2-a147-81bb8a2cdbef","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B01","Fitout","Ground Floor","Area 5"
"67620989-23a7-449f-ba2e-2e5e2fbf56f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Fitout","Level 1"
"4a95b68b-96b0-4ae3-9b77-6cd4c92ca6be","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1"
"1787afbf-5bf5-4cdc-a9f0-0d3248ed4869","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)"
"93f6b91b-1e9f-4ce2-b506-c5e4fbe0f243","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1059"
"fbc62f16-94a3-49df-9ec7-aa5393511985","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1059","Nogs"
"8873aedc-a1da-4be0-8298-03cd86e89245","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1059","Cavity Sliders"
"4415e7af-fe2e-4158-96b8-4d54bea70472","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1059","Skirtings & Architraves"
"e5430041-57c3-41b7-93e9-814ff597c239","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1057"
"68767ba5-7b30-455b-9661-0da786882a27","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1057","Nogs"
"9cb7af25-42e0-4fff-9b25-063ef50f0243","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1057","Cavity Sliders"
"739369af-4bef-438c-aa81-cf1b5b92c2b4","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1057","Skirtings & Architraves"
"53544921-f434-48f0-a706-9cbfbeca61f0","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1051"
"b6079490-d0a8-455a-b358-48b1af2c1e37","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1051","Nogs"
"a1013070-dd36-44c2-872c-d57de25b17b4","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1051","Cavity Sliders"
"abc59b4a-c932-4be6-b380-bdf03372690b","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1051","Skirtings & Architraves"
"375a2a2a-8360-4fe1-ac38-8efca7f5aab5","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1052"
"4f5eb36e-83d0-4aaa-abcc-529728437c8f","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1052","Nogs"
"7a8c138d-a26e-4b0a-9bc5-c06d96d7f95c","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1052","Cavity Sliders"
"a31a8a00-4d78-47b3-bbe0-1e5699811b55","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1052","Skirtings & Architraves"
"e8a1405b-feae-4ac1-a25d-004447e3a11d","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1053"
"69356098-c38d-4bee-a2a1-756ca3cad550","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1053","Nogs"
"b8a37993-c74c-4242-b915-a44fc1f7dcbc","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1053","Cavity Sliders"
"70efe77e-76be-4772-89fb-8b9e8b5293bb","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1053","Skirtings & Architraves"
"8230fb48-7f8e-4955-9b88-410cf3f7ffdd","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1054"
"f6f548a4-6b1f-4fa9-ae65-220c4b1a8119","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1054","Nogs"
"aa6077e4-7145-49aa-a1cc-baa866132b6d","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1054","Cavity Sliders"
"6fff214a-973b-4f1f-a548-6fa0b1e2d237","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1054","Skirtings & Architraves"
"cd5aa1ba-dbd9-49a1-bd3d-ea16ad89a482","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1055"
"9d34ba4a-b600-42ed-ae96-223deedb7334","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1055","Nogs"
"c5480aba-c613-47d3-9e0d-bf9d01a1a542","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1055","Cavity Sliders"
"1131459e-3edf-4758-be8f-0f5c709b0785","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1055","Skirtings & Architraves"
"60c770aa-c504-4fab-bd34-f6b42e0be320","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1056"
"a3c122e0-7f36-4ebc-8669-c31cfa46a18d","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1056","Nogs"
"23a3fdab-62aa-4c92-b5ba-449111eb80c9","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1056","Cavity Sliders"
"b9d9aed8-e4aa-46c9-afd4-4981c3962cdb","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1056","Skirtings & Architraves"
"7911ba1a-d845-4f36-ac98-628e3f3495df","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1058"
"672548ec-f993-40a5-8900-ace28948ba18","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1058","Nogs"
"fef0e8e7-c652-484b-b102-c09e4d461326","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1058","Cavity Sliders"
"a05c90c1-483f-4dc1-b276-65b7f65dd75d","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 1","Apartments (ALS)","1058","Skirtings & Architraves"
"608d6553-ac46-493b-a628-8aa58be5eeda","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2"
"4eaa351c-7b7a-443b-8002-d2f3afc8d72b","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)"
"a62026f5-bfda-4891-a251-b028524dfaeb","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1060"
"d0578dd5-b168-4ee9-a4aa-9d33524ee2c8","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1060","Nogs"
"a83ca466-87dc-4d0a-85b9-acfc142f3ccd","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1060","Cavity Sliders"
"9613f07f-2983-438c-85cf-5a217c6cb4d7","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1060","Skirtings & Architraves"
"23de3bf9-2ac5-40db-abaf-3e8242553d21","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1061"
"82aac5a0-6b67-47ce-a989-260aa8c70f6b","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1061","Nogs"
"6db9212a-5172-4dd9-becf-770558d8e013","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1061","Cavity Sliders"
"49bb2887-dc57-4e2d-b754-b48c2cc8fa45","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1061","Skirtings & Architraves"
"7b743f26-417d-4d5e-824e-d139d61aebba","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1062"
"b7b39f45-0fb8-43c3-82b4-2d44dd099fa8","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1062","Nogs"
"d7667d88-5fdc-4960-a373-d4a1b2c75fca","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1062","Cavity Sliders"
"38412ad2-d3cf-48f0-97cf-b4ffbd8d61c3","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1062","Skirtings & Architraves"
"f698d283-ad9c-46a9-b00b-757f77142c28","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1063"
"70ca6429-6677-45a6-a7d3-aaea20733314","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1063","Nogs"
"453eb5df-6c0c-4b91-86b4-35436df3a26d","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1063","Cavity Sliders"
"8ef3b642-e5f1-44d9-bbff-0ba96c4f627a","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1063","Skirtings & Architraves"
"1fe58909-ea4b-4c9f-a27d-4973b912af0b","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1064"
"08443e51-b558-43c0-b151-0cba505aa09b","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1064","Nogs"
"22e48364-756d-4285-9179-6e7adb29926c","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1064","Cavity Sliders"
"adf77f31-30ee-47e1-830e-5a45f680d5a0","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1064","Skirtings & Architraves"
"e99adac0-7c3f-4589-b13f-bbe07753509b","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1065"
"75b03835-165b-42e0-9465-1ee6c6f316e7","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1065","Nogs"
"b5e875b3-02dc-4d79-a25d-941faf86a0e2","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1065","Cavity Sliders"
"c4e5f688-d6c0-4e06-a6f2-4700444a94ef","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1065","Skirtings & Architraves"
"df37f962-28dd-4a41-b23e-044691084fa5","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1066"
"80f007f5-4265-42bc-a61b-29b6127ce47d","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1066","Nogs"
"929c70b6-a7bc-41cb-a8e2-7a6a5614ada6","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1066","Cavity Sliders"
"ee51ff17-5513-44b2-b705-5a237fb47ebc","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1066","Skirtings & Architraves"
"2167ede6-6cae-4d6f-9d56-0a9c0f348e1e","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1067"
"f50b2c69-75dc-4e10-8d18-c5344ed05e9a","","checklist-sectioned","pass","PRE - S - Nogs","checklist","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1067","Nogs"
"22a92dbd-4912-4a79-9cf7-03bf6e8cbdf4","","checklist-flat","pass","POST - S - Internal door installation","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1067","Cavity Sliders"
"08bb95ad-f982-40f8-b70f-c5ab6755b210","","checklist-flat","pass","POST - S - Skirting/ Architraves & Trims","checklist-flat","FALSE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1067","Skirtings & Architraves"
"ca96c23d-8ec4-44fd-8088-af9cdb5d4b73","","folder-normal","pass","","step","TRUE","FALSE","B01","Fitout","Level 1","Area 2","Apartments (ALS)","1068"
