"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15912d0a-1cff-4a33-b74d-478866d16264","","folder-normal","fail","","step","TRUE","FALSE","November 6-10, 2023"
"04bf84dd-30a3-4080-9fb6-5c1b892a843b","","checklist-sectioned","not-started","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","December 4-8, 2023","Monday"
"d6ed04ba-087f-4f57-963c-7d695708df5a","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 4-8, 2023","Tuesday"
"350b0b0d-f83a-4661-bda6-839d4cf04bfd","","checklist-sectioned","not-started","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","December 4-8, 2023","Wednesday"
"fc71b256-1ff2-467f-ae3e-e547a5056bf9","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","December 4-8, 2023","Thursday"
"01a9a9d9-9aab-49af-9e68-d849a8d0053c","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 4-8, 2023","Friday"
"db6d6c6b-a593-40f4-a024-a6320f4dde0e","","folder-normal","not-started","","step","TRUE","FALSE","December 11-15, 2023"
"da6cf122-d607-4174-9756-8d2f2b047cbd","","checklist-sectioned","not-started","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","December 11-15, 2023","Monday"
"6ff76be1-bf71-4085-8933-2cf5754fb731","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 11-15, 2023","Tuesday"
"965d655a-534b-4eb5-895a-e228bdf2ff0f","","checklist-sectioned","not-started","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","December 11-15, 2023","Wednesday"
"6194b098-f037-4a42-babe-7ef78cc25997","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","December 11-15, 2023","Thursday"
"b3c87cb8-9af3-4716-bd74-abc9087c909a","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 11-15, 2023","Friday"
"4ea9371d-22e8-43ba-bc78-38914dc755dc","","folder-normal","not-started","","step","TRUE","FALSE","December 18-22, 2023"
"059ba920-e8b9-444e-8b4d-8dd1b6432d3b","","checklist-sectioned","not-started","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","December 18-22, 2023","Monday"
"4e043ba0-4076-4c99-a176-44a11d1dc22e","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 18-22, 2023","Tuesday"
"9f25b767-e86d-4393-9dcd-3df66c397606","","checklist-sectioned","not-started","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","December 18-22, 2023","Wednesday"
"913bc052-2a00-4d3e-89ba-4dacfae359a0","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","December 18-22, 2023","Thursday"
"5d0f50a9-4234-4d2f-b36e-067715a9685d","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 18-22, 2023","Friday"
"4f4a59f2-2ba4-4bc1-af0a-4880f5a43df8","","folder-normal","not-started","","step","TRUE","FALSE","December 25-29, 2023"
"07c8be09-03e3-48a4-b7a3-9b3a345d555d","","checklist-sectioned","not-started","Project Management/Staff Checks - Monday","checklist","FALSE","FALSE","December 25-29, 2023","Monday"
"4398b4c0-3a91-4ba3-a908-5e530873ba5a","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 25-29, 2023","Tuesday"
"d686b037-ced0-4910-beb2-d4632716a597","","checklist-sectioned","not-started","Project Management/Staff Checks - Wednesday","checklist","FALSE","FALSE","December 25-29, 2023","Wednesday"
"13c40199-4321-4c0d-9456-0f36af904a34","","checklist-sectioned","not-started","Project Management/Staff Checks - Thursday","checklist","FALSE","FALSE","December 25-29, 2023","Thursday"
"5c339a88-2f6e-4b7d-af33-64a3b70886e1","","checklist-sectioned","not-started","Project Management/Staff Checks - Friday","checklist","FALSE","FALSE","December 25-29, 2023","Friday"
"375e82cd-cf5d-425d-97d6-535f49b331ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager"
"e2fb509d-5208-4512-814e-893172415f46","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager","Jonty Jones"
"bacc9d69-473a-4e9c-9193-272053e92f8b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager","Jonty Jones","November 20-24, 2023"
"8d28a6cb-de55-49a7-b4fb-ec87678aed79","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager","Terence Bester"
"b8988abf-5a1b-479c-b8a5-506453aeae49","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager","Tony Nienow"
"069157cc-1e79-43d7-bea0-201d784a7614","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager","Mark Cocker"
"e4a5d9d1-cecd-44d7-b7a7-d8c79235c813","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Manager","Dave Theobald"
"35177101-c38f-4780-91fd-5d018fafec98","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Operations Manager"
