"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6fec1b9-8fb7-40a3-a9e4-f5969b7dd333","","fail","","folder","TRUE","FALSE","Site QA"
"2710b5d9-ffe9-4288-b9a5-c35696076a3c","","fail","","folder","TRUE","FALSE","Site QA","Structural"
"1f26255e-5b21-47cc-8d17-bef75cdd51da","","fail","","folder","TRUE","FALSE","Site QA","Structural","Level 14"
"8b1eb665-dbf1-414b-819f-1c9e68bdf429","","fail","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 1"
"d438afff-4870-4068-90a5-58e1cdc8c5d3","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 6","PT Slabs"
"111de9e9-db92-41ee-b47a-56d8d78fe4c9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 7"
"e9d369ba-139a-4511-a18a-d923a754c48b","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 7","Columns/Shear Walls"
"11485a2f-7332-4f8f-b724-9bbea599a7e2","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 7","PT Slabs"
"2e7c96a4-46c6-41a0-b55c-ed1d76a027c1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 8"
"9c21a772-be51-4d8b-bbcb-a36c29be6177","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 8","Columns/Shear Walls"
"d166eb17-96cf-4c64-9636-4433399376c8","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 8","PT Slabs"
"7ffbca2d-893d-4812-8a9c-eedc0d1d4cce","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 9"
"9681260f-bb74-4484-bc97-87002f1d4ace","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 9","Columns/Shear Walls"
"e19e75df-ec48-4086-8a99-5e1ceae5dfb6","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 9","PT Slabs"
"4577655a-0b9b-43f2-83e7-c814fd93ff63","","not-started","","folder","TRUE","FALSE","Site QA","Structural","Level 14","Pour 10"
"f1e622d2-6df7-423d-b4a6-887578fc6afb","","not-started","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 14","Pour 10","PT Slabs"
"96f13630-04ca-445b-ae60-295442712180","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 15"
"be2341ad-e0cb-4db2-9ee9-eb84251defc9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 15","Pour 1"
"d04a0c36-fac2-4a4d-a1ff-3be10719eb26","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 15","Pour 1","Columns/Shear Walls"
"af62cf07-3ca6-4185-b29b-c56f51d7c7c0","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 15","Pour 1","PT Slabs"
"5ea0a0d3-d632-4bd6-b247-0873f330d4ad","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 15","Pour 1","Stairs (stairmaster)"
"834925be-9547-4008-b705-17dd1e0262c2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 15","Pour 2"
"043bd0d2-f5f9-4fc7-b9af-fcdbaa72bd56","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 15","Pour 2","Columns/Shear Walls"
"c071ad0e-5540-43cb-9b16-e9f22eedcbda","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 15","Pour 2","PT Slabs"
"f791db05-c10f-43b8-9ba6-96e680df8efb","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 16"
"2fa3ca40-2149-4d94-a57e-99c3c6b2a930","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 16","Pour 1"
"7c8a8de6-4127-4488-9e5d-0079485804df","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 16","Pour 1","Columns/Shear Walls"
"5f53b676-1eba-4623-8eff-9efc6412b91f","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 16","Pour 1","PT Slabs"
"6df969f2-86c0-4e7f-bc43-58b57db59da2","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 16","Pour 1","Stairs (stairmaster)"
"f7277857-2752-44d3-9416-e6d42c426b0a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 16","Pour 2"
"75a7f321-beab-45d6-82f1-0139d937f8ea","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 16","Pour 2","Columns/Shear Walls"
"6a30bcd2-5391-4ae8-a648-1d18e3ef686c","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 16","Pour 2","PT Slabs"
"a434e906-eae7-410a-9c63-f0e38da35b5d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 17"
"f32285ff-f159-4b80-a80f-f7dffcba1f03","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 17","Pour 1"
"e2dfdb0c-7772-42c6-bfc5-11ce6d6f952b","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 17","Pour 1","Columns/Shear Walls"
"c7f1619b-cd9c-45d8-ae04-8fec36c8804e","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 17","Pour 1","PT Slabs"
"b82980ce-6eb7-4174-b5e4-4fab6972de52","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 17","Pour 1","Stairs (stairmaster)"
"8994ec9e-4172-421a-ba08-c554403f1720","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 17","Pour 2"
"14ec196b-ee6d-46d3-927b-68147eff6ecf","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 17","Pour 2","Columns/Shear Walls"
"23203e14-889b-45c3-90c3-078a7a45946f","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 17","Pour 2","PT Slabs"
"f2d64117-67f1-47c3-b373-e9e461392c4c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 18"
"c1f5e820-d8f6-4520-8152-b43cf2793aec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 18","Pour 1"
"af97572f-a762-4ba1-ac0a-e484a4dbd97f","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 18","Pour 1","Columns/Shear Walls"
"84a0c08f-48d9-47a2-b952-2882f6814d4e","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 18","Pour 1","PT Slabs"
"63e83106-1eb8-413d-8c33-599655d72c48","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 18","Pour 1","Stairs (stairmaster)"
"33740b3e-eceb-4691-b8d6-dc95fd1197aa","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 18","Pour 2"
"874c5fff-6e8c-4be5-b092-9664ee55f476","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 18","Pour 2","Columns/Shear Walls"
"21498f3b-7cbb-4d69-b845-dc52a3da8528","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 18","Pour 2","PT Slabs"
"776835ed-446b-4b3f-bd5c-ae43a5779e77","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 19"
"1befb9e9-2a39-4a80-ad40-19049e4e98e2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 19","Pour 1"
"c9119c11-e40c-4a81-ab9b-eeca7cf3629c","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 19","Pour 1","Columns/Shear Walls"
"05292d06-ef15-4a44-a324-16cb34a15feb","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 19","Pour 1","PT Slabs"
"8e476e9d-1540-48be-9056-e9dcfedc31ab","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 19","Pour 1","Stairs (stairmaster)"
"b9a6ee6a-d12d-4b25-b527-5f56611fd58a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 19","Pour 2"
"360b921b-1a21-4e39-9ea9-2d608dc47860","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 19","Pour 2","Columns/Shear Walls"
"13f28a23-d693-4a87-a5cc-a818d869f1c1","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 19","Pour 2","PT Slabs"
"1569ee23-b1b5-4126-9cf1-b47ec4a8da31","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 20"
"fc0e080a-dfd1-4e7e-a697-d3598aac4cdf","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 20","Pour 1"
"0061f5f0-f5a9-490a-9745-3f34798d9020","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 20","Pour 1","Columns/Shear Walls"
"a9153fa6-e979-4f4e-b380-471600f2a550","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 20","Pour 1","PT Slabs"
"d1bb100b-fca9-43dd-9a24-32aff36c5d0b","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 20","Pour 1","Stairs (stairmaster)"
"c16ee714-e1b3-4dfa-964d-764356fffda7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 20","Pour 2"
"2d5ae571-e8c1-4c49-b315-70cbce251e2c","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 20","Pour 2","Columns/Shear Walls"
"828ce923-4919-4918-ad6a-c1babc9b6189","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 20","Pour 2","PT Slabs"
"86195963-6360-4689-9009-e1bdbe7bb517","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 21"
"8e82b1c1-8d75-4907-95e9-bddd918599d2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 21","Pour 1"
"a1ccdce8-4b2a-430e-aed1-b5e702393afb","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 21","Pour 1","Columns/Shear Walls"
"a0d0a6ea-c4ab-4916-a4ef-d9f82531a9fb","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 21","Pour 1","PT Slabs"
"5521c1ed-b5fc-4f49-8b5a-7af167077471","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 21","Pour 1","Stairs (stairmaster)"
"cb545503-f817-410b-81c0-239c42af1293","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 21","Pour 2"
"271c2fbf-0eaf-47e0-a57d-791075b9c13b","","work-in-progress","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 21","Pour 2","Columns/Shear Walls"
"c299ca5b-607a-4050-9307-36e5dd3d0497","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 21","Pour 2","PT Slabs"
"bc2ca02d-aea0-4e6d-bb60-f4d35472324c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 22"
"153c9431-fced-4e3e-a90b-dbba0bc8845b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 22","Pour 1"
"b3d22ffc-9efe-4e10-97e4-0243e0031ea6","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 22","Pour 1","Columns/Shear Walls"
"c2643d02-a434-41cc-8be1-efdc55c9f2b5","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 22","Pour 1","PT Slabs"
"5386875a-67da-4869-a070-1f33eca57367","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 22","Pour 1","Stairs (stairmaster)"
"5aa39e2c-d989-4bb5-ae58-71c13224c7f3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 22","Pour 2"
"728ee41a-ba51-47d9-8cf1-2fcbb8df3fb6","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 22","Pour 2","Columns/Shear Walls"
"820767ae-3b3f-46ee-aa3a-0e92ca15fa17","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 22","Pour 2","PT Slabs"
"64f133e9-663c-4f4d-b086-1354ce4c371c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 23"
"756e33e7-8540-47f2-8367-2e99dd9ae427","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 23","Pour 1"
"6ebb47ac-e9f2-4702-b834-3d227cb488e8","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 23","Pour 1","Columns/Shear Walls"
"5d2d7d01-68b8-4610-abff-690364c321de","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 23","Pour 1","PT Slabs"
"e9c203bb-caa8-4ec1-8288-2dbca49a9c55","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 23","Pour 1","Stairs (stairmaster)"
"4372a25d-f6b8-4d43-bbf0-7ca7c3f1df51","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 23","Pour 2"
"ea7a7fb3-e970-4d68-bdd0-833aac6f8ba4","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 23","Pour 2","Columns/Shear Walls"
"714f5d94-56e1-4529-9003-ef8f997eef87","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 23","Pour 2","PT Slabs"
"b3f34c1e-dc46-4aab-91ad-d03b938e0f38","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 24"
"cc9d2539-7872-48e3-bf47-a51556a6fa72","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 24","Pour 1"
"2ecbd639-5818-4f06-9992-2a8d2ac1f10b","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 24","Pour 1","Columns/Shear Walls"
"b39bdade-5946-4f21-90fb-cc95bdff3e41","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 24","Pour 1","PT Slabs"
"23217d76-22b2-45f7-a355-92695e9e548a","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 24","Pour 1","Stairs (stairmaster)"
"a525b64a-537e-4a9f-bf3f-2fa11a272c82","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 24","Pour 2"
"98c1d0b6-ad8a-4770-895c-aeb2ca912a9c","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 24","Pour 2","Columns/Shear Walls"
"a3718adf-cded-4e66-a8ca-1c294d6746c8","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 24","Pour 2","PT Slabs"
"7f3227a6-7143-465b-a09c-50b7a2a53f3c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 25"
"546ea64e-de37-4e6f-be37-7b9f066dceee","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 25","Pour 1"
"9146ee71-4b39-411f-a081-1fc1109fdcc1","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 25","Pour 1","Columns/Shear Walls"
"86256a5c-e908-48a9-b1ac-082755084e3c","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 25","Pour 1","PT Slabs"
"1c94d242-bb61-435b-aeb4-810fbbc40880","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 25","Pour 1","Stairs (stairmaster)"
"d47b3293-4f19-4eea-9cc7-287f521c8bf3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 25","Pour 2"
"386125dc-f0b2-4a76-bc8e-816957339333","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 25","Pour 2","Columns/Shear Walls"
"0df4d0e4-6698-4760-9b25-11a3d592d36e","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 25","Pour 2","PT Slabs"
"912acbe0-16d0-403c-a2ef-6b1a9fdccb7c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 26"
"61503584-274b-4e32-83d3-eeee0e1dceb8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 26","Pour 1"
"dd514cac-9aed-4e52-95fb-fade160d77b4","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 26","Pour 1","Columns/Shear Walls"
"7c05222a-60fe-426c-9331-5ffcd674a2b0","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 26","Pour 1","PT Slabs"
"0844cdc2-d537-4e8a-b057-8e4e2661a1cc","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 26","Pour 1","Stairs (stairmaster)"
"0e1c445a-ad5f-4d54-998f-a624d2adf037","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 26","Pour 2"
"c32d4d0e-b084-431c-851f-216f5335c606","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 26","Pour 2","Columns/Shear Walls"
"08e672e0-974d-43fe-9370-309e0d723696","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 26","Pour 2","PT Slabs"
"92dfd714-55b2-45bf-80cd-2ac12b83a0d7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 27"
"a4fb5486-61d7-4d5f-8ae7-0ab75921d19f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 27","Pour 1"
"e35861b5-1151-457f-af96-238c76af31a1","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 27","Pour 1","Columns/Shear Walls"
"171373b5-3e85-4efe-9fcc-5ec4ea66cf13","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 27","Pour 1","PT Slabs"
"296afae4-4421-4ca3-9bd8-acbe25d8abd6","","not-started","101C-SDC-TMP-CON-ITP-007b - 3 - Stairs FRP Works","checklist","FALSE","FALSE","Site QA","Structural","Level 27","Pour 1","Stairs (stairmaster)"
"e6245135-aa10-4ef0-b56e-aae1d05a1a20","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 27","Pour 2"
"5dbdc353-7b4e-4ad2-ac69-62c471572af8","","not-started","101C-SDC-TMP-CON-ITP-007 - 2- Concrete Columns Walls Verticals","checklist","FALSE","FALSE","Site QA","Structural","Level 27","Pour 2","Columns/Shear Walls"
"a6a2b08b-6bfd-4d4f-a1a6-4dcee615a955","","work-in-progress","101C-SDC-TMP-CON-ITP-008 - 3 - Suspended Concrete Slab","checklist","FALSE","FALSE","Site QA","Structural","Level 27","Pour 2","PT Slabs"
"73b34938-29b8-4911-8356-547c6893264d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Structural","Level 28"
