"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"006a1d13-5aff-41dd-bbe3-1260af671da7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Grids E4-E5"
"454de1e3-0734-4e21-b98e-b9a4b86f82a5","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2A - EBH South - Grids 36A to E5","Level 2","Columns"
"f016517c-541c-4ce2-9b1b-6227df5af76f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - EBH South - Grids 36A to E5","Foundation"
"75f20346-a638-4f36-a4b0-c4a2a6740033","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35"
"ff192a17-3416-4bc8-9c7b-c8d5fe00ce12","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Overarching Documents"
"ad7b4934-778b-469d-80bc-820f96e7fa84","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Overarching Documents","Mill Certificates"
"fcfe9543-1db4-4a71-84e4-7f0a2d742668","","checklist-flat","not-started","Mill Certificates","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Overarching Documents","Mill Certificates","Mill Certificates - March 2023"
"ce4b35c0-1311-4cd6-9ba6-5908e69cb78c","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Overarching Documents","Compliance Information"
"6a527ab0-32b4-45d5-95bb-4b6afcde5ee7","","checklist-flat","not-started","Compliance Documentation","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Overarching Documents","Compliance Information","Compliance Documentation"
"09364113-5b31-4c10-8b38-05fb5641d58e","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 36A-34"
"3e4ef6e0-bb2f-4071-b439-2d81021df6c0","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 36A-34","Lift Footing/ Pile Cap Reinforcement"
"ad4844d3-05be-4b59-8589-ba619c28ad5e","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 36A-34","Strip Footing/ Ground Beam Reinforcement"
"6e6caf95-72b1-4b9e-a0e6-2d4b57534662","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 36A-34","Slab Reinforcement"
"750ed847-4672-4445-a85d-e620ae89d427","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 36A-34","Columns checklist"
"51502929-893e-4d53-aed5-f02e39866989","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 34-35"
"80cf8994-0ad5-451b-9ee0-6ab557ff513c","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 34-35","Lift Footing/ Pile Cap Reinforcement"
"32ee58e9-7a93-4ee7-b5f5-396a198fb7dd","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 34-35","Strip Footing/ Ground Beam Reinforcement"
"b5cdd825-aff4-4a21-908d-f3bdf7b40f72","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 34-35","Slab Reinforcement"
"13ccb67e-6f7e-43a0-921c-80ee1f824299","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 34-35","Columns checklist"
"9de998b7-f261-4c27-8500-9c07c151de49","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 35-E1"
"4f5e33cf-21e4-4334-9814-4064e2f34d8d","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 35-E1","Lift Footing/ Pile Cap Reinforcement"
"f1a69aac-113f-4331-8df7-ff41e12f6b59","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 35-E1","Strip Footing/ Ground Beam Reinforcement"
"83bd79a6-c57b-42e4-b38b-2ac802f92b80","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 35-E1","Slab Reinforcement"
"19e0345d-396d-4852-998c-9319e6209669","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids 35-E1","Columns checklist"
"0962470f-21b3-4e94-84de-b549d1379b6c","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E1-E2"
"b9c61c3a-a50f-42e1-a4dd-9a6168c4c5db","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E1-E2","Lift Footing/ Pile Cap Reinforcement"
"26b151fd-3378-4f20-92d0-1f3d65b5309c","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E1-E2","Strip Footing/ Ground Beam Reinforcement"
"7af7480b-7359-4f40-ac3b-c8dfc8f24112","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E1-E2","Slab Reinforcement"
"e72c1702-534d-4274-bee1-7a9899004aa6","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E1-E2","Columns checklist"
"30f4ffca-09d2-4751-944f-410749a43fd7","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E2-E3"
"ce6aa369-a9e3-4a1a-b41e-de50de87ecc5","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E2-E3","Lift Footing/ Pile Cap Reinforcement"
"14a370dc-310a-46c1-b0c1-0f27eb7c5653","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E2-E3","Strip Footing/ Ground Beam Reinforcement"
"3cd12afa-9fe5-4a04-8d80-0820fd033a6c","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E2-E3","Slab Reinforcement"
"3d768c20-1db8-4e70-adf7-88fbdddc74b3","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E2-E3","Columns checklist"
"d71ce85c-54b1-4917-90d7-171383e56b2e","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E3-E4"
"6cb0bd14-600a-42c6-9199-25d9a6631a8e","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E3-E4","Lift Footing/ Pile Cap Reinforcement"
"c88ce45f-acd2-4138-bd10-262ac582f0d5","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E3-E4","Strip Footing/ Ground Beam Reinforcement"
"66472460-c859-4ab3-aba6-bc4daf62853b","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E3-E4","Slab Reinforcement"
"fdf42d02-d74f-494f-8386-6a6163403a0b","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E3-E4","Columns checklist"
"bc86d59a-5d74-4072-81fb-937a508177f2","","folder-normal","not-started","","step","TRUE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E4-E5"
"d90f24f1-1430-460b-baeb-e2908ebc59d3","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E4-E5","Lift Footing/ Pile Cap Reinforcement"
"a7d2e8bb-f95a-43ea-83c3-15ceb8320a11","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E4-E5","Strip Footing/ Ground Beam Reinforcement"
"40838b1d-ec1f-4b2c-90a5-f3fd3ad257c4","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E4-E5","Slab Reinforcement"
"1418c4b5-497c-44b8-b530-355fbf86c552","","checklist-flat","not-started","Columns","checklist-flat","FALSE","FALSE","SP2B - Ground Floor - West Grids 36A to 35","Grids E4-E5","Columns checklist"
