"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ee26e90-09ed-427d-bc2b-5df00db3341d","","folder-normal","work-in-progress","","step","TRUE","FALSE","B1"
"5b42afc0-ecfa-4efe-bf78-6f74dbb45b5d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C07A"
"6e99b254-6b22-4585-af80-efe3e3d080fa","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C09"
"472c14d0-4343-4303-9f0a-86fc27f5cf56","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C18"
"c76e02e8-9a9c-47e3-85b0-7bcd7dc2e1b8","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-C19"
"aa250797-8505-4a39-a602-c9e24ba861c2","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP02"
"74d8c356-2395-4544-a704-51124bd062ca","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP05"
"b3efc880-783b-4e07-9ff3-a4eb27785b7e","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP06"
"b56b713a-7fe6-4f75-ae26-ee21d8821c97","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP07"
"4d7dcdbe-99ea-4b54-9b5e-2a42e2491ed0","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP08"
"d6e95262-dec2-427b-9d62-fd2a93e1c5f4","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP09"
"da066ec3-c32d-47c9-bbdd-92b6d4516f77","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-CP10"
"bafc5baf-7e6f-43e0-aa93-2647ea2a8db4","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P08"
"8177e2d5-e30f-4413-a060-d216466a1592","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P09"
"82ef1679-5ddb-4ca2-890d-5ef1245e3772","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P10"
"d172fd08-17dd-4e9a-bb62-21d1f5e4bb0e","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P11"
"5de0779b-8054-407c-9431-00fcb105aca1","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P12"
"50e6d984-3cea-4cc7-b820-a8d6d2d2cccc","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P13"
"c12c574f-0c51-4e8d-8b2b-6ddfbc816e6b","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P14"
"a0a35fc7-e621-4241-ba8e-b4fd490bf7ba","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P15"
"3067e806-2f2f-425c-aae6-19709e759fc0","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P16"
"6af8c035-73b9-44f8-a7a2-1946199ae72f","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P17"
"cd73f392-7569-48ca-b67a-48fe463413e5","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P18"
"64b71982-9e1c-4745-851b-a430512e3fc4","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P19"
"6fc1c496-596f-4d3f-8751-feff40e70810","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P20"
"2c59cba6-2499-4e84-bfcf-eadab43bf1b4","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P21"
"012579ca-2fbd-43b3-99df-c242933b2a0f","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P22"
"ecff3fca-fe10-4fba-9483-b569114bb739","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P23"
"b69a1f51-e1b3-4059-9bea-a42898d43e33","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P24"
"ac8be594-8f64-4043-b133-ce1b10bd6cd2","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P25"
"88387465-c273-47d7-be96-48cb9b6545ae","","checklist-sectioned","fail","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P26"
"edcfa0a2-d1f6-4784-829b-9f28e91422e2","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P27"
"b5bae7f0-cf51-4d78-8a7c-c58821115528","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P28"
"db0ef9af-3f3a-4880-9edb-d1f05b51fe3b","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P29"
"6290b6d5-e2b6-4459-9206-e3b96f40b2bb","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P30"
"3f1f821a-fb82-44e8-a287-e1cee5ac414c","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P31"
"c781e98e-7732-44b2-ba25-0db18885cc9f","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P32"
"3fd13d1a-04b4-4626-a675-06f144946e4f","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P33"
"3e3f9584-5a98-4996-89cb-faba05393153","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P34"
"3aff51ac-2f97-4a11-9952-fb6c8b1fd417","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P35"
"d4c8604d-c78f-4568-bbd6-65acfbafd350","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P36"
"7ab0b52a-3bda-47e2-b541-2854bd3f77be","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P37"
"6ca8a6c4-76a5-4799-968b-6e5c56413945","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P38"
"5b28bbfd-b3b7-4079-b7d2-db031dcd1eb0","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P39"
"37663fab-f3b6-4c9b-b91f-d365ab78807f","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P40"
"ca05a2d1-5325-49e4-805f-48d9aa7e1a33","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P41"
"42cd7e27-c10e-4c77-914b-25782c666afb","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P42"
"f59f1329-c110-49af-93f6-d066ac7b8dcc","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P43"
"a81b39ae-53da-41b4-b85b-17b9653fe31e","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P44"
"a51b679a-ce98-45e6-937a-814aae9397cc","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P45"
"7b050766-ed28-4adc-a270-bba8724834ed","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P46"
"8ffd898a-0261-4710-9e08-c5d90feeeae9","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P47"
"b2086e47-c80f-40d7-9446-26db86dcd9f2","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground Floor","G-P48"
"c59691c0-f3ae-4846-a3e2-7e5f277c7540","","folder-normal","not-started","","step","TRUE","FALSE","Level 2"
"f3c1222d-48dc-4c1f-a73c-ec2ec6a8d2c7","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA01"
"3bc3f68e-2933-4f6a-8e94-0ff17f877661","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA01A"
"c632a43c-a406-49e6-a0ae-96d81bdef570","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA06"
"d8b88e46-1387-4a6c-979c-9d120b7ba9bb","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA06A"
"e13a63a0-9e83-44c3-b80f-71c5d6a825c7","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA07A"
"45222086-7df2-469f-92a2-82191a2bf343","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA09"
"5e610b9d-da7f-442d-8737-8ba7a61c15dd","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA12A"
"39ba75de-c23b-4a8c-b45c-dad972d1bc8d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA13"
"c1123fe4-9fa8-46e5-b9aa-f6c9374da990","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA14"
"7d8c649a-74c1-41f7-a337-c7abcc6a8636","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA15"
"d3430657-0b2a-47e9-ad76-3da7c660fdbd","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA16"
"44c48c1d-8bcb-409b-969d-de39f0d6a874","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA17"
"bdc99cf8-3f1a-4d1b-9ab7-15fc83edc57d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA18"
"3f5668fd-9798-46a1-bb37-26fe67f4739d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA19"
"07c3f44e-6663-4b2c-b8ff-7ece2bbce780","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA20"
"e193878b-15a3-4c3f-9f58-12743b5242aa","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-BA21"
"18496e44-addf-48fa-a038-7fdbd1f94dc2","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P68"
"2b8639cb-c9b1-447a-91cb-c4a2255f6fb4","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P69"
"678b1d7f-c073-4569-94c2-a751ae6209d4","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P72"
