"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3d321021-b6f6-41b6-88c0-a8434b527a36","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacturing QA"
"09809baa-34c7-4f33-8234-7168558a1013","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01"
"c20e491f-d022-469c-8bf7-550e9fe1a85a","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01","Apartment 1.04"
"48f3c31e-d642-4d59-aa4b-f7b4cad26fa4","","checklist-flat","pass","Windows Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 1.04","W-104-02 - W25"
"cad216a3-fc25-5c38-b353-5ae0bd4315d9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Restrictor stays fitted where required"
"d6df7f6f-29d7-57b8-8f8f-7fef5ccdf892","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-02 - W33","Correct beads supplied for site glazing"
"524396b6-c35a-4cbe-9973-338c0c380525","","checklist-flat","pass","Slider Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A"
"904b3ab6-a457-5b57-a677-7fdcc066b78b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","WANZ notes applied"
"788cb5d7-2fc4-5df5-beae-980350bdb6fc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Surface finish is compliant to standards"
"6214b3ce-cff4-5128-87bf-298fd74a4c74","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Small Joint and back sealing correct"
"73a53c4f-9983-5d41-b818-a6f468f79824","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Hardware is correct and correctly fitted"
"003bef3e-e3f4-5e2b-a581-74a8c1d9ca13","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","01003 Liner adaptor fitted to specified centres"
"ef483155-450d-57b7-a614-af0be999a6b4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Item number & description written on adaptor"
"3e6e691d-c6ed-5d4e-a189-49cd8ba83acb","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Sizes are correct against job sheets"
"130af709-7bc3-59ae-bf3b-75b7df9ea1a4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Drainage correct as per APL manufacturing pack"
"d7e02029-e77b-5545-967c-747defe90325","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Panels are sliding freely"
"d8a29a66-d5c3-595f-96b3-1c2fd707e20a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Correct weight rollers fitted"
"97cc7e9b-2b39-5490-84d7-87f2a504a135","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Stops and end caps fitted correctly"
"90c0e417-75f1-55fd-a046-719f77b4cd33","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Infills fitted correctly"
"3cab25f6-4eca-5894-9245-0c59d16a93e3","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-01 - W50A","Correct beads supplied for site glazing"
"b7569159-b82b-4b1a-b661-782079f25768","","checklist-flat","pass","Windows Manufacturing","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5"
"2608f753-0333-5fe9-8780-6f25c1d6c694","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","WANZ notes applied"
"a567e99c-58be-5883-a74a-1fd2563a012a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Surface finish is compliant to standards"
"017ac246-9f47-567b-a67e-5e0040f67511","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Small Joint and back sealing correct"
"0597c5e0-aa19-57d3-96b8-4c9210d04fc3","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Hardware is correct and correctly fitted"
"4d654b90-36e8-5333-8863-330e671667b1","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","01003 Liner adaptor fitted to specified centres"
"662831d4-b816-5a8b-b8ee-43f8d9c3a913","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Item number & description written on adaptor"
"3e6beed3-8b7f-5ec4-8744-470aa2441e2c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Sizes are correct against job sheets"
"5ae69c64-2231-5ec8-b560-122ea540d70b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Drainage correct as per APL manufacturing pack"
"f3fe0c62-0d70-5151-9862-cf68f6bd6b14","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Sashes are fitted square and operating correctly"
"d004b285-b4b4-5ff1-afa4-8933f919edd1","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Restrictor stays fitted where required"
"ccd78135-15b9-537b-b2cd-fb283ff1f5d9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.07","W-207-04 - W5","Correct beads supplied for site glazing"
"ebb47e0f-5747-4c5c-86d2-a6735b35fc30","","folder-normal","pass","","step","TRUE","FALSE","Manufacturing QA","7546-01","Apartment 2.08"
"cee932b8-b9ab-4a31-b764-9644dd98c9ff","","checklist-flat","pass","Slider Manufacturing (with Stiffeners fitted)","checklist-flat","FALSE","FALSE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H"
"70fbbb00-f644-5a03-a762-8b7f5c226b1b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","WANZ notes applied"
"33551194-eafc-53c2-8295-2400bec4f438","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Surface finish is compliant to standards"
"4854d2f2-52d0-5a78-ab29-0209f440d793","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Small Joint and back sealing correct"
"1a97ec23-5d8c-5217-8257-e32ee189fbff","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Hardware is correct and correctly fitted"
"b7e957c2-89f7-53f5-905b-26f98c6b531c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","01003 Liner adaptor fitted to specified centres"
"ca132426-d46e-51d0-932e-abe2afc67124","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Item number & description written on adaptor"
"1f021879-1e99-5118-a77e-0730d6e76c0f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Sizes are correct against job sheets"
"83100cd9-139b-5a96-88b7-16e9fa61526e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Drainage correct as per APL manufacturing pack"
"e466c692-b7ab-5cdd-90fa-2a297cf4380a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Panels are sliding freely"
"8d1c817b-0435-5409-9445-3c7f54086bff","","checkpoint-status","pass","","","TRUE","TRUE","Manufacturing QA","7546-01","Apartment 2.08","W-208-02 - W48H","Correct weight rollers fitted"
