"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f0f408bb-023c-4cf9-a528-32597c2be1ef","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"b97f0b46-b22f-46cc-a72f-36e23d531c7a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ03A - B.2.6"
"e8ff952a-6cf9-448f-8947-540fffbecc5c","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ02A - B.2.5"
"569dd675-e384-4e0b-8969-a6cfafc4d53b","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ01 - B.2.5"
"1fa961c7-afbc-48e9-ad98-45709fd48ab5","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ01 - B.2.4"
"3f541a7d-9ef2-4599-9b75-e9d2d39c3b85","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ03A - B.2.4"
"9d44f04f-76ea-4f2b-ab05-b1dd97f1abbb","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ02A - B.2.3"
"abe50ae6-339b-4982-90b5-9cd724bfe848","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ01 - B.2.3"
"37b257cf-6c86-4dc2-881e-21bebb3dfd5f","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 2","WZ01 - B.2.2"
"4c30b3d8-81eb-421f-a4ff-f359b9f9e751","","folder-normal","not-started","","step","TRUE","FALSE","Level 3"
"72e604bf-39d1-41b9-890a-1f6b5bdfd68e","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ03A - B.3.2 - Level 3"
"6984af6f-a4c8-49d4-bbad-0639da90e7bc","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ02 - B.3.1"
"f3153e5a-9fcc-4751-950d-512b5372f1b7","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ01 - B.3.1"
"5dc975cd-b28e-44d8-b619-7126ee8e530d","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ04 - B.3.1 - OBS"
"e3f7e089-3791-4cdc-88a5-59672e677ebc","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ05 - B.3.1"
"d0a64ed5-8fc2-474c-9f3a-91e2d0137497","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ06 - B.3.1"
"043c5672-84ab-467f-a44f-5c7f3881c89b","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ09A B3.2 - Corridor"
"817f6bce-177f-483d-8c44-0d8aaf2ffc15","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ09"
"66d6575a-a9ef-41d3-90cd-5113b564bd55","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ09A B3.3"
"bcc3c99f-70e1-42a2-a402-056d5463768c","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ08 - Stairs"
"0da2b0e3-0e66-4433-848e-559d2cc6bff0","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ07 - Corridor"
"88da9b77-c6bb-4d66-8dd5-361aa4cb0305","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ06 - B.3.6"
"0ecefa75-694c-41cb-94c8-58778ad3f0df","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ05 - B.3.6"
"9179a4cd-9806-4afb-8112-77a71677a6b4","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ04 - B.3.6 - OBS"
"f9b48325-6c17-4cd3-bdac-33d3f78d38b0","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ01 - B.3.6"
"baf912c9-e243-4771-97c3-ad2b16c4f81a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ03 - B.3.6"
"bc420a5e-3873-4fc3-99b0-24b89118bfbe","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ02A - B.3.5"
"02b1b284-34b3-43bf-848d-0847ddae78c2","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ01 - B.3.5"
"b8d2ed4b-84bd-4540-90c7-0a9675bb0054","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ01 - B.3.4"
"e793b9a7-867b-4ef9-b770-7efa61433b74","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ03A - B.3.4"
"4dce6519-9752-411b-ac0a-9f7d7e2fabf4","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ02A - B.3.3"
"a797ee84-827a-4072-9506-a21ed20fcfc0","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ01 - B.3.3"
"819fd215-da97-44ad-b16d-6f87e4b58e8a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 3","WZ01 - B.3.2"
"e8430536-267e-46fa-9354-c03cdad790f7","","folder-normal","not-started","","step","TRUE","FALSE","Level 4"
"a5b6ea50-ec17-4e77-8e6d-b47fedf5a7c5","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ03 - B.4.2 - Level 4"
"6b20818b-c658-4f35-a056-84673c99f05e","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ02 - B.4.1"
"6b6403c5-40fc-4437-9003-1fb7b2d6a297","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ02 - B.4.1"
"653d2685-f664-406b-9100-f4b590e03801","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ04 - B.4.1 - OBS"
"904bb9f6-94a8-415e-b70f-c40f639ce28e","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ05 - B.4.1"
"e0bd6e31-af10-4954-8bff-77cc2667d6e9","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ06 - B.4.1"
"2840f938-442d-49d4-bbfe-e884659cea7b","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ09 - Corridor"
"60fb42d8-6dc2-4273-8b9b-acf99802ede8","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ08 - Stairs"
"fb62b0f6-fb53-49ee-9538-0bda211d6c9d","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ07 - Corridor"
"2a4c41bb-13e2-45d1-8f35-f0487988a5b3","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ06 - B.4.6"
"31f25804-d2fd-4c7f-9274-ac3ce0f66dfa","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ05 - B.4.6"
"0f258a13-6adb-4545-855d-a2651865e1ff","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ04 - B.4.6 - OBS"
"5f94f7a6-c493-4541-93c0-2483d38646de","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ01 - B.4.6"
"ef5139c9-7b7f-4b62-9f50-2d03339457b6","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ03 - B.4.6"
"0273e27d-25e1-4f6e-b90a-58e02bd54232","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ02 - B.4.5"
"aaa7652e-630e-46b5-aef3-d995061e8335","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ01 - B.4.5"
"dbc3fafd-3d76-40d4-b182-86ce8d2bd8ef","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ01 - B.4.4"
"4580f26b-b8c8-48ca-a331-de856649ec4e","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ03 - B.4.4"
"d943e4fe-02a2-4e5e-8d28-c0c972c894f9","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ02 - B.4.3"
"b0354061-3300-454c-a2ec-c7f38b1b1e36","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ01 - B.4.2"
"c6553df4-8dc8-4772-aa65-c98eee329b55","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 4","WZ01 - B.4.2"
"08661774-0532-436e-865c-8bfb644ec1c7","","folder-normal","not-started","","step","TRUE","FALSE","Level 5"
"00cf6257-03d5-4723-a1c2-8fe1904da425","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ03 - B.5.2 - Level 5"
"fa55b250-ea55-4d8d-aa86-d8007f16a536","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ02 - B.5.1"
"db74b4b0-e8a1-4df4-9bf5-e10cd51496d1","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ02 - B.5.1"
"7df64113-9619-49f0-9ece-b09b81998409","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ04 - B.5.1 - OBS"
"4ec98d4a-b721-41ea-9982-6e40f27a526a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ05 - B.5.1"
"199c690f-da78-441d-bc38-b6b5270c8cb5","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ06 - B.5.1"
"93d36cf2-3a10-43e0-8a90-6761a8d07b89","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ09 - Corridor"
"4c5f3a60-5670-4bbb-9de0-19265a079e7b","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ08 - Stairs"
"dfddb3b7-d29b-4efa-8ef3-b7d45cacd62f","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ07 - Corridor"
"581e49f8-3116-49c8-ba02-0e8ebc756836","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ06 - B.5.6"
"459a6af0-2bd2-4bd2-a32f-27ebe9a2802e","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ05 - B.5.6"
"f1b05fec-8f50-4ccf-83f5-5617f97c3c38","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ04 - B.5.6 - OBS"
"d991df22-4006-4f34-911f-13886d313aa9","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ01 - B.5.6"
"292cce7f-effc-49e8-8c19-403ad1b2ac62","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ03 - B.5.6"
"11da0390-6f7d-4e19-ad58-26357bd5c5b4","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ02 - B.5.5"
"e8d15724-8bfa-4369-92b4-10110f5fd8bd","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ01 - B.5.5"
"4ea5ee06-5b77-4d4a-bfab-faad9bfe7c2a","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ01 - B.5.4"
"fdc6971d-d480-4120-beae-3c4a88d1dfc3","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ03 - B.5.4"
"fa58a512-6a00-4c8f-863e-5b68f5cfb186","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ02 - B.5.3"
"d68410dc-533a-4b28-b719-66100177ea01","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ01 - B.5.2"
"d76490ce-38ad-4ea7-8e9d-3f8bbf8f0b17","","checklist-sectioned","not-started","Standard Install","checklist","FALSE","FALSE","Level 5","WZ01 - B.5.2"
