"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1d1e6a92-4c79-4cfd-b6a1-eea37e486c63","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"320e6e77-1cd7-4e50-97b7-0763c598e6c1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B"
"1288f73d-af33-474c-9d1d-c76834ed5bb1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground"
"a6ecec03-b91a-4fc3-bfca-7d236c26ca48","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","50"
"2135aa61-35f8-4a71-9d7a-58dd6338c3b9","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","58","Walls"
"23d7a190-76d4-4fa2-b9ee-a42435853187","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","58","Ceilings"
"50ff342a-04a4-4dfc-83a6-dc59608aa60b","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","58","Speedpanel"
"b41df816-1453-40c9-ba6d-a89914070190","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","59"
"f6e4bd5c-a602-492a-b3f2-8d05fb25b82a","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","59","Walls"
"3f069871-c5ff-4efb-b21b-7a7293ae6808","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","59","Ceilings"
"d70d9b4f-211e-4b55-8606-320ae4e32c22","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","59","Speedpanel"
"779f32cc-620b-4529-9207-91e58f3429ca","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","60"
"17fc8950-6e89-4993-92ca-0dc9a1e05c14","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","60","Walls"
"3a70177b-2007-4ef8-a1bb-3a49cfa7ffb2","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","60","Ceilings"
"647b07eb-5623-49d3-b5fb-57148657bf72","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","60","Speedpanel"
"3f0bee41-7c50-478b-b41f-9a8041b952a1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","61"
"5afe37f6-90f8-431f-a10a-96fcb4d95882","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","61","Walls"
"38a4d161-3193-4825-b609-b22c0a431341","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","61","Ceilings"
"0fcc0149-fcb8-412c-a594-51419c231bf2","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","61","Speedpanel"
"57414ab6-ec72-4200-baa0-68986592f189","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","71"
"34ea06f5-6212-43db-9d60-810246a696e4","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","71","Walls"
"0a422bf4-b2ed-415b-9968-edbbd3f6cdf5","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","71","Ceilings"
"60579b60-1ea8-425e-bdbe-2e41c44f0ce9","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","71","Speedpanel"
"5b19cc99-7596-49ec-b372-8c957a6fd484","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","72"
"237e6e59-a615-4279-b1af-c824ca498e89","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","72","Walls"
"660f5f39-cbd2-4ed2-b984-bd5610739058","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","72","Ceilings"
"fe685b48-594e-4b92-bea4-a89c2ab7c65d","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","72","Speedpanel"
"6ec203e1-9f35-4538-8311-cc47f0b3463d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","73"
"06891f5c-2875-413d-9002-0a3e2384476b","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","73","Walls"
"e49f5b54-cab7-4556-a4e3-60acf4005dcb","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","73","Ceilings"
"f36037e3-04f6-4aee-b396-972bb2993a41","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","73","Speedpanel"
"1330794c-dc3d-45a7-89c8-aeb94ef806b4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","74"
"6440e2e3-0905-4685-8c4f-ad77cd044068","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","74","Walls"
"d401cd05-9888-4c77-be17-fb24ba61ba69","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","74","Ceilings"
"92d27d6c-423e-4c72-8175-be6ce1bebfc2","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","74","Speedpanel"
"85debf28-7015-4026-bae4-c2427dcfca86","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Lower Ground","75"
"dcaec0c3-28fd-4b76-8e31-c975fc5d664a","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","75","Walls"
"838195ba-acec-42e5-a500-0753695263c9","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","75","Ceilings"
"93d6168c-efab-4a34-a8e0-dd9467854886","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Lower Ground","75","Speedpanel"
"fbe22b81-75a9-402c-942b-10d1faa4301d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Ground"
"da933cfb-c625-4e0e-8be9-d0558ad1f193","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","50"
"fc9a4f01-fdf4-45f3-a833-75411aba226a","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","50","Walls"
"9d022356-dd65-43c8-a908-b9b508785242","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","50","Ceilings"
"89624cfe-70e4-4ec3-9cd8-dbd05e759186","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","50","Speedpanel"
"24816305-fe89-473c-b5d4-60904de44f57","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","51"
"508afc0b-9160-4b3b-96c9-0cbd7b5ecb08","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","51","Walls"
"e2289e90-1d86-4032-a61b-a4c12844ea08","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","51","Ceilings"
"e5d2fd26-861a-4955-85c4-1076ecd86245","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","51","Speedpanel"
"c8b453f1-3ba3-426f-93e6-006298777d8a","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","52"
"97335f13-c263-4491-a370-8049adb80432","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","52","Walls"
"4b93ce13-c6ac-4eb9-ac1c-1b865821c60c","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","52","Ceilings"
"e8e948e9-3a97-4379-8d92-a586930a1494","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","52","Speedpanel"
"69a8ea38-d882-49c0-b061-b885c77a75eb","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","53"
"b52b2c59-9ef8-442b-bfe9-31f5125fc811","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","53","Walls"
"018f7500-0923-4013-91d6-739e4b26c119","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","53","Ceilings"
"f7f7fdd5-00cb-49f8-9eef-30145915d345","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","53","Speedpanel"
"5186e783-1e1a-4ff4-b3e0-9142345bb6ab","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","55"
"a2ee396c-1034-476a-b7cd-a9dc25860ebb","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","55","Walls"
"a1f4b470-f7f9-4069-9942-100c8e820f48","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","55","Ceilings"
"1d087664-7645-4b9e-b3f8-0076a6e8eecf","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","55","Speedpanel"
"ed8e0de9-7714-439e-8a3f-457be25d024d","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","56"
"b77c56a4-693a-4906-8f90-7cab770150d6","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","56","Walls"
"f9309c2f-7ab8-475e-a6e6-a9c63339e0f0","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","56","Ceilings"
"c1dbaf97-0fbd-44d4-b98e-dfe228d3e522","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","56","Speedpanel"
"99bc2c57-1fa1-4035-ae01-78a9bc7efb5d","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","58"
"6e356272-392c-4fe4-aa4d-a45553f167c5","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","58","Walls"
"adc78a90-91e2-4e9b-b861-7ba7d7770fd2","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","58","Ceilings"
"6b533b46-4a70-4e3c-8b9e-0a5dfc3339fe","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","58","Speedpanel"
"62e2489a-3b09-432b-a75d-a8cd97dc1203","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","59"
"99615ed6-21bf-4467-945d-7dae387857c6","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","59","Walls"
"db6b6b31-a6ec-47cf-84d5-ca1f47bd532b","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","59","Ceilings"
"f0585e30-cb2f-4846-ab5e-9b1c5f48fde1","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","59","Speedpanel"
"d0ebaf28-ba68-4d9a-940e-ccd4b6164dda","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","60"
"ad56f036-ec1f-4a2b-b1ec-e00808e45187","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","60","Walls"
"9d448dfa-5610-4190-86d9-5808ed0a652f","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","60","Ceilings"
"12487fd3-4b2f-423e-8a02-6720601a39dc","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","60","Speedpanel"
"5ab9db8f-9d19-4557-8560-c62d3a6ce8e5","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Ground","61"
"80e9ff55-6d1f-417e-814c-66214ca5c4f3","","checklist-flat","","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","61","Walls"
"3c8890c7-ef97-442b-801c-a6c714e9bdcc","","checklist-flat","","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","61","Ceilings"
"e539a88f-223d-44aa-9d1d-4abd1b261523","","checklist-flat","","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Ground","61","Speedpanel"
"4ce32d27-1e94-41f8-990b-41b81fc849ee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1"
"3188f351-e501-479a-950d-8584aa551a48","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","50"
"2dc5f476-2f12-495d-b5b3-9d2bf8f62bb3","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","50","Walls"
"bf394f75-f332-4b58-ac9c-a85564000b6e","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","50","Ceilings"
"01e2a2ae-b2fa-4b41-afb0-fa0ff55a364c","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","50","Speedpanel"
"8230b82f-26ea-4411-a48b-16d9f8b93672","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","51"
"b19789ae-224d-4fe4-98a2-cd2b58787a39","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","51","Walls"
"5eac4933-e16b-4226-b2ba-759e401aee4e","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","51","Ceilings"
"6ab53d45-eab0-4ed5-9cba-0922bd0a1278","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","51","Speedpanel"
"dc10e8da-05a6-4d15-94ca-03dcd3aef905","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","52"
"56e78b93-2db3-4796-ab71-5dc9f8c19834","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","52","Walls"
"f00b482d-fa5e-475a-a7ae-9658f336f44a","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","52","Ceilings"
"6ffe6898-88b4-4749-87ce-43e3881a90de","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","52","Speedpanel"
"2edaf364-fea4-4ef8-92c8-4cbd0873ded6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","53"
"6e30c74f-f754-4577-bef6-bf9add146e8a","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","53","Walls"
"a19fa101-7e5d-49df-bead-e9bb92dc7379","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","53","Ceilings"
"8c41b45c-995f-49d2-b582-bff3c1a70064","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","53","Speedpanel"
"ff347c17-7f4e-43fd-af84-5db38c446dca","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","55"
"44875361-e7b9-4b44-9bef-006706ecf29c","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","55","Walls"
"47e80217-6d87-4dc9-b7df-2304a080c280","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","55","Ceilings"
"2cb8cabb-5bf7-4655-b18f-a8e9a8303274","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","55","Speedpanel"
"eeaab729-d51c-47ed-90cc-a420ea05ffcc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","56"
"bb285962-3e2d-4643-b8bc-cd7c854257e5","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","56","Walls"
"cbdbcdd4-1c0a-46b1-9d83-6a5dd7579ecc","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","56","Ceilings"
"35e7a606-8c60-42db-b204-a0dc04c56cb7","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","56","Speedpanel"
"a7a1b06a-7fa8-4068-9533-045775bd6260","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","58"
"1c75f6f0-c816-4467-8f21-a6ebd173c80f","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","58","Walls"
"a45102b4-3c75-4163-b8f4-18eab130b444","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","58","Ceilings"
"8322c3cb-2f3d-40aa-ad24-118baff95cee","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","58","Speedpanel"
"180aff0b-3a9f-4521-838b-306efab1acf9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","59"
"ed2c905f-38d6-4303-a852-840e0a721f00","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","59","Walls"
"286ab81f-7dd9-414d-9a94-5a5f673e2309","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","59","Ceilings"
"aac52901-6410-4326-9597-560827c60ace","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","59","Speedpanel"
"056941a6-ca63-4b3f-ac5b-e6bc33d9b8bf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","60"
"c6f267de-655d-4d64-a60e-a7228e7ff44d","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","60","Walls"
"1bc32c7e-6d95-4a52-84f5-d7ee123d2cc1","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","60","Ceilings"
"0a79ebbb-4905-4416-822a-9430167bc2a6","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","60","Speedpanel"
"5c0955c4-f76d-47e5-b816-96526f930eb5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1","61"
"d6d91146-709e-41f8-be19-d3893cd8066f","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","61","Walls"
"82c2f88a-8101-4376-b3e3-84a7b70d3def","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","61","Ceilings"
"66ba12f2-47e0-49be-8e66-94c34f134ca1","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 1","61","Speedpanel"
"23c25703-ef3c-4310-b3f3-ce590a616a62","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2"
"1f28b1bd-3736-4484-b95e-21380e5471e2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2","50"
"8d794834-bb0d-406f-b1f2-895bf1ece49b","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","50","Walls"
"8ebee62c-69b9-4b69-8fca-3275fd30180a","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","50","Ceilings"
"82aa885b-d21d-4757-a33e-c76456f07900","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","50","Speedpanel"
"edd7e876-1b5d-44e2-b08b-428a90e61c32","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2","51"
"c6838dff-a5ae-4005-922f-1dfb113e2655","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","51","Walls"
"0cd37bc7-a2ee-49a0-91ae-b33b46abb75d","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","51","Ceilings"
"fdf9b246-2161-44f5-8960-f510c05cf7a7","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","51","Speedpanel"
"3c5f6902-ff31-4d2b-96c6-c27a7cd87a79","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2","52"
"19b1ac4a-faef-4f43-8d11-e9f4c44e7cca","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","52","Walls"
"6637d445-0da4-44e2-9f16-652953e55b02","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","52","Ceilings"
"2a8aac24-454f-424f-83dd-037b1903da56","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","52","Speedpanel"
"8641c92b-5fc9-44ac-b0ec-a60657965418","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2","53"
"abb13a3f-57bd-4541-bc1c-a0269a5942fd","","checklist-flat","not-started","Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","53","Walls"
"9e5ebcb4-5551-4b0f-9597-afb525de865a","","checklist-flat","not-started","Ceiling Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","53","Ceilings"
"588e9031-778e-4f51-888b-567089706403","","checklist-flat","not-started","Speedpanel Checklist","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","53","Speedpanel"
"3bf9a60e-e7bf-4440-bccb-9ca4bf187eb7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2","55"
