"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9e095721-6857-4f2b-ba91-c4e81ff115c1","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 15"
"41659b60-08d0-4006-ba6f-6c0e636a49d1","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 16"
"7ce5baa5-ce38-4a42-a288-5b9da8618736","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 17"
"16f9c632-5d13-4a3c-a457-1ceefb10e670","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 18"
"fe94478b-8d10-4e84-89c6-04ae3a6c0a49","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 19"
"358b8aab-3a8b-4a77-b5ad-195af9433bd3","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 20"
"36264030-9d45-4168-8ef5-933a42b11233","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 21"
"0571e4ff-887c-4040-84e5-456f4a379d19","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 22"
"fa28b51b-57f9-4e90-9bd7-db3d911020db","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 23"
"74292183-e3da-432c-893b-feaefb371c4e","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 24"
"f6e39dcc-98de-4107-a53e-3b80293e7d63","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 25"
"2b5a1377-5c02-40c1-a41f-a3644d4ef94b","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 26"
"85ba2ad8-2c18-47e3-8fb2-cdd394c559ac","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Level 27"
"a1881899-57c4-4404-9c69-3a4df023ecd0","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","West Tower","Roof"
"3ed72724-f9bc-4c17-9d8b-834c12c5b856","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","East Tower"
"a19c6fac-36ba-48be-b79e-57546504e04d","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 6"
"5b5a5070-6a37-482d-82f7-cc7c081e10d5","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 7"
"4537b247-307a-4006-a1f2-157af9dac6f7","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 8"
"f7008a4b-6668-40e0-92ca-76c59d3779fc","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 9"
"19c9de3a-4dfb-41f7-8171-1f0c420c1e68","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 10"
"de0856f7-ba15-4cd8-99d3-155bfd2de1cc","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 11"
"8b3a2300-d63c-4387-aede-dab486403dce","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 12"
"9e83431c-59c4-424d-be94-25cbdbde038e","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 13"
"8d1754de-4d1b-4aa1-b44f-aa5753b48634","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 14"
"04023206-96f9-40a4-bbd1-caf58dfdd8c2","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 15"
"65f05240-23c5-4d0d-be8f-952b2f615745","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 16"
"2f20e498-2c7b-440a-9870-f7e15c6dd391","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 17"
"35db42fd-ad86-43ae-a8f9-dc31acaf833b","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 18"
"b5e178fd-a026-4c81-9d65-39006fda97be","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 19"
"1c2d6418-cd11-40fe-b157-edb63666ee20","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 20"
"f37b8c16-ad66-415f-89d0-e9f5692a3c13","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 21"
"a488fff2-8904-4196-9507-693bfc823309","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 22"
"20d0aae5-ec1e-4d39-9ab4-6e5975c1b0af","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 23"
"164e75a5-19ce-4e3f-b5e3-68fbf4d70122","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 24"
"835beb26-36c6-4a41-9b91-e070a45986e0","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 25"
"105f9298-fe53-444f-a16a-3fb4be980260","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 26"
"61dd04ad-dd32-4443-82de-5c333e49c64c","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 27"
"fa3da1ba-6c0f-4b22-a88b-53b9a8fb0b78","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Level 28"
"1a47085e-0363-4f24-943d-3a3bf95d4d20","","checklist-flat","not-started","Steel Fixing Checklist","checklist-flat","FALSE","FALSE","Site QA","East Tower","Roof"
