"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1173a02e-4d35-4b4c-9dc4-550a0b480bea","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing and Grubbing"
"de8e629a-0b44-45a0-9afc-1a0d126fb7ba","","pass","","folder","TRUE","FALSE","FHC-ITP-006 - Class 3 Crushed Concrete"
"52a4a23d-74fa-4bb2-96ce-cf6cf6f4f977","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Concrete","708-0319 - LOT 1 - Class 3 Crushed Concrete"
"1ab6b648-6d39-4d6a-9d3c-4efc8f276bde","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Concrete","708-0320 - Lot 2 - Class 3 Crushed Concrete "
"3ab2980f-902b-43a1-9ffc-b909fa937488","","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Concrete","708-0321 - Lot 3 -  Class 3 Crushed Concrete "
"1e6147a6-e754-497e-831d-48284dd24637","","pass","","folder","TRUE","FALSE","FHC-ITP-007 - General Demolition"
"fbe71f04-d7bc-4c39-90e3-aa527ec7bc6a","","pass","FHC-ITP-007 - General Demolition Rev1","checklist","FALSE","FALSE","FHC-ITP-007 - General Demolition","FHC-ITP-007 - General Demolition"
"221bec06-eb2d-4db0-ba88-9b7dec06b59e","","pass","","folder","TRUE","FALSE","FHC-ITP-008 - Stormwater Drainage"
"3e50b0a9-de78-48a6-a549-eea16001fccd","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0328 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-01"
"d747762e-0d85-4dea-913d-8d0ac944a9d7","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0329 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-02 "
"22a483f3-f1d7-4319-8f85-6807d9c65c15","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0330 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-03.r1"
"19ae39dc-7196-40d5-bd01-b5da96b9388b","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0331 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-04"
"cb8769fe-b5b4-41cc-93ab-45403d656d21","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0332 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-05"
"70bc4ef2-2380-4d23-9fee-f67861e1d1f0","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0333 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-06"
"1ed41c1b-b0f3-4e76-8d17-b41dd90e2bb1","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0334 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-07"
"17fb4543-0f6d-469c-a60d-f9f03d15df67","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0335 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-08"
"9e30ac3d-4eb5-4649-b047-199cbd825885","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0336 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-09"
"dc2e8cd3-7cd5-4145-8fa3-95331f47349a","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0337 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-10"
"a434772a-1140-41d1-8bd1-31477796562c","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0338 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-11"
"2d28328b-5a0d-498e-81a4-90a3137fa3a4","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0339 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-12"
"e587d110-cbb8-4e08-af0b-64523bd9ac37","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0340 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-13"
"7360fec7-4b47-4710-bceb-641d3fd3a259","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0341 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-14"
"93e5c66c-450e-4ed4-a7b6-a8819d3113e4","","pass","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0342 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-15"
"c132d8d4-81f7-4a87-8186-80b7079393dc","","pass","FHC-ITP-009 - Profiling Rev1","checklist","FALSE","FALSE","FHC-ITP-009 - Profiling"
"67d8a266-10a8-4bd8-b2b0-38199de1a273","","pass","","folder","TRUE","FALSE","FHC-ITP-011 - Subgrade Remediation"
"98c07ea7-b482-4619-bd55-1c9cf1a13099","","pass","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - Subgrade Remediation","	708-0433 - LOT 1 - Subgrade Remediation Works "
"78dcf68c-7394-4606-adae-a54191369d29","","pass","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - Subgrade Remediation","	708-0434 - LOT 2 - Subgrade Remediation Works "
"e07c9fc5-a4c5-4e29-b89b-d17cba208e6a","","pass","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - Subgrade Remediation","708-0435 - LOT 3 - Subgrade Remediation Works "
"116786d6-1ed3-414b-bb19-1cad85e94d5a","","pass","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - Subgrade Remediation","708-0436 - LOT 4 - Subgrade Remediation Works "
"899bcd3a-368f-418d-bfa9-883aa762de77","","pass","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - Subgrade Remediation","708-0440  - LOT 5 - Subgrade Remediation Works "
"2499ee29-8771-4a21-8fc8-893d579c5a7c","","pass","","folder","TRUE","FALSE","FHC-ITP-011 - Class 4 Crushed Concrete"
"47321ba1-7a20-43fb-b8e3-daededa6c393","","pass","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - Class 4 Crushed Concrete","708-0302 - LOT 1 - Class 4 Crushed Concrete "
"4b7f1a12-385b-4bd8-9ef4-0b6af4b3af0b","","pass","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - Class 4 Crushed Concrete","708-0303 - LOT 2 - Class 4 Crushed Concrete "
"f5298148-d5ba-47fd-9a85-fb888b6415ee","","pass","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - Class 4 Crushed Concrete","708-0304 - LOT 3 - Class 4 Crushed Concrete "
"438c4476-8b8e-4d09-8d0d-3ad1725217eb","","pass","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - Class 4 Crushed Concrete","708-0305 - LOT 4 - Class 4 Crushed Concrete "
"19d2761c-5baf-4d39-9d58-ed11c4e8fbc2","","pass","","folder","TRUE","FALSE","FHC-ITP-014 - Subsoil Drainage"
"083ac29d-81cb-4a86-a14a-bc2f599f0bf0","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0378 - Subsoil Drainage - FHC-ITP-014-01.rev1"
"7339b606-1f10-4d8e-ad2f-835d3a2ac8e8","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0379 - Subsoil Drainage - FHC-ITP-014-02.rev1"
"29364d9e-39fa-48c0-883e-0f1a8155b7da","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0380 - Subsoil Drainage - FHC-ITP-014-03.rev1"
"217d093f-d42d-4a46-b196-95b5f52fd5fc","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0381 - Subsoil Drainage - FHC-ITP-014-04.rev1"
"5d0e8fd6-bb48-4bdc-87e5-5e56ef19288f","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0382 - Subsoil Drainage - FHC-ITP-014-05.rev1 "
"7c011018-c846-4118-a443-b80343e51fa7","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0383 - Subsoil Drainage - FHC-ITP-014-06.rev1"
"a0f5d033-4b14-4c5e-b3b9-bdc1d7f4f4de","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0384 - Subsoil Drainage - FHC-ITP-014-07.rev1"
"e052d77c-df27-4061-a52a-71ebff568c37","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0385 - Subsoil Drainage - FHC-ITP-014-08.rev1"
"790dc6f4-e762-4539-89ae-1a0a294d67db","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0386 - Subsoil Drainage - FHC-ITP-014-09.rev1"
"ab442cef-3096-436e-aebf-8b1890f08c70","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0447 - Subsoil Drainage - FHC-ITP-014-10.rev1"
"b234ffc6-ea45-4b5d-a9b7-0fa84eda6212","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0451 - Subsoil Drainage - FHC-ITP-014-11.rev1"
"9535de3c-2205-4dc2-a742-02db097f22e8","","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0452 - Subsoil Drainage - FHC-ITP-014-12.rev1"
"17b8196d-26d4-4074-ba98-fac5f48bdc96","","work-in-progress","","folder","TRUE","FALSE","Electrical and OCS Works"
"5bad62e7-b94b-496c-bd0f-8b71acdf1001","","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","Electrical and OCS Works","	708-0348 - Electrical - Bus Interchange - FHC-ITP-023 - Lot 1"
"8a67727e-5ee1-41c0-bd04-4c3dce50e340","","work-in-progress","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","Electrical and OCS Works","708-0349 - Electrical - Bus Interchange - FHC-ITP-023 - Lot 2"
"15a16110-0cc8-47ea-8609-c50aea8d354a","","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","Electrical and OCS Works","708-0350 - OCS Conduits - Bus Interchange - FHC-ITP-023 - Lot 1"
"27738c7b-2bdf-4309-8955-4762299e0c7d","","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","Electrical and OCS Works","708-0351 - OCS Conduits - Bus Interchange - FHC-ITP-023 - Lot 2"
"53a27a23-a5c9-459e-83b5-eb33ea6ec71e","","pass","FHC-ITP-039 - Hearing Loops (AFILs) Rev1","checklist","FALSE","FALSE","Electrical and OCS Works","FHC-ITP-039 - Hearing Loops (AFIL)"
"06ef98f4-6efd-4c86-ba3d-a79109657246","","pass","","folder","TRUE","FALSE","FHC-ITP-027 - Pole Footings "
"363963b3-4639-4782-a610-0693688755e1","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0392 - Pole Footings - Bus Interchange - FHC-ITP-027-01"
"cd910132-0197-496e-b160-ef705eae40d1","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0393 - Pole Footings - Bus Interchange - FHC-ITP-027-02 "
"a89d7ebe-339b-4246-a4a8-14d8dbea64ca","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0394 - Pole Footings - Bus Interchange - FHC-ITP-027-03"
"c5667b3c-ecdd-4283-a0bd-801337cf51af","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0395 - Pole Footings - Bus Interchange - FHC-ITP-027-04"
"cd67f5f6-b6ac-4a51-98d0-a7bf7fb9dacd","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0396 - Pole Footings - Bus Interchange - FHC-ITP-027-05 "
"a3ecbad8-2917-4a38-a953-f003b55478db","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0397 - Pole Footings - Bus Interchange - FHC-ITP-027-06"
"f5b05f3e-636d-4415-9ae4-6cc0c972c6be","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0398 - Pole Footings - Bus Interchange - FHC-ITP-027-07 "
"a943649f-4d92-41c8-9a60-6696aec77ce1","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0399 - Pole Footings - Bus Interchange - FHC-ITP-027-08"
"00fd90fa-719d-48bd-bc49-72ce303a2ebf","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0400 - Pole Footings - Bus Interchange - FHC-ITP-027-09 "
"084ea450-154a-49a7-997b-1c74f24509c9","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0401 - Pole Footings - Bus Interchange - FHC-ITP-027-10 "
"0484906b-1a19-4f49-ad7b-1a63fc6f41b0","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0448 - Pole Footings - Bus Interchange - FHC-ITP-027-11  "
"6de6a25d-9784-4169-941b-1eb047b6c8f6","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0449 - Pole Footings - Bus Interchange - FHC-ITP-027-12 "
"8dcda807-d697-45d3-95cd-46d367890aa2","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0450 - Pole Footings - Bus Interchange - FHC-ITP-027-13 "
"6b661c47-25b4-4d00-8925-83f4d932b438","","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0465 - Pole Footings - Bus Interchange - FHC-ITP-027-14 "
"19aa83e4-c611-41b5-9d93-7fa283193acc","","work-in-progress","","folder","TRUE","FALSE","FHC-ITP-015 - Kerb and Channel"
"b00abeb7-706c-4170-b913-533e5c2c6a22","","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0368 - Lot 1 - Kerb and Channel"
"41707d53-010f-47fe-a950-e245c1742f29","","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0369 - LOT 2 - Kerb and Channel "
"b4d2de65-ee40-426c-b5a4-ce6968106b24","","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0370 - LOT 3 - Kerb and Channel "
"173eabba-ad3d-4841-aded-e5e0d4674f33","","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0371 - LOT 4 - Kerb and Channel"
"b90c9f56-51ef-43a8-89f3-b7be047a3510","","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0373 - LOT 6 - Kerb and Channel"
"12ed3043-28db-4a26-a606-1468fe7e9027","","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","FHC-ITP-015 - Kerb and Channel Rev2"
"7170b86b-cd0f-414d-bd74-b64192a02790","","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","FHC-ITP-015 - Kerb and Channel Rev2"
"44d83167-34c5-42e7-9a49-932768d46dcd","","pass","","folder","TRUE","FALSE","FHC-ITP-012 - Asphalt"
"ca971eaf-d6ce-46f5-b4a8-a735adf885d4","","pass","FHC-ITP-012 - Hot Mix Asphalt Placement Rev2","checklist","FALSE","FALSE","FHC-ITP-012 - Asphalt","708-0421 - Asphalt Placement - FHC-ITP-012-01"
"62876c33-97aa-4934-9a77-30f1d917a9fe","","pass","FHC-ITP-012 - Hot Mix Asphalt Placement Rev2","checklist","FALSE","FALSE","FHC-ITP-012 - Asphalt","708-0422 - Asphalt Placement - FHC-ITP-012-02"
"1289b244-1011-4028-ba84-56aee902b50a","","pass","","folder","TRUE","FALSE","FHC-ITP-013 - Concrete Footpath"
"46cd847c-bab2-4109-aa62-7945824c4820","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0402 - Concrete Footpath - Bus Interchange - FHC-ITP-013-01"
"29bfbe8d-4cde-43f7-bb15-73356acae243","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0403 - Concrete Footpath - Bus Interchange - FHC-ITP-013-02"
"7041f026-05ce-46c4-9926-54b657f629da","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0404 - Concrete Footpath - Bus Interchange - FHC-ITP-013-03"
"32daa6df-2f41-4c6a-8861-459de0a40562","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0405 - Concrete Footpath - Bus Interchange - FHC-ITP-013-04"
"2da8faa3-0b4f-4cc7-b6e7-dade84b34596","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0406 - Concrete Footpath - Bus Interchange - FHC-ITP-013-05"
"1bfd6113-4558-44b0-908c-fef0c61e3886","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0407 - Concrete Footpath - Bus Interchange - FHC-ITP-013-06"
"d2ca9a7a-56fa-4c16-8107-78a124e1eb46","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0408 - Concrete Footpath - Bus Interchange - FHC-ITP-013-07"
"98e5c90c-1e8b-438e-9bdb-39d8de92f674","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0409 - Concrete Footpath - Bus Interchange - FHC-ITP-013-08"
"9643cd75-19db-4a5a-9c17-eef9565acebe","","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0410 - Concrete Footpath - Bus Interchange - FHC-ITP-013-09"
"90f8e6c1-6934-4492-9a00-0ce39901451d","","pass","","folder","TRUE","FALSE","FHC-ITP-025 - Bike Facility"
"4eb1ffeb-47f5-4d28-a050-8e7468e68569","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-025 - Bike Facility","708-0453 - Bike Facility Footings - Bus Interchange - FHC-ITP-025"
"b4f84a5c-56d1-44e6-9e50-26fda1867750","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-025 - Bike Facility","708-0453 - Bike Facility Slab - Bus Interchange - FHC-ITP-025"
"f3055908-fa57-4693-85bb-77721d3152c5","","pass","","folder","TRUE","FALSE","FHC-ITP-025 - Bus Shelter"
"8b604374-4f70-4f3e-85fd-dd07ba67e9d5","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-025 - Bus Shelter","708-0457 - Bus Shelter Footings - FHC-ITP-025-01.r1"
"f1fd6d8d-1766-4510-9eb3-92a0391b334c","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-025 - Bus Shelter","708-0467 - Bus Shelter Footings - FHC-ITP-025-02.r1"
"b1a2be29-aa57-43c1-94f0-3838cd0294a4","","pass","","folder","TRUE","FALSE","FHC-ITP-025 - PID Footings"
"e6cd8053-c2c4-41e0-9082-e49f3bbf7293","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-025 - PID Footings","708-0458 - PID Footings - Bus Interchange - FHC-ITP-025-01"
"33ab4712-51e2-4bb0-88ee-c66fbe4f9b02","","pass","","folder","TRUE","FALSE","FHC-ITP-19 - Line Marking"
"4281af75-ba71-4906-b12d-bae14f54dc2d","","pass","FHC-ITP-035 - Line Marking Rev2","checklist","FALSE","FALSE","FHC-ITP-19 - Line Marking","708-0417 - Line Marking REV2"
"c4903cbb-9f5a-4947-b9e3-c54c73e8e917","","pass","","folder","TRUE","FALSE","FHC-ITP-036 - Bus Bay Concrete Slab"
"faa8e97f-1ae7-4af6-b89d-4ba80c95a300","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-036 - Bus Bay Concrete Slab","	708-0459 - BI - Pavement Type 3: Bus Interchange Concrete Pavement -01 "
"6fdbad38-7650-4c0b-a924-9e393b092654","","pass","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-036 - Bus Bay Concrete Slab","708-0460 - BI - Pavement Type 3: Bus Interchange Concrete Pavement -02"
"c100ed7b-dfe9-4a68-853b-501b3fbe95c6","","pass","","folder","TRUE","FALSE","Omni Bollards "
"3a57f99f-9231-4532-bd20-89c9ccc90f55","","pass","FHC-ITP-025 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","Omni Bollards ","708-0462 - Omni Bollards Footing - Bus Interchange - FHC-ITP-025 - Lot 1 "
"5f50691f-2ebd-4c6c-89f4-612ae08cc08e","","pass","FHC-ITP-025 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","Omni Bollards ","708-0463 - Omni Bollards Footing - Bus Interchange - FHC-ITP-025 - Lot 2 "
"63f7ecea-4668-4a8e-90e3-d997868bbaa7","","pass","","folder","TRUE","FALSE","Furniture"
