"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"71b3c20a-c8f2-4eac-bc3b-397a7ee6ec84","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing & Grubbing"
"277d62bf-3d0b-4cb1-9e9b-f3f2c33b8f6d","","pass","ITP-01-004 - Type A Fill Placement","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill placement","702-0020 - CSP - Earthworks - Type A Fill Placement - FHC-ITP-004 - Lot 03"
"b9a92743-df9b-4ece-a538-0da91f372391","","pass","ITP-01-004 - Type A Fill Placement","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill placement","702-0021 - CSP - Earthworks - Type A Fill Placement - FHC-ITP-004 - Lot 04"
"03a3b309-340b-49f6-9628-cc6624c8c199","","pass","","folder","TRUE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock"
"6717e4db-d634-441f-82a2-de471f7bc141","","pass","ITP-01-005 - Class 2 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","702-0119 - CSP - Pavements - Class 2 Crushed Rock - FHC-ITP-005 - Lot 01"
"9ef024d2-e335-4b8b-b110-b2aa739bdc74","","pass","ITP-01-005 - Class 2 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","702-0120 - CSP - Pavements - Class 2 Crushed Rock - FHC-ITP-005 - Lot 02"
"4b0b4e65-f115-4952-9758-b53478dd1428","","pass","ITP-01-005 - Class 2 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","702-0121 - CSP - Pavements - Class 2 Crushed Rock - FHC-ITP-005 - Lot 03"
"9380cfdf-d54e-411a-806a-4b0c4ba7ebec","","pass","ITP-01-005 - Class 2 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","702-0113 - CSP - Pavements - Class 2 Crushed Rock - FHC-ITP-005 - Lot 04"
"63bfe9b2-0d69-4ef6-8a63-e91957dccc93","","pass","ITP-01-005 - Class 2 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","702-0114 - CSP - Pavements - Class 2 Crushed Rock - FHC-ITP-005 - Lot 05"
"1e4429c9-8e71-45cc-85bd-4dbae153cf64","","pass","ITP-01-005 - Class 2 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-005 - Class 2 Crushed Rock","702-0115 - CSP - Pavements - Class 2 Crushed Rock - FHC-ITP-005 - Lot 06"
"0bc7b6c4-ed1a-43b6-80ff-a66557e0ec40","","pass","","folder","TRUE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock"
"15be44a8-01d1-4551-899d-4b4a0ed53150","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0071 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 01"
"14366517-c2d4-4228-b766-f5641765662e","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0072 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 02"
"6daecfed-0d69-4e82-ab36-df17dc297889","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0073 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 03"
"da38b4be-74d3-4efc-9f95-768351f918a2","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0074 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 04"
"e466aa61-e78c-4e37-b027-c6941e78ef88","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0075 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 05"
"40641a2f-adbe-404b-a2e3-a4f860949f15","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0075 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 06"
"f73ff998-dcbc-4bce-9460-b07d3a2682be","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0077 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 07"
"6dae210a-b55f-4b95-8e87-aa160205033a","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-0078 - CSP - Pavements - Class 3 Placement - FHC-ITP-006 - Lot 08"
"4b179674-fdfa-4247-8d17-a1a2320df8f7","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-00150 - CSP - Pavements - Class 3 - Access Track - FHC-ITP-006 - Lot 09"
"e3dc119c-e2f6-4024-b043-1838e3139d27","","pass","ITP-01-006 - Class 3 Crushed Rock REV2","checklist","FALSE","FALSE","FHC-ITP-006 - Class 3 Crushed Rock","702-00151 - CSP - Pavements - Class 3 - Access Track - FHC-ITP-006 - Lot 10"
"a46b2434-9bb1-412d-9489-76406095c603","","pass","","folder","TRUE","FALSE","FHC-ITP-008 - Stormwater Drainage"
"4f86de6b-a660-4ecd-ad18-5809229ba55f","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0025 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 01"
"1617f90f-1edd-4c8d-afaf-34c82004b589","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0027 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 02"
"773764e4-d452-4bd5-b300-3b7f58740612","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0029 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 03"
"897077b3-b14c-470c-a9f9-7f381d2352f3","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0030 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 04"
"6a153d87-e633-45e1-93a1-45248a18b762","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0034 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 05"
"f86166dd-2e73-4761-b067-3a134a6740ac","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0035 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 06"
"3a01e007-77f4-4406-a1c3-4b5f89d4cd8c","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0036 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 07"
"6277e368-2121-4520-8c57-35ca27a3f1e6","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0038 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 08"
"b65e9dd1-0160-4676-894e-0365d3fb5f9b","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0039 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 09"
"087bfc0c-21ca-40a3-ba81-ff745a0b60ba","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0045 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 10"
"166bb2bb-2b89-4487-a1e3-bbde1764a0b9","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0046 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 11"
"6b2c4085-0344-436a-a78e-552358ceea84","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0047 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 12"
"26368aa9-f1f4-43d6-84c7-cf66973420f2","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0048 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 13"
"cbbf7f25-60e4-4811-bd5e-534efd37510a","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0049 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 14"
"8cc047d6-56d6-48f2-9d6c-95ae02e90570","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0050 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 15"
"a1c6c4fd-983c-4fdd-9625-bf3457e3d831","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0051 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 16"
"4e8984be-0e8a-4e6c-a8fc-575162110951","","pass","ITP-01-008 - Stormwater Drainage (carparks) REV3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","702-0111 - CSP - Drainage - Stormwater Drainage - FHC-ITP-008 - Lot 17"
"5950e1c3-ade7-4380-a1ae-b3ba0f9271b2","","pass","","folder","TRUE","FALSE","FHC-ITP-012 - Hot Mix Asphalt"
"bcd0fe0f-12c7-4fb4-9f22-b52f0da7b57a","","pass","ITP-01-012 - Hot Mix Asphalt","checklist","FALSE","FALSE","FHC-ITP-012 - Hot Mix Asphalt","702-0104 - CSP - Asphalt - FHC-ITP-012- Lot 01"
"20a46087-df71-4fba-8f4d-579658418650","","pass","ITP-01-012 - Hot Mix Asphalt","checklist","FALSE","FALSE","FHC-ITP-012 - Hot Mix Asphalt","702-0105 - CSP - Asphalt - FHC-ITP-012- Lot 02"
"bd3b12eb-a0e7-49c2-9972-f26811f5940f","","pass","ITP-01-012 - Hot Mix Asphalt","checklist","FALSE","FALSE","FHC-ITP-012 - Hot Mix Asphalt","702-0106 - CSP - Asphalt - FHC-ITP-012- Lot 03"
"7c46bce5-9b56-4ca4-bc83-afd88af361ed","","pass","ITP-01-012 - Hot Mix Asphalt","checklist","FALSE","FALSE","FHC-ITP-012 - Hot Mix Asphalt","702-0143 - CSP - Asphalt - FHC-ITP-012- Lot 04"
"a9d853e0-005b-4758-8939-360a63448323","","pass","ITP-01-012 - Hot Mix Asphalt","checklist","FALSE","FALSE","FHC-ITP-012 - Hot Mix Asphalt","702-0144 - CSP - Asphalt - FHC-ITP-012- Lot 05"
"c3b805a1-2fd8-46e2-affd-b65772c15b25","","pass","","folder","TRUE","FALSE","FHC-ITP-013 - General Concrete Paving"
"e4ff3db9-eab1-4588-bad8-eba182d85d58","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0084 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 01"
"d81d0553-f411-4650-9e4c-e596000bc7bc","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0090 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 02"
"b97e8c84-47cc-400a-8b72-69a0c7a266c5","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0107 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 03"
"9ea69b82-a810-4a7a-bddf-26372bf72f0c","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0108 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 04"
"69096d09-da1f-4f7a-afa1-65bf98e3dbc9","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0109 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 05"
"0124e7b7-5d7e-4ab1-b5eb-2c2e9d105f3c","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0110 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 06"
"0eba5ec4-9b45-4fac-84d6-3c8090dfaf3f","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0118 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 07"
"3579a939-aaaa-4630-b197-8fdf1eb2fd45","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0124 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 08"
"18524d44-486d-47c7-8444-478f79cd7c42","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0127 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 09"
"0e181771-57fd-49a7-bec8-572f4f35df94","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0128 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 10"
"ad3eea54-7135-4bf3-b210-b5c43c7fa4b0","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0129 - CSP - Pavement - General Concrete Paving - Plinths - FHC-ITP-013 - Lot 11"
"23146803-b71e-4124-b8d5-5b2eeb54c881","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0134 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 12"
"67bab275-4538-4685-a31d-0292c1c80caa","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0142 - CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 13"
"f955b5ba-4c8c-4f20-8b01-0836006fedc3","","pass","ITP-01-013 - General Concrete Paving REV1","checklist","FALSE","FALSE","FHC-ITP-013 - General Concrete Paving","702-0147- CSP - Pavement - General Concrete Paving - FHC-ITP-013 - Lot 14"
"ce2e4e72-4266-461e-8ccf-7bea543a73ad","","pass","","folder","TRUE","FALSE","FHC-ITP-014 - Subsurface Drainage"
"7ffde6a4-35bc-46f4-a2fb-c9f32b311dc2","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0022 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 01"
"9204718d-9d89-4240-99cb-1e00e4b4c1fd","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0023 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 02"
"20f4e4f2-94bd-472d-a21a-44f5c6c2df08","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0024 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 03"
"2577f1d8-2744-4686-9900-a33151618852","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0026 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 04"
"cd9116e7-b012-4640-bd83-d27e5f03647e","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0028 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 05"
"471966f3-19b5-4c68-be56-b64c5d4e0fdd","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0031 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 06"
"92124862-6183-45a3-81ab-cc36095ed97f","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0032 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 07"
"84bf9b00-7525-460b-ac86-af5e6dc2cb9e","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0033 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 08"
"5c26ebfa-c479-4723-b80a-b3395261729b","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0037 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 09"
"f44c2550-5841-4696-8215-4273b78443dc","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0052 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 10"
"460fa096-c03a-4328-9000-db0c99720a63","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0053 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 11"
"73010ec3-4b09-4f99-9860-7e13cf338b2f","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0054 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 12"
"71ae0824-73a7-4d65-9c8b-9e81aee3c4fb","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0055 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 13"
"917f7bbf-ed6d-4324-9a11-12a932cd32e6","","pass","ITP-01-014 - Subsurface Drainage REV2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsurface Drainage","702-0056 - CSP - Drainage - Subsurface Drainage - FHC-ITP-014 - Lot 14"
"ae23263b-ea4e-4023-ac18-9a806df6de5d","","pass","","folder","TRUE","FALSE","FHC-ITP-015 - Kerb and Channel"
"224e7812-4bbb-4193-b181-a1c7ac028800","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0089 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 01"
"13212388-4bbb-4cdf-9992-2701ae161939","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0091 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 02"
"cc5e6e7a-b32b-433b-bbca-152fc7ba957d","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0092 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 03"
"e0552f6c-ab97-4981-bbc4-3ee43d29ff99","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0093 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 04"
"42650e6b-7f07-4e71-96d8-d655f8b275c7","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0094 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 05"
"05ce948a-cf96-4979-a8a5-c35177793a14","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0095 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 06"
"eb4dfd59-cc28-4d45-a301-6dba2ea677f0","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0096 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 07"
"7a9d9e03-a467-4df7-b7be-af852b459acd","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0097 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 08"
"be4a0f18-6164-4bab-94bb-74bc8041581a","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0098 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 09"
"8c84c9f1-c68a-4f77-abc8-f8806e13f4d0","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0099 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 10"
"63aa8b01-bf7e-4a3c-b5cc-e0cfa63091c1","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0100 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 11"
"a344e95a-6348-4b92-ba9b-9aadc779e7ce","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0101 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 12"
"634d43d9-94b8-4a8a-b89f-ae9da92087d4","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0102 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 13"
"afa3c1a8-72cb-4ad7-8d0c-d1c40302fa4d","","pass","SYS - ITP-01-015 - Kerb and Channel REV2 (old version)","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0103 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 14"
"d5f20296-53d8-4c36-bfd7-1d0df5efd909","","pass","ITP-01-015 - Kerb and Channel REV2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0130 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 15"
"d9446828-af65-44a4-8e75-4c81b1d692d5","","pass","ITP-01-015 - Kerb and Channel REV2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","702-0133 - CSP - Pavement - Kerb & Channel - FHC-ITP-015 - Lot 16"
"f3b95398-2f4d-4e76-bb9d-89c59975960a","","pass","","folder","TRUE","FALSE","FHC-ITP-016 - Sign Installation "
"834053af-fbd2-44d3-b197-21d0cd756986","","pass","ITP-01-016 - Sign Installation","checklist","FALSE","FALSE","FHC-ITP-016 - Sign Installation ","702-0122 - CSP - Sign Installation - FHC-ITP-016 - Lot 01"
"cd59f079-ec3b-4022-9fd3-bef985973b8e","","pass","","folder","TRUE","FALSE","FHC-ITP-017 - Basin Construction"
"09c828c3-49ae-417a-8fa0-bb2fd2e61738","","pass","FHC-ITP-017 - Basin Construction","checklist","FALSE","FALSE","FHC-ITP-017 - Basin Construction","702-0152 - CSP - Detention Basin - FHC-ITP-017 - Lot 01"
"4b26041a-5e40-416f-90e5-7be6bc619afc","","pass","","folder","TRUE","FALSE","FHC-ITP-018 - Landscaping"
"e34852d2-2420-4fa4-875f-8bdcbf0d19ab","","pass","ITP-01-018 - Landscaping","checklist","FALSE","FALSE","FHC-ITP-018 - Landscaping","702-0123 - CSP - Landscaping - FHC-ITP-018 - Lot 01"
"7b7b4c6f-6abb-48c9-925c-c1d3832cb120","","pass","","folder","TRUE","FALSE","FHC-ITP-019 - Linemarking"
"8ef09845-c544-4fdc-8c26-7e462cdf80d1","","pass","ITP-01-019 - Line Marking REV2","checklist","FALSE","FALSE","FHC-ITP-019 - Linemarking","702-0145 - CSP - Linemarking - FHC-ITP-019 - Lot 01"
"2d06dc16-7f46-4c8a-a4b2-a60e73054f06","","pass","ITP-01-019 - Line Marking REV2","checklist","FALSE","FALSE","FHC-ITP-019 - Linemarking","702-0146 - CSP - Linemarking - FHC-ITP-019 - Lot 02"
