"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cf0e2ad-49e3-4f5b-b64b-366618425281","","pass","","folder","TRUE","FALSE","ITP-005 - Drainage"
"35ebf020-5a30-4180-ac61-b9bd7bdc9015","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","ITP-049-NPD Shear Stud Welding","Lot 1"
"931c7fb5-981a-44da-8f37-8b702603cbd5","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","ITP-049-NPD Shear Stud Welding","Lot 2"
"c4b27e17-d389-4f33-9c0d-852e4cc92da6","","pass","","folder","TRUE","FALSE","ITP-050 - NPD - Structural Steel Installation "
"f2eb7a8f-f317-45d6-92aa-0cd804cd69a2","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 0"
"94135a28-94bc-4db9-a5e7-6d33527db507","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 1"
"50931297-b9a8-4b70-bba6-eea8beeb67d5","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 2"
"097b7d96-ee14-44cc-b0bc-fa77d3e5587c","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 3"
"ccb11fdd-43da-4670-b685-b7420d1dedb2","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 4"
"fd53a4b8-6644-4d26-bb8d-204efa25ca23","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 5 - Wall Purlins"
"5779b205-97a8-4f92-ae90-93c78ee0a951","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 6 Roof Purlins"
"bc64193c-6acc-4a7a-bd9c-272b14a20416","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 7 - Mezzanine Grating"
"93ad36d8-824d-4596-b09e-808b7a4a4bac","","pass","ITP-050 - NPD - Structural Steel Installation V2","checklist","FALSE","FALSE","ITP-050 - NPD - Structural Steel Installation ","ITP-050 - NPD - Structural Steel Installation - Lot 8 - Remaining Wall Purlins"
"5a61d526-d012-4ece-bdf7-95483bbe3d7b","","pass","","folder","TRUE","FALSE","ITP-099 - NPD - Sewer"
"a11ea681-6863-4268-9a14-a134a2d9c01c","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP-099 - NPD - Sewer","Lot 1 - Above Ground Sewer ITP"
"80c98bb4-457c-4c6f-b15e-7329b92e19a5","","pass","","folder","TRUE","FALSE","ITP - Roof Cladding"
"4d1df136-f8a3-4d2c-bcfe-a5c4c9945fe3","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Roof Cladding","Lot 1 - Roof Cladding"
"72f9f327-30de-45a2-8600-89a7a2ba78eb","","work-in-progress","","folder","TRUE","FALSE","ITP - Cold and Hot Water Service"
"4ccf1cd1-5324-4142-a7c1-ab038552d356","","work-in-progress","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Cold and Hot Water Service","Lot 1 - Water Service"
"d625ca8a-47e4-4a90-b786-c1f487d8720c","","work-in-progress","","folder","TRUE","FALSE","ITP - Air Service"
"00b7743d-1dae-44c9-b79c-d15e2a63e6f7","","work-in-progress","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Air Service","Lot 1 - Air Service"
"8735d9aa-f3c2-403d-bf68-8600eb368e47","","work-in-progress","","folder","TRUE","FALSE","ITP - Electrical Services"
"1a9406e3-0cc2-46c6-883c-b350a9f039a6","","work-in-progress","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Electrical Services","Lot 5 - Cable Tray"
"a47666c4-387b-4720-bcaa-d839825f9361","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Electrical Services","Lot 1 - Switch Board"
"13ab812a-4c74-40f6-9f53-5fd447b6a820","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Electrical Services","Lot 2 - Ground Floor Rough In"
"d94484f4-87a0-440e-baa1-fc1f877b0f5b","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Electrical Services","Lot 3 - Mezzanine Rough In"
"ab10202b-da60-49e8-a3ea-f3ad77c7fef7","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Electrical Services","Lot 4 - Level 1 Rough In"
"1ed5e277-c78a-4de4-b2c1-e85b8d4d2203","","pass","","folder","TRUE","FALSE","Mezzanine - Wooden Landings"
"a88b36c5-d115-4a39-9d22-fd76aad533d6","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","Mezzanine - Wooden Landings","ITP-099 - NPD - Mezzanine Wooden Landings"
"03d7d7ba-8d65-4abd-bc19-4ca4a06c1501","","pass","","folder","TRUE","FALSE","ITP - Roof Safety System"
"d51fead8-7870-4852-8da0-392ce0235049","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Roof Safety System","Lot 1 - Roof Safety System"
"9a56d80d-d1d2-4b52-8926-70897171359c","","pass","","folder","TRUE","FALSE","Internal Walls"
"a68bdede-8c02-4ba1-9d2a-afac8cb4bcf5","","pass","","folder","TRUE","FALSE","Internal Walls","Ground Floor"
"1bf87e7c-d6d1-4ba0-b353-76d3f1eac61e","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","Internal Walls","Ground Floor","ITP-099 - NPD - Ground Floor Wall Framing"
"30b6e33c-f86e-4937-9f60-00d34c1bf150","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","Internal Walls","Ground Floor","ITP-099 - NPD - Ground Floor Kingspan and Sarking"
"ad25fd1b-eb18-4ced-aefa-d0b169f3c052","","work-in-progress","","folder","TRUE","FALSE","Handrail"
"8420f5b2-c467-4b02-9807-7630ac551df9","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","Handrail","ITP-099 - NPD - Mezzanine Handrail Lot 1"
"a78c18c2-30a7-4504-b8a9-af2aac358de7","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","Handrail","ITP-099 - NPD - Mezzanine Handrail Lot 2"
"25ba64ec-05ca-471c-b64d-8039710a9889","","pass","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","Handrail","ITP-099 - NPD - Staircase Handrails"
"9ccd3cff-2fdb-4d1c-b87f-ab1d9280d013","","pass","","folder","TRUE","FALSE","Rigid Insulation"
"420eb629-0736-44fd-b6ef-ec788f731a1d","","pass","ITP-051 - NPD - Rigid Insulation Installation Rev1","checklist","FALSE","FALSE","Rigid Insulation","ITP-051 - NPD - Rigid Insulation Installation - Lot 1 - Suspended Slab"
"a0368104-0ac4-4268-9e14-1acc6a2ea0ca","","work-in-progress","","folder","TRUE","FALSE","ITP - External Walls"
"30644ac1-9a78-441a-88b7-f5c3e780729a","","work-in-progress","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - External Walls","Lot 1 - External walls"
"c1e06b20-6b5e-468d-852f-065a7f105762","","not-started","","folder","TRUE","FALSE","ITP - Fire Main "
"2544b9c3-2405-45e8-83b1-8da335f0e97a","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Fire Main ","Lot 1 - Fire Main"
"70c4a8b6-5389-4a46-a4fb-fe3d72b65fd9","","not-started","","folder","TRUE","FALSE","ITP - Window Flashings"
"239ae822-9a47-4a76-a6b0-5cda2fbcc9a2","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Window Flashings","ITP-099 - NPD - Universal Building"
"1b5157c5-75b7-470c-855b-3f8c756ca4bf","","not-started","","folder","TRUE","FALSE","ITP - Plumbing Fixtures"
"21b31d03-8fb6-49d4-9534-229ba69beb5e","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Plumbing Fixtures","Lot 1 - Ground Floor Fixtures"
"428bacf7-a4ec-4bcd-85df-639e16267551","","not-started","ITP-099 - NPD - Universal Building Rev1","checklist","FALSE","FALSE","ITP - Plumbing Fixtures","Lot 2 - Level 1 Fixtures "
