"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aca522eb-25dc-4497-8c3a-669ff7a69f92","","pass","","folder","TRUE","FALSE","Greensborough Stage 1"
"5e358ca9-6e64-4a3b-95a8-0f521f976e6c","","pass","","folder","TRUE","FALSE","Greensborough Stage 1","ITP-012 - Hot Mix Asphalt - Greensborough"
"966a455e-882b-4f0f-85a6-1396a5aa327d","","pass","FHC-ITP-008 - Stormwater Drainage - Greensborough Rev3","checklist","FALSE","FALSE","Greensborough Stage 2","ITP-008 - Stormwater Drainage - Greensborough","FHC-ITP-008 - Stormwater Drainage - Greensborough - Lot 04 - N2-2 to N2-1"
"ccbcb661-0a15-4155-9316-4da64e37f7b5","","work-in-progress","","folder","TRUE","FALSE","Greensborough Stage 2","ITP-013 - Concrete Paving"
"dc54ef79-1734-42bc-bf90-c76d44b6b991","","work-in-progress","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP-013 - Concrete Paving","FHC-ITP-013 - General Concrete Paving - South East Pram Ramp - 24/03/25"
"4722cc97-e8ed-4eaf-9a4a-42a971345e73","","work-in-progress","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP-013 - Concrete Paving","FHC-ITP-013 - General Concrete Paving - North Footpath - 24/03/25"
"96d4beaa-e9a3-4e06-be71-53ff282b715f","","work-in-progress","FHC-ITP-013 - General Concrete Paving Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP-013 - Concrete Paving","FHC-ITP-013 - General Concrete Paving - South West Footpath - 27/03/25"
"0bb2b479-5d6f-4c59-8e9b-609c4baaa4c7","","pass","","folder","TRUE","FALSE","Greensborough Stage 2","ITP - 012 - Hot Mix Asphalt"
"5df985e3-ce54-4de6-bebe-ff3c6ce64722","","pass","FHC-ITP-012 - Hot Mix Asphalt - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP - 012 - Hot Mix Asphalt","FHC-ITP-012 - Hot Mix Asphalt - Greensborough - Resheet"
"4ca439d6-1ff6-4fbe-9fea-bd0d4314ef2b","","pass","","folder","TRUE","FALSE","Greensborough Stage 2","ITP - 015 - Kerb and Channel"
"41086def-27f6-45a0-be03-73cda91356a3","","pass","FHC-ITP-015 - Kerb and Channel - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP - 015 - Kerb and Channel","FHC-ITP-015 - Kerb and Channel - Greensborough - South East Pram Ramp - 23/03/25"
"d141b885-fdbe-4e1b-8b62-435bf1a43d8c","","pass","FHC-ITP-015 - Kerb and Channel - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP - 015 - Kerb and Channel","FHC-ITP-015 - Kerb and Channel - Greensborough - North Kerb - 26/03/25"
"1739ef59-a22a-4fd6-86ea-27ac3dfc3489","","pass","FHC-ITP-015 - Kerb and Channel - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP - 015 - Kerb and Channel","FHC-ITP-015 - Kerb and Channel - Greensborough - South West Kerb - 26/03/25"
"ad8ee8ce-c8e3-4838-90ff-b153664f9f54","","pass","FHC-ITP-015 - Kerb and Channel - Greensborough Rev2","checklist","FALSE","FALSE","Greensborough Stage 2","ITP - 015 - Kerb and Channel","FHC-ITP-015 - Kerb and Channel - Greensborough - North West Pram Ramp - 25/03/25"
"f95d7115-88f1-4f81-913e-04e36d984507","","pass","","folder","TRUE","FALSE","Greensborough Stage 2","ITP - 025 - Structural Concrete"
"7a781d5c-27c0-4e7c-9006-31ab44889c40","","pass","FHC-ITP-025 - Structural Concrete Construction - Greensborough Rev1","checklist","FALSE","FALSE","Greensborough Stage 2","ITP - 025 - Structural Concrete","FHC-ITP-025 - Structural Concrete Construction - Greensborough Bus Apron - 23/03/25"
"ffcc8e2a-b17f-4219-8640-aa3b628b2332","","pass","FHC-ITP-029 - PVC TGSI Installation Rev0","checklist","FALSE","FALSE","Greensborough Stage 2","FHC-ITP-029 - PVC TGSI Installation"
