"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9fb3c1b1-c2c6-4a95-a1d0-4aeee55c937b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1"
"68aec99f-83a2-43e1-bb94-869d2a0bf106","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1"
"9bda954d-3006-44bd-a609-b421677eacec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Street Lighting & ITS"
"20120a25-7fff-4523-8a1b-28b38e43815b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Traffic Services"
"ba9aa3f2-b720-451f-8c3a-dab52ca5f971","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Landscaping"
"cfcbbf95-e0fd-45df-b479-73445a456504","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Water Supply & Wastewater"
"36ec697a-d2c0-462c-b96d-bb9b7a5bcdba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Shared User Path"
"af1ab094-f603-4a07-acdd-c9ed7e85e21c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3"
"2585d70e-c203-4562-8b99-9f3b79e227b6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Earthworks"
"2430ffc8-e28b-4afe-b23d-0bb7f26d791f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Stormwater & Drainage"
"1fe803f5-94ee-49f0-9bf8-c423b118df04","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Utilites"
"ea206b13-ce2e-4e36-b408-d67d693660b9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Concrete Works"
"4bf99e1c-343e-40a8-ae72-d51370e24d31","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Pavement"
"3e1fffd3-844b-4773-aab5-59189aa6466c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Surfacing"
"9978fa18-5962-4adb-9019-55d0c25be481","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Street Lighting & ITS"
"62f939f8-9c24-4ccd-b2fd-f5aaf6fee135","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Traffic Services"
"4a5462a6-cbdb-44b5-8e8f-fd007d02156c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 3","Landscaping"
"54ce3462-e3f0-4f3f-a0c0-06eb197a5fb1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4"
"6df7b453-c5d3-4af1-be95-598ea0eec66f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Earthworks"
"25ca7191-0330-492c-aeff-5e16fa8aa503","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Stormwater & Drainage"
"4e364bec-545d-4828-9b04-d4b9f5892aa0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Utilites"
"1f13bce0-4a09-4ada-9cc2-7c82cbd336d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Concrete Works"
"fa72294d-477d-4f63-b16c-886392a8436b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Pavement"
"9ed30004-4222-4624-81a5-c845f3b58123","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Surfacing"
"0e4b97ab-7303-4869-893d-982e7a3d13e9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Street Lighting & ITS"
"9d1493b7-fe2c-42d5-bd94-3a093f449b25","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Traffic Services"
"774f1503-c5b7-4204-a574-c75074c9c4ce","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Landscaping"
"c3de5016-aac1-4232-bf19-83e2d1df8426","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 4","Gas Main Protection Work"
