"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0c0916ac-851d-45b4-9811-956271837780","","folder-normal","pass","","step","TRUE","FALSE","Ground Floor"
"9050f3e8-7962-46a0-9bf4-c6f6c7afde93","","checklist-sectioned","pass","ea22e4aeebb78ea4fd01a2ed5eb93ed72f9b34bc9264347bd3ed59f2a13efa28","checklist","FALSE","FALSE","Ground Floor","Test 1"
"a74b07dc-4a30-4fa3-9023-86b00ca90648","","folder-normal","pass","","step","TRUE","FALSE","Mezzanine"
"9b948853-9e64-4ae0-a486-6de237425e45","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Mezzanine","M1P01"
"bb60e780-596b-48a4-afbe-a447c0642386","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Mezzanine","M1P02"
"85788d2e-87c4-4681-a052-6d898b540784","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Mezzanine","M1P04"
"d5d92ffb-6a13-4669-ab1d-8631e1c24be6","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Mezzanine","M1P05"
"f98147a8-a4e5-47ef-8498-f92b55ed77fc","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Mezzanine","M1P26"
"8cf9eef9-58af-499b-b2ab-6bc64b7635d6","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Mezzanine","M1P26(2)"
"bd1e3fb7-d267-4bb5-8a46-595bcb271736","","folder-normal","pass","","step","TRUE","FALSE","Level 1"
"d1bac8d2-03a1-42b6-821d-ea56482ffe81","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P03"
"348bccfe-560d-433e-89d0-b1e590121226","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P04"
"24f96c51-3253-4444-940e-eaeff8f133ca","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P05"
"70bcca3c-654d-4e2e-9ca6-52b796a6b7ec","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P06"
"05c00ebd-ec0c-44e0-bb03-296ccd45f500","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P07"
"14bdeef7-247e-442f-9c4b-1c83981eb951","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P08"
"3384c6a2-9961-4a57-b731-cc3ae6e598b1","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P09"
"b8a35269-4493-465f-918c-874162a0c56a","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P10"
"7eea59b9-2b1b-4cc6-a0f6-9cd1b93b278b","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P11"
"645a47f3-3801-406b-8c55-31df0fab86fb","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P12"
"0a2ceb88-e9c9-425d-8c20-18f912a26097","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 1","L1P13"
"1caa688e-cd96-4e91-b10a-7187882287b4","","folder-normal","pass","","step","TRUE","FALSE","Level 2"
"f85cd1c8-b72f-4747-91b0-42394ff058a4","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P11"
"89c5a76b-5d6b-4bf3-a475-1aa493180d8e","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P12"
"397a9e41-23aa-47f3-854c-6567c8e4c89e","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P13"
"bd8b8fd8-66f3-427c-af16-0a73ae13054f","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P14"
"0f7b0419-e3f7-4eb8-83b1-cf91a83f222a","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P15"
"165ac9ee-e270-4fac-8b59-6305472da909","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P16"
"09c0a5bf-1cad-4bbd-88a3-a73bfde5de89","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P17"
"cc01b9e4-6ed9-47dd-a9c7-683804d2f97b","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P18"
"8e230c42-19fc-4a83-8747-9c2f85ed4041","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P19"
"000d049d-6403-4afe-803a-656ce2571197","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P20"
"c6a27894-7c47-4874-b291-a8be59543108","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P21"
"12d2bd20-0181-4332-9ed4-3a71d0ee3393","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P22"
"db00df26-53b5-4b8b-83af-1f0b25e77616","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P23"
"be89af1d-5628-4714-98c6-da0db941d97e","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P24"
"75e35926-6828-47ad-a7b1-5be2fdf889c4","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Level 2","L2P25"
"974b58e4-ce71-41d2-a2a4-b96de2a436f0","","folder-normal","not-started","","step","TRUE","FALSE","Level 3"
"d261cafa-d5f4-4f0d-9d1c-bf3b1d5a58b7","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P01"
"4e2d8ca5-1ae2-487b-8202-fb05183d4f3c","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P02"
"43971dc1-d0cb-478a-8903-217464a1f012","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P03"
"ce1f8672-b383-414d-b4dc-2e79d9b173b7","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P04"
"95b36d95-9cb0-49da-824f-b91332c56e20","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P05"
"002875b8-827c-4a5a-a89e-7e95bbdc7179","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P06"
"42418780-346f-4a95-985f-128467a46a5f","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P07"
"f74f8499-d9d7-4e0b-871f-7b5eb11644bf","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P08"
"bfa1db06-ce2d-4e93-a2f5-da1b0ad9e685","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P09"
"3cf43727-96ea-43f5-bef9-8c97fe43a978","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P10"
"76385a19-452a-40e6-90a3-948ec62b9be0","","checklist-sectioned","not-started","Commercial Projects Checklist V3","checklist","FALSE","FALSE","Level 3","L3P11"
"02090e39-5c3e-4a03-8f86-02cee400b447","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 4"
"8dc6cfef-b7b0-4bc9-a921-5064b40f5cab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 5"
"faa0702f-1338-4c97-b2dd-d55d4e67734f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 6"
"afaa32d0-7bcb-4223-b7e4-2527d1983160","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 7"
"07714e3e-3a7d-46dd-bebe-8c4b5cd75e9b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 8"
"0b90748e-5d75-4a9f-9977-10f7bada03ce","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 9"
"3767f893-c335-4cf5-9d8b-7a5e463d3e79","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10"
"a4917300-84b9-4354-9b03-a6b5ec71ce53","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 11"
"f8bf458c-236c-4e4e-ae41-2e7cca124d56","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 12"
"e25e8675-a9b6-497e-ae99-173600c74227","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 13"
"396b1c4b-c25f-4e35-88e2-3098e7726f0f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 14"
"62fb11e4-3665-4b7c-bc31-b243caad9eac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 15"
