"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"827a4373-5870-46ab-891c-7e07b98712f4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"8740cefb-a74e-4ad7-a7ba-62d660576e9c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Lift Pit"
"939c13fe-f22d-427c-9e94-7ebe4cb56e9f","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 5","Male WC"
"392899b4-7714-4a83-b2ff-8e9c14463ffc","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 5","UAT"
"653cf769-8743-4441-bf0b-3a555fb04a99","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 5","Female WC"
"9941cc28-de83-45a2-a8b2-139de0b2697e","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 5","CLNR"
"1297beb6-c656-47d3-9b60-db9c5dc30fbd","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 5","Planters"
"be46d6ce-6a02-41e9-a5a5-8d9ec3368358","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"ea58844f-879e-412b-8b58-8e0d8b45608b","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 6","Male WC"
"77a8321e-3d08-49a5-910d-2c445adf8e9a","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 6","UAT"
"e05051eb-dbc6-4333-a669-1ba5c5cf8f10","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 6","Female WC"
"e2596a01-a274-43f5-a895-4fe15a33541a","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 6","CLNR"
"3a1ada07-5c2f-4100-b2fc-6a6ef0cb750e","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 6","Planters"
"24bf0b36-1b96-4381-8ea1-150cfa226d89","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"939be9ea-3e97-4886-b83d-80c2640d4ada","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 7","Male WC"
"3c77afa2-483c-4b5b-8bb6-035479619ef9","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 7","UAT"
"85324a43-8129-4227-9898-a3cbacd6432b","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 7","Female WC"
"23b0d219-6456-495b-b5ff-4b1cf7732bbf","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 7","CLNR"
"65d9eab7-177f-40ee-8900-b9c61c0ec9c8","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 7","Planters"
"a8c7b830-55b7-44a7-b8cc-56c2b74a5dec","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"3d7f770c-8440-417e-81a7-a6f0d5c2d775","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Level 8","Roof"
"13dfe956-db12-409c-85ef-f53d31b0458f","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Upper Roof"
