resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL013,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL014,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL015,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-BL016,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW017,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW018,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW019,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW020,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD167,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD168,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD169,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD176,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-SD175,,,,,,,,
Panel - Elevation Completion checklist,checklist,,,,,,Elevation - Final Sign Off,,,,,,,,
,step,,,,,Cladding,,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB071,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB072,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB073,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB074,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB075,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB076,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB077,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB078,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB079,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB080,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB081,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB082,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB083,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB084,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB085,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB086,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB001,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB002,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB003,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB004,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB005,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB006,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB007,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB008,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB009,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB010,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB011,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB012,,,,,,,,
Cladding completion checklist,folder-with-checklists,,,,,,L2-RB013,,,,,,,,
Panel - Elevation Completion checklist,checklist,,,,,,Elevation - Final Sign Off,,,,,,,,
,step,,,,South Elevation,,,,,,,,,,
,step,,,,,Panels,,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW021,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW022,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW023,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW024,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW025,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW026,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW027,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW028,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW029,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW030,,,,,,,,
Panel completion checklist,folder-with-checklists,,,,,,L2-WW031,,,,,,,,
