"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5a277702-44a7-4490-b58f-a1ea74baeff0","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"51cfdf67-1bf3-4b53-bb27-f26ee609ca0b","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/1"
"725ab941-48b6-4ef5-9032-b34947980025","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/5","Pre-Pour Checklist Strand"
"03501c61-7140-4ef1-8730-021e869592a4","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/5","Concrete Delivery Checklist"
"c0e7eb32-3f21-49e0-86c1-39676e8428dc","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/6"
"333ae9bc-cebc-4049-8daf-1a6515aa0bec","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/6","Pre-Pour Checklist Strand"
"35cca611-a336-4ec7-8969-27cd225c2400","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/6","Concrete Delivery Checklist"
"b8c10043-ee8a-4d4f-aff9-e21cd9c0d80d","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/7"
"a9c9bc22-cac6-4e7c-bda8-4b0d89366af6","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/7","Pre-Pour Checklist Strand"
"5c451ad9-3a57-48f3-b392-1bd72d660789","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/7","Concrete Delivery Checklist"
"3a1bcdb8-b622-4d68-a327-4451a72bab6e","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/8"
"b4d6dce5-ae38-4388-9f5b-7ef92507233c","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/8","Pre-Pour Checklist Strand"
"d6ea3741-dce4-403e-aab0-9035f063367c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/8","Concrete Delivery Checklist"
"9379606d-01b5-4082-b10a-93abc51da9fe","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/9"
"4dcd8f91-b78a-4612-83ed-94d391f78329","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/9","Pre-Pour Checklist Strand"
"db30abed-3bbd-41d8-b376-eacb3e550e40","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/9","Concrete Delivery Checklist"
"0653cd9d-e39c-451a-a934-c63e572203f5","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/10"
"0fc16631-ccbb-4fb5-9407-022469543621","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/10","Pre-Pour Checklist Strand"
"55a60828-8c60-44b0-87f6-dc4b697c95dc","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/10","Concrete Delivery Checklist"
"7254b06f-4db1-4842-85c9-6317dc92c004","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/11"
"a51284a5-99d4-45ba-8f8e-ea1cc243aad8","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/11","Pre-Pour Checklist Strand"
"ee9d77d2-7328-4428-b144-9fee010f00ee","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/11","Concrete Delivery Checklist"
"13a6518f-3810-48e8-8f7a-885faf0749be","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/12"
"bc09957c-4037-4f24-88a1-bbddfd4b54f4","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/12","Pre-Pour Checklist Strand"
"bda43323-5f6d-4427-887d-00ba298d0206","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/12","Concrete Delivery Checklist"
"298748dd-ef71-429b-9dc2-94b2f7aef588","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/13"
"73780f73-a066-4428-b593-0af43c6773a0","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/13","Pre-Pour Checklist Strand"
"7ebc08f6-6c55-4cd1-b128-4c91349b9316","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/13","Concrete Delivery Checklist"
"bfe9e5b0-43d6-40cf-8f35-1775d8e5e727","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/14"
"5a80a06d-902c-494a-959f-225c890b79d3","","not-started","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/14","Pre-Pour Checklist Strand"
"c95d625f-8bbc-4ad2-b267-facd4762ada3","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/14","Concrete Delivery Checklist"
"75dbad63-192f-4b19-bfbd-0b7f28835bad","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/15"
"9bafce6a-b22e-4286-8bf1-e90247f2be88","","not-started","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/15","Pre-Pour Checklist Strand"
"44e71cce-291e-4b33-8a3c-ebb7e418891a","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/15","Concrete Delivery Checklist"
"f74ecbbd-497d-406e-8839-c5618982d80a","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/16"
"6b19cc57-81d2-482e-bd3d-078d2f472529","","not-started","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/16","Pre-Pour Checklist Strand"
"ae81060f-0ac1-4da9-b390-e7071e2da9e9","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/16","Concrete Delivery Checklist"
"e40bb95f-51ad-440c-8c67-9f5939ee4e3c","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/17"
"6d31b031-6e78-4a0a-b251-2cbed2a04d49","","not-started","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/17","Pre-Pour Checklist Strand"
"323ff67c-29ae-4faf-bf34-381336a1239f","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/17","Concrete Delivery Checklist"
"509001e8-fd9c-4000-8c9e-eb07a52cdcc4","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/18"
"ba565691-9fcf-45a8-b1b4-03807ec4606d","","not-started","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/18","Pre-Pour Checklist Strand"
"18e81576-e311-4387-8c22-e429fc4e8e86","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/18","Concrete Delivery Checklist"
"90709bef-8b8e-4cb8-8893-242c6cabd890","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/19"
"de419ae5-5bfd-432f-9271-73ead37e052a","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/19","Pre-Pour Checklist Strand"
"63faf7b5-4150-4d59-83e9-7c227ff5a814","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/19","Concrete Delivery Checklist"
