"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"61cb45d8-220f-45e6-b156-67f50ba49821","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 10-E&W","Byford U-Beam Stage-2 Casting Checklist 10-W"
"1e8d89a2-cd38-4b4a-ae1c-8676254bdb98","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 33-E&W"
"bd5c28f9-9917-41ea-9e6e-692659667d8f","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 33-E&W","Byford U-Beam Stage-1 Casting 33-E"
"3774359c-f0b4-41c7-8146-aefaa551b621","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 33-E&W","Byford U-Beam Stage-2 Casting Checklist 33-E"
"175c1b8f-86ae-4400-ac75-049a3030dbff","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 33-E&W","Byford U-Beam Stage-1 Casting 33-W"
"b6946d03-7a45-4c77-bac4-47e9aa596107","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 33-E&W","Byford U-Beam Stage-2 Casting Checklist 33-W"
"a07e6a4f-264f-4157-a593-d6eb66b37a29","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 38-E&W"
"a9b6dcf7-1cec-488c-a400-5d68c8ffc2ed","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 38-E&W","Byford U-Beam Stage-1 Casting 38-E"
"e77229ab-aaa1-4423-83d6-5bdb515998ac","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 38-E&W","Byford U-Beam Stage-2 Casting Checklist 38-E"
"696f6a5d-58d5-49df-a54d-0b6dc8fbe1e8","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 38-E&W","Byford U-Beam Stage-1 Casting 38-W"
"f5e21f13-cbad-45a9-9ebd-229c5ed8e68f","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 38-E&W","Byford U-Beam Stage-2 Casting Checklist 38-W"
"c6dade1e-a715-44c8-91e8-5167dd05241b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 34-E and Beam 33-CE"
"17530d3a-15cb-462a-8212-c33aafcefb1f","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 34-E and Beam 33-CE","Byford U-Beam Stage-1 Casting 34-E"
"8ca206e1-8fce-41a5-b4ff-49b9c2f06e36","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 34-E and Beam 33-CE","Byford U-Beam Stage-2 Casting Checklist 34-E"
"e16bd55d-ee35-416c-84ed-12a7e73a3a9e","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 34-E and Beam 33-CE","Byford U-Beam Stage-1 Casting 33-CE"
"b141ee88-8b0c-4f12-bf8c-0427b6d1d915","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 34-E and Beam 33-CE","Byford U-Beam Stage-2 Casting Checklist 33-CE"
"93679e77-5009-41a5-bce5-30057f0ffc7e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 34-CE and Beam 34-W"
"fd2da95a-08f9-444e-aa18-104f6381f379","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 34-CE and Beam 34-W","Byford U-Beam Stage-1 Casting 34-CE"
"a1025218-63a8-41fc-ab60-8553ab89c106","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 34-CE and Beam 34-W","Byford U-Beam Stage-2 Casting Checklist 34-CE"
"ed7e6774-d452-4110-8fef-ccec42ecce68","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 34-CE and Beam 34-W","Byford U-Beam Stage-1 Casting 34-W"
"f2c54c9b-4c07-4fbe-a04a-e48de97426f3","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 34-CE and Beam 34-W","Byford U-Beam Stage-2 Casting Checklist 34-W"
"68e692f0-9e34-42d7-a2bc-d8ed3c68cb01","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Wungong Bridge B01-E&W"
"929a8080-c33a-4994-82ed-e1f333c054f9","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Wungong Bridge B01-E&W","Byford U-Beam Stage-1 Casting Wungong B01-E"
