Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,
e4bb1e5a-a8d3-49e4-bdf7-cd1b16dc0fd3,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 2,2C,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
10b0a38c-74f7-456a-a843-a0c863017cd6,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 2,2C,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
07a2126f-927a-4844-8b52-482a6aaab03e,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 3,3A,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
a64ced7a-8c4e-4392-b6da-2fdf38a2b47d,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 3,3A,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
88704f84-1330-44ce-aeea-81450b4b2578,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 3,3B,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
9416e756-f455-4332-9276-ff744141d5fb,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 3,3B,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
27fd6e4f-90a8-4e69-b13f-ba00bd572de7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 4,4A,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
d3a7bd5d-9205-4816-972f-49f4eef993f9,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 4,4A,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
fff6cf44-955c-4bc8-85f1-ce3cf1b067e8,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1D,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
3910131a-6692-498e-bb99-712695d35429,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1E,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
808a37ac-8984-4d2e-a9e0-af62e0cc0a52,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1F,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
2402a55b-4947-4d75-aa89-1ee6cb030e52,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1G,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
1f2bac96-cf11-4afd-bb53-e49bc6f46f99,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1H,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f283931e-c7b8-4d7b-841c-4a9fa5924c7c,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1I,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
4ac89530-c8a1-4198-8692-745ab96fdf93,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1J,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
788c384e-1d6e-4aac-a33c-70e241990ec1,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1K,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
78ff7eb2-b06d-4d27-b554-505d7b2ee7b1,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1L,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
b7bee05a-a1a4-480c-b676-0b5b1638fcbe,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1M,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
7d22270e-5fa3-4901-8269-b382433160a4,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1N,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
7a3be967-0cd4-4aa3-8c46-b4c9a3374978,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1O,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
b4af7497-abc6-4522-9bc9-d1c325008826,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1P,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
305402cf-99ac-4700-b076-79405076c6c3,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1P,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
5e9a1e30-d101-4cda-9aa3-ef13b1b3fead,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1Q,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
365380b5-9e4e-42b8-9aad-3b8aac6d6986,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1Q,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
3cd03f35-b6e1-4d1f-bb84-87afcfa9f51b,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1R,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
84823cb1-fd39-4f5a-942c-7757a6c5c5e6,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 1,1R,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
962b74fc-1e81-4733-b4df-664c133b8c4b,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2D,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
9db3bb68-bb25-4174-aa77-70a387f916b5,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2E,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
6334899b-bfe8-4340-b1ad-6b9f8055bf6a,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2F,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
e1e8440f-b968-467e-a15d-00cb2a212b44,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2G,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
d5ad855f-a185-4793-9883-b4de5991fd57,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2H,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f88bdd49-499b-487f-9eaf-a45a2eb95619,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2I,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
9514fe66-790f-41b1-b030-a8ed04fb979f,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2J,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
ae66d63e-e08d-417e-a0e4-521480ae4f55,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2K,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
4c822b98-c6d0-49ad-91b1-bb59bc1836f9,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2L,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f2ca4b9c-7cba-44a4-b7ab-5c39d5186ea7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2M,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
c43da04a-b94c-4d8b-b9d4-a44d1cd2bcee,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2N,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
07c5d687-8b9d-4c60-a23d-077138fbc809,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2O,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
321de934-2889-4ec5-be57-2b3808321baa,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2P,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
bd857639-1864-44c1-946f-5531e21e8146,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2P,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
e6fdfbee-3e12-4d78-901e-17fc99df6aeb,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2Q,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
e7b74267-9869-4359-a2c3-01d309660710,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2Q,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
e08ad005-2a2d-45ad-9c3b-efe2f55a8ec2,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2R,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
15ca4a08-7d91-432e-92d6-15fd6afdf662,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 2,2R,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
39db83d3-cf32-4e6f-b57e-590e7ed98292,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3C,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
9dd5b8c7-1910-4258-ae26-87ec2c7fcec7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3C,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
237b10c9-2430-4cce-8af7-0800a63012ed,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3D,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
3ad66bbd-1760-4fe5-8f20-c9eeb7bba839,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3D,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
7ee0d3b1-f52f-44f0-b037-7a40053d8722,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3E,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
8b1d81ec-5b4a-4343-831d-7f319e4dd260,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3E,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
fdd302ab-2e26-4168-886a-fff0da55686c,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3F,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
8e80ee04-a97e-4040-bcaf-159fbdeb4b20,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3F,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
4a1af4a4-3dcf-4fed-b7f7-8d395bbd571c,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3G,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
a395158d-70ff-4f45-a88f-6f2a4263961a,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3G,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
b0cef4ef-eeab-4f1c-994a-d66ba87868f7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3H,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
7af66605-9e2b-4eee-ad84-94ac31afa639,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3H,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
02f295ef-ca49-4341-87cd-bc0ddd052f95,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3I,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
dcc7cb32-e27c-4617-be55-2bcb7d2ef9ce,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3I,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
cb1a8f98-969a-4aec-89c3-07767fec4b95,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3J,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
af43abdc-8828-4657-8be7-cfdd968cf34f,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 3,3J,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
9fbd22a5-7515-4f97-99f8-a329bde57838,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4B,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
4aa7c148-7b1a-4157-8e7f-e2ebe6a483d4,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4C,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
c83fa84c-f7f5-4c68-8015-e06978454b37,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4C,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
29bae9d4-c765-4ab9-b9ad-604977e3491e,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4D,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
dc51cba4-341e-4d8d-a9d9-b8618d81322b,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4D,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
be8bdd95-3d5c-4daf-a9ab-082ccdc8617f,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4E,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
018b95a8-7b8b-4a20-8d4c-9a086897e086,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,Middle Block,Level 4,4E,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
05d8619f-01a5-49da-9c26-04ca82ac85a6,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Ground floor,GA (2 Story Unit),Bathroom - Ground Floor,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f2c8eb6e-361b-42a8-a578-b0c763e28710,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Ground floor,GA (2 Story Unit),Ensuite Master,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
110e2386-6eef-4461-aa10-2b8347109cba,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Ground floor,GA (2 Story Unit),Ensuite Bedroom 2,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
5e1f572b-b94b-4017-8822-e9538421045e,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Ground floor,GB,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
20d0c81d-f88b-45aa-9c20-474700589bc4,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Ground floor,GB,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f5bd2373-39d0-4647-af8c-76d26ba62db0,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 1,1S,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
a0cf0402-fbe7-4d2c-95d7-c274dded9b15,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 1,1S,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
610984e4-fd7a-432c-bcbd-998fcd496803,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 1,1T,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f35e3978-21ab-4bed-a2e9-af46f9eee6d2,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 1,1T,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
eb1f4ff5-e1a3-43f5-a8de-7edc6f1073d7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 1,1U,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
8d0cb50d-da78-44c8-83f0-588dc8cf5432,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 1,1U,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
9bc82f1c-4a86-4054-817a-8067008e217c,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 2,2S,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
ec4eee00-c1ba-4274-886b-2a7a9a0a4afe,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 2,2S,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
8d470b3b-4ff0-403a-ae92-410954034541,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 2,2T,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
66f23f02-3e1e-469d-a543-7978177d4c0f,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 2,2T,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
8448a28c-f75a-4c96-9323-9d2fcff4aceb,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 2,2U,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
be5e4946-af40-4968-8d94-71df6048942b,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 2,2U,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
e47cfaa4-3cdc-4f9c-a078-845f155c8f55,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 3,3L,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
7fd407aa-5bd3-4dfa-a9f4-d1f268025dac,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 3,3L,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
8bc654f9-47b4-4966-bdf6-a8026c2601db,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 3,3K,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
0aa240f5-ac39-4c2e-93fb-3448c6d9cdd8,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 3,3K,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f1f34bb8-43b1-4ff1-a67e-584861ce1166,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 4,4F,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
e7d78d5a-0c7f-44b4-8bca-a03e76aeba38,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,South Block,Level 4,4F,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
