"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1a0b0abc-59ef-4f24-ac73-a8760f8d6069","","fail","","folder","TRUE","FALSE","L3"
"af69179d-8a0e-4391-bc2b-0f415b14cfa6","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P41"
"b655c670-5d56-45a9-8679-790988792275","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P42"
"0d3c04b4-5e3f-453f-ae4f-ece6707dec38","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P43"
"27979531-36d0-41ca-a4ab-46d242312da4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P44"
"c1a34d7c-cdc7-4e77-a356-80f5b3e633df","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P45"
"b72c8d8b-1071-4d8a-a5a1-e1940d0c0a8b","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P46"
"4826b824-fc09-46d7-842e-c6ae3882c310","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P47"
"b2a2c7ac-08d4-4e68-8318-4f39fd9356e7","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P48"
"bde3f8c3-7fd1-4755-ab21-e67b868f0f8a","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P49"
"d3f25e53-c72b-456a-8b75-056515d6d8de","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P50"
"9725c2a9-a3f4-4667-83e8-0c3389f1daa8","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P51"
"d37677ad-b519-42e6-8be1-71add1fb07b3","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P52"
"7ea5f49a-e8df-4147-9f67-4fbce754144b","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P53"
"50263d7d-995c-44e3-92e2-1fdf001f6718","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P54"
"88586481-8ba7-4e0b-be13-5014c19e123d","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P55"
"61bf28fa-81f1-4894-bf60-31182e23aba4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P56"
"380f334e-8cde-40d1-8106-085571dd6860","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P57"
"8067f8f5-a590-4e82-baf4-98e5fe375f7e","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P58"
"234d0b05-872e-4412-9c8a-e517bb97202a","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P59"
"dc43f477-32c5-47c2-a8c9-b0860c561676","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P60"
"f809e336-5336-4547-be37-29d4b9252e7c","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P61"
"fd79179b-9019-4b5b-aa62-6cb0b7c947e2","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P62"
"9d13b4fe-ecee-4a61-b6b1-5c340520d8f2","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P63"
"d19e46dd-9e14-4b34-9434-c39edea03e82","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P64"
"5a156683-ad0a-4ca2-9f8a-3ff47a7679a7","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P65"
"cac72fbc-1d5a-4057-8337-d983ac54277b","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P66"
"bc4eb087-f968-4cdc-81fb-b5e869292a97","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P67"
"118aae3e-dcfc-40c2-9d0f-e265550eb1e7","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P68"
"54709600-6a26-4d04-92dd-b78c28a6504b","","pass","Precast Element","checklist","FALSE","FALSE","L3","3P69"
"70b95d6d-ab20-48d1-9b75-2406778428c8","","pass","Precast Element","checklist","FALSE","FALSE","L3","3P70"
"35ac8c5d-ea21-45a6-83c4-0d1c899d62f0","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P71"
