"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9dfefa89-440d-4f81-a380-29a68edeb7f8","","work-in-progress","","folder","TRUE","FALSE","CORE 1"
"a40d3c8c-4ee6-4081-b3d0-73c9c510dc01","","work-in-progress","","folder","TRUE","FALSE","CORE 1","CUBE 1 TO 3"
"40345ea3-3133-42f8-bf64-5a395d1bc396","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B07L01"
"4dbab8ed-6370-408d-986b-ec14274c01ff","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B09L01"
"35a632e7-79fc-4dea-a15c-e34fcf06f64a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B10L01"
"d1f16ae8-6e90-45f5-87a0-519b51e3f330","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B12L01"
"52dacaa8-7b02-480a-ad55-09beba055084","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B13L01"
"a257c19e-9f9e-4bd7-bd42-362f27ac8d95","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B15L01"
"3bd494e5-236c-494b-a4c0-05bc90bed022","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B16L01"
"5938d8e4-c14e-48d0-aade-f037886811f8","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B18L01"
"5ab63897-6057-408f-bc64-2d0cab10d776","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B20"
"05211e91-940b-4c4c-8b9f-2a8d8a12287c","","work-in-progress","","folder","TRUE","FALSE","CORE 4"
"37cda001-2eb8-4012-9dfa-a845df52d6cf","","work-in-progress","","folder","TRUE","FALSE","CORE 4","CUBE"
"20b686de-6f11-4207-b8fc-7063afe9d851","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C01"
"93576a1f-0cff-4942-89ec-e16e25e8e49e","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C02"
"cef5f453-5f6e-484d-8b4c-cffa0ac0eb00","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C03"
"1a47158c-c942-4e4e-aae1-63a786c504b8","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C03A"
"05194541-ce81-4b2e-973c-3b3c7adb80e5","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C04"
"4c56e4c4-a255-4c00-8570-fb00bab29b05","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C05"
"64f244b0-d0f2-4fc2-b289-f682ead5009e","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C06"
"14bf8787-5f4e-45df-b5e4-8c0157a0a42d","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C07"
"09eeabcd-76a1-4100-adb1-4a9488c9a826","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C08"
"aaf373f7-98fb-4100-a640-63585886ff34","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C09"
"fb208a2a-6141-490a-bc65-3d11b6503b4f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C10"
"8de22f4f-c202-46dd-b144-c5bc28aca411","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C11"
"5adf2b3c-03b9-435f-bf63-f6b12ed8a418","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C12"
"f1ac7b53-2395-4da1-bf45-f1b8a0fed15c","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C13"
"67703fd4-bb09-4062-9463-e6b26d363dd2","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C14"
"feb2e8b5-23d5-405d-bd79-6ee4fc6b4b50","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C15"
"8ee8edca-cdcc-414f-8c72-5032fef4a4fd","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C16"
"63922ac0-7239-47fb-8d05-68238e6f0786","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C17"
"018ffb71-f1c6-4668-acc0-f5ddcba2b2b9","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","CUBE","C04C18"
"bf464275-51ca-455b-956b-afcbfa25ac90","","work-in-progress","","folder","TRUE","FALSE","CORE 4","LANDING"
"86a71906-3e4d-4878-8d01-6a52d85d4210","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C02C2W06S"
"9b7a38b4-f321-443b-8726-913a3cef4ddc","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C03C2W04S"
"fef6611d-a0f6-4cf8-aaa3-f5f590702236","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C04C2W06S"
"50a1a383-5aeb-4d68-ae18-e9dd0ca2551c","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C05C2W04S"
"39e65af8-fee2-4559-bd8f-74c5657f6521","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C06C2W06S"
"751b8987-1e56-4a11-b354-44faa862b9a4","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C09C2W06S"
"d3e291a8-8c5a-4dd5-8f40-eb4281dd3a31","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C08C2W04S"
"731fda56-e34b-4a7e-805a-e7d935d3e0c0","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C10C2W04S"
"822008f3-e43c-4f60-b972-84744ea9506c","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C12C2W06S"
"68e0b561-34f1-45ef-a8e7-97de2ced48c1","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C13C2W04S"
"0bec91ee-6e71-4781-9d3d-031659740f46","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C14C2W06S"
"78127910-4719-4db2-a0db-f600a8c7f5fb","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 4","LANDING","C04C16C2W04S"
