"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16e6d7d3-9bc0-4bb4-8da8-41188ee9ecf2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023"
"d61ca216-b73e-4cc3-8b56-5c98ce0c4ab6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","OHS"
"7f8886cb-b610-4adc-bf90-53e4914f38db","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5"
"891e59bb-175e-4c7f-b22e-c6827db30759","","folder-normal","not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire"
"1f9946ad-f17e-4acd-ba22-8f16d763ace4","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire","INCOG, KENNEDY, CROC"
"4c11f91b-6bc5-4278-b5ed-678f3563936b","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire","ALTO"
"cc7304d3-d37b-4825-ad23-2c0b1c4ed79b","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire","SUMMER HOUSE"
"774784f8-dd6b-4da1-8066-4d999c469ba3","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire","GLASS WASHING"
"e8bc32e4-6f8f-43b7-a38a-5c4fe3675ce3","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire","VILLA PARADISO"
"016390ee-bd43-41f3-8046-7ec275ab84db","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Food and Desire","FURPHY"
"015e6ade-4900-4218-aaee-269475f7c513","","folder-normal","not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Crown Resorts"
"837f1c3b-4ea1-4bd9-b27d-ce084b76000b","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Crown Resorts","YUM CHA HILL STAND"
"df77c186-6c69-4841-a167-caf29abb7e10","","folder-normal","not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","QA","The Big Group"
"ac530839-9e6b-431e-b887-5920bfa24673","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","The Big Group","MUMM & SUMMER HOUSE"
"66445195-a621-4e22-a584-ef26be445475","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","The Big Group","TABCORP"
"a9b29159-608d-4741-a622-f2f7976bf67d","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","The Big Group","NEWSCORP"
"0d7d5194-7a7f-4813-be64-40043ac7f21d","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","The Big Group","PENFOLDS"
"1bfffa6a-cd49-4b80-8856-15b83d91c8eb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22"
"51108a13-ac74-4f86-9e74-d737b7180e5c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","OHS"
"839a7016-52d2-4312-b102-85cd5bce2c4a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5"
"1f910f9c-85de-4791-8f99-f727767230e2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Matt Feehan"
"e09300d8-c191-4c88-82e8-cf28a10c16aa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Andrew Brew"
"ebdb558f-3c82-447f-957d-210c24edcad9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Travis De Bono"
"4a5b3a03-072b-4b37-bb3d-baf330eea504","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Jackson Pollock"
"fbbc527e-0a6c-4b87-941e-adf93ad35646","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Flynn Harrison – Brown"
"ae84da78-dbe5-4a5f-8fd9-75f104de05e6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Riley Blake"
"4ba3b7c2-15a3-4aee-a748-b7d8062b1695","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Dale May"
"c0f81553-42c1-4a92-87e5-82a780c9a892","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Jack Rice"
"d7fdca85-597c-4e9a-bffa-2af6dd8bef75","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","Chris Dykes"
"69d74b11-5214-4ba3-8d7a-42c8b375a722","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","TAKE 5","James Taylor"
"74ae851c-6d61-4bb7-91ff-b9b32a1dc654","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","QA"
"80d4d08d-ec12-4260-a076-6df4417ddafc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","QA","nine"
"b983443c-26e0-4659-b146-6c81a1321a28","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00878 NNM Mel 22","QA","vendors"
"1d06710c-2caa-4b07-b39b-8db28fe7a8ab","","folder-normal","not-started","","step","TRUE","FALSE","TE00883 Gema Sandown"
"96d1a0f8-8b44-4e22-b6af-8757fd75c118","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","OHS"
"2f16fbde-e5fd-43b6-8112-921d66fe198b","","folder-normal","not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5"
"7adb09a3-dd1c-4620-9c5e-9c71132836bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Matt Feehan"
"4533b72d-362f-42dc-8333-8a433a743252","","folder-normal","not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Andrew Brew"
"20e77297-a072-442c-8cc6-f6bf2bf44ca4","","checklist-flat","not-started","Take 5 Checklist","checklist-flat","FALSE","FALSE","TE00883 Gema Sandown","TAKE 5","Andrew Brew","Take 5 Checklist"
"a8a1825e-fa83-42cc-a3e0-2754283c6e4c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Travis De Bono"
"14508903-0b8e-4935-9229-2b1c722de81c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Jackson Pollock"
"b4e66a62-2129-4aeb-a374-3b6b2717fa86","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Flynn Harrison – Brown"
"4aad5faf-1ffc-45f6-8bc4-50b12acb88a7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Riley Blake"
"4f3ecb6d-38a5-420b-837c-d5ad4b93ac97","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Dale May"
"0bc74121-8d3c-43c3-8503-0aa9857c8592","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Jack Rice"
"3e50e4f0-c957-43b8-a6c7-c44532e8fc8a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Chris Dykes"
"dd34f4e8-047a-4e46-955a-fc64da6bac0c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","James Taylor"
"3854f0bd-08ca-4c51-8339-7ef239fec3e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","TAKE 5","Porsche Kitchen"
"70945ed9-2183-42fe-a334-b3f4b203952c","","folder-normal","not-started","","step","TRUE","FALSE","TE00883 Gema Sandown","QA"
"781ef0e6-8e6f-4ec3-a2da-dd7b33388a54","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00883 Gema Sandown","QA","Porsche Kitchen - GEMA"
